Antologia,Grandes Exitos,Shakira,251.0ø
The Planet,The Classic Collection,Dr. Dre,308.1ø
Lovers,Dr. Dre 2003,Dr. Dre,425.6ø
The Unnamed Feeling,St. Anger,Metallica,427.9ø
Shoot Me Again,St. Anger,Metallica,430.1ø
Invisible Kid,St. Anger,Metallica,510.1ø
My Last Breath,Fallen,Evanescence,247.4ø
Going Under,Fallen,Evanescence,214.5ø
Taking Over Me,Fallen,Evanescence,228.8ø
My Immortal (bonus),Fallen,Evanescence,273.4ø
Missing,Anywhere But Home,Evanescence,256.1ø
Haunted,Fallen,Evanescence,188.1ø
Farther Away,Anywhere But Home,Evanescence,302.6ø
Waking the Fallen,Waking The Fallen,Avenged Sevenfold,102.3ø
Unholy Confessions,Waking The Fallen,Avenged Sevenfold,283.8ø
Remenissions,Waking The Fallen,Avenged Sevenfold,365.3ø
Radiant Eclipse,Waking The Fallen,Avenged Sevenfold,369.6ø
I Won't See You Tonight Part 2,Waking The Fallen,Avenged Sevenfold,282.9ø
I Won't See You Tonight Part 1,Waking The Fallen,Avenged Sevenfold,538.3ø
Eternal Rest,Waking The Fallen,Avenged Sevenfold,312.2ø
Desecrate Through Reverence,Waking The Fallen,Avenged Sevenfold,338.0ø
Clairvoyant Disease,Waking The Fallen,Avenged Sevenfold,299.1ø
Chapter Four,Waking The Fallen,Avenged Sevenfold,342.5ø
And All Things Will End,Waking The Fallen,Avenged Sevenfold,460.3ø
Seven Nation Army,Seven Nation Army,The White Stripes,232.6ø
Sail To The Moon,Hail To The Thief,Radiohead,258.4ø
I Will (Los Angeles Version),Hail To The Thief,Radiohead,141.3ø
Bullet Proof... I Wish I Was,Pure(ly) Acoustic 2,Radiohead,220.8ø
Backdrifts,Hail To The Thief,Radiohead,322.7ø
A Wolf At The Door,Hail To The Thief,Radiohead,200.7ø
There_ There,Hail To The Thief,Radiohead,323.6ø
There There (First Demo),Hail To The Thief,Radiohead,463.9ø
Sit Down. Stand Up,Hail To The Thief,Radiohead,260.0ø
Myxomatosis,Hail To The Thief,Radiohead,232.6ø
Where I End And You Begin,Hail To The Thief,Radiohead,269.3ø
We Suck Young Blood,Hail To The Thief,Radiohead,296.8ø
The Gloaming,Hail To The Thief,Radiohead,212.0ø
I Am A Wicked Child,Hail To The Thief,Radiohead,185.3ø
Gagging Order,Hail To The Thief,Radiohead,214.0ø
A Punch Up At A Wedding,Hail To The Thief,Radiohead,296.3ø
Nothing Fails [Nevins Mix],Remixed & Revisited,Madonna,230.0ø
Nothing Fails (Album Version),American Life,Madonna,288.6ø
Nobody Knows Me [Mount Sims Old School Mix],Remixed & Revisited,Madonna,284.6ø
Into The Hollywood Groove [featuring Missy Elliott] [The Passengerz Mix],Remixed & Revisited,Madonna,224.1ø
Intervention (Album Version),American Life,Madonna,293.8ø
Hollywood (Album Version),American Life,Madonna,264.4ø
Easy Ride (Album Version),American Life,Madonna,305.1ø
American Life [Headcleanr Rock Mix],Remixed & Revisited,Madonna,241.2ø
Without Reason,Reason,The Fray,213.4ø
Unsaid,Reason,The Fray,184.1ø
Together,Reason,The Fray,143.9ø
Some Trust,Reason,The Fray,174.3ø
City Hall,Reason,The Fray,181.0ø
Love Profusion (Album Version),American Life,Madonna,216.3ø
I'm So Stupid (Album Version),American Life,Madonna,245.7ø
The Hardest Button To Button,The Hardest Button To Button,The White Stripes,215.3ø
St. Ides Of March,The Hardest Button To Button,The White Stripes,247.6ø
Seven Nation Army (Album Version),Elephant,The White Stripes,231.8ø
In The Cold_ Cold Night (Album Version),Elephant,The White Stripes,178.4ø
Hypnotize (Album Version),Elephant,The White Stripes,108.5ø
Good To Me,Seven Nation Army,The White Stripes,126.4ø
Black Jack Davey,Seven Nation Army,The White Stripes,306.4ø
