I've Grown Accustomed To Her Face,That's Amore: The Best Of Dean Martin,Dean Martin,163.0ø
I Got To Find My Baby,The Anthology,Chuck Berry,134.9ø
Wonderful World,Spotlight On Sam Cooke,Sam Cooke,128.4ø
Summertime,Sam Cooke,Sam Cooke,135.3ø
Stealing Kisses,Only Sixteen,Sam Cooke,131.7ø
I Thank God,Jesus Is a Rock: Christian Songs,Sam Cooke,182.3ø
Your One And Only (LP Version),Brenda Lee,Brenda Lee,188.3ø
That's All You Gotta Do,The Best Of,Brenda Lee,150.0ø
Sweet Nothin's,The Best Of,Brenda Lee,145.1ø
Standing Tall (LP Version),Brenda Lee,Brenda Lee,191.0ø
Once Love Makes A Fool Of You (LP Version),Brenda Lee,Brenda Lee,248.7ø
Dynamite,The Very Best Of The 50's - Volume 3,Brenda Lee,120.9ø
Against My Will (LP Version),Brenda Lee,Brenda Lee,205.1ø
