The Fever,18 Tracks,Bruce Springsteen,458.6ø
So Ghetto,Volume. 3... Life and Times of S. Carter,Jay-Z,240.8ø
Nymp,Volume. 3... Life and Times of S. Carter,Jay-Z,242.0ø
Dope Man,Volume. 3... Life and Times of S. Carter,Jay-Z,242.9ø
Still Don't Give,The Slim Shady LP,Eminem,250.4ø
Role Model,Curtain Call,Eminem,205.3ø
Rock Bottom,The Slim Shady LP,Eminem,214.1ø
Public Service Announcement,The Slim Shady LP,Eminem,33.3ø
My Fault,Intl Singles Box Set,Eminem | Various Artists,239.6ø
I'm Shady,The Slim Shady LP,Eminem,212.0ø
Cum On Everybody,The Slim Shady LP,Eminem,219.3ø
Come On Everybody,The Slim Shady LP,Eminem,219.3ø
Bad Influence,End Of Days,Eminem,220.1ø
As The World Turns,The Slim Shady LP,Eminem,265.4ø
Any Man,Rawkus Presents Soundbombing II,Eminem,173.2ø
'97 Bonnie & Clyde,The Slim Shady LP,Eminem,316.4ø
How Much,The Ballads,Mariah Carey Featuring Usher,210.1ø
Heartbreaker (Remix),Music Box / Rainbow (Coffret 2 CD),Mariah Carey Featuring Da Brat & Missy Elliott,272.1ø
Did I Do That?,Music Box / Rainbow (Coffret 2 CD),Mariah Carey,254.6ø
Can't Take That Away (Mariah's Theme),Music Box / Rainbow (Coffret 2 CD),Mariah Carey,272.3ø
Watch Me,Vol. 3... Life And Times Of S. Carter,Jay-Z | Dr. Dre,274.5ø
Outlaw Torn,S & M,Metallica,599.0ø
No Leaf Clover,S & M,Metallica,343.2ø
Your New Aesthetic,Clarity,Jimmy Eat World,159.6ø
Ten,Clarity,Jimmy Eat World,228.8ø
Table For Glasses,Clarity,Jimmy Eat World,261.5ø
Sweetness (Demo),Clarity,Jimmy Eat World,218.4ø
Just Watch The Fireworks,Clarity,Jimmy Eat World,421.8ø
Blister,Clarity,Jimmy Eat World,210.2ø
Believe In What You Want,Clarity,Jimmy Eat World,188.3ø
A Sunday,Clarity,Jimmy Eat World,272.3ø
12.23.95,Alternative Rock X-mas,Jimmy Eat World,223.8ø
