Fake ID,At Your Convenience,4ft Fingers,134.6ø
Let's Hear It For The Boy,Italo Dance Party Collection Vol. 1,Katty B.,331.4ø
Down,Yeah.  Well_ Anyway....,Smartbomb,201.4ø
Varjorinteen kukka,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,182.6ø
Toimeen tullaan,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,163.6ø
Saharan lilja,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,125.6ø
Pikkuneiti,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,158.7ø
Matka Timbuktuun,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,138.8ø
Keltaiset banaanit,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,191.1ø
Hei vahtimestari,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,141.9ø
Aasiserenadi,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,192.6ø
Kotikuusi,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,163.4ø
Keltapaviljonki,20 Suosikkia / Kaksi kolpakkoa_ neiti,Solistiyhtye Suomi,137.9ø
Tarzan,Yonder,The Red Clay Ramblers,184.4ø
Bacarolle,Luke Vibert's Nuggets,Heinz Funk Electronic Combo,173.3ø
Then & Now,Forgotten Places,James Johnson & Robert Scott Thompson,134.2ø
Stolen Moment,Forgotten Places,James Johnson & Robert Scott Thompson,244.5ø
Resonant Landscape,Forgotten Places,James Johnson & Robert Scott Thompson,488.4ø
Mineola Bay,Forgotten Places,James Johnson & Robert Scott Thompson,383.1ø
Malay,Forgotten Places,James Johnson & Robert Scott Thompson,351.9ø
Luminous,Forgotten Places,James Johnson & Robert Scott Thompson,396.7ø
Low & Clear,Forgotten Places,James Johnson & Robert Scott Thompson,561.3ø
A Slow Return,Forgotten Places,James Johnson & Robert Scott Thompson,367.9ø
