Soldier,A1 Record Shop - It's Only Rock  Volume Three,The Merlons of Nehemiah,223.1ø
I Got Rhythm,Don Redman Orchestra_ Geneva 1946 / Swiss Radio Days_ Jazz Series Vol.11,Don Redman Orchestra,339.1ø
At Last,Love's Greatest Hits,Lou Rawls|Dianne Reeves,217.3ø
Morning Arrival In Goa (lighthouse flash over the sea),The Hours Between Night + Day,Ottmar Liebert + Luna Negra,258.5ø
Lone Rider (4 slick),Rumba Collection 1992-1997,Ottmar Liebert + Luna Negra,285.0ø
Danza De Los Sentidos,World Sound,Ottmar Liebert + Luna Negra,250.2ø
Walking Thru The Park,I Am The Blues,Big Daddy Kinsey,264.2ø
The Queen Without A King,I Am The Blues,Big Daddy Kinsey,210.2ø
Somebody's Gonna Get Hooked Tonight,I Am The Blues,Big Daddy Kinsey,340.9ø
Ode To Muddy Waters,I Am The Blues,Big Daddy Kinsey,114.6ø
Nine Below Zero,I Am The Blues,Big Daddy Kinsey,401.2ø
Mannish Boy,I Am The Blues,Big Daddy Kinsey,327.3ø
I Am The Blues,I Am The Blues,Big Daddy Kinsey,375.6ø
Got My Mojo Workin',I Am The Blues,Big Daddy Kinsey,390.3ø
Good Mornin' Mississippi,I Am The Blues,Big Daddy Kinsey,529.9ø
Don't You Lie To Me,I Am The Blues,Big Daddy Kinsey,245.1ø
Baby_ Don't Say That No More,I Am The Blues,Big Daddy Kinsey,348.3ø
Mapale,La Candela Viva,Toto La Momposina,154.9ø
La Sombra Negra,La Candela Viva,Toto La Momposina Y Sus Tambores,205.0ø
La Candela Viva,La Candela Viva,Toto La Momposina,258.8ø
La Acabacion,La Candela Viva,Toto La Momposina,221.7ø
El Pescador,La Candela Viva,Toto La Momposina Y Sus Tambores,247.3ø
Dos De Febrero,La Candela Viva,Toto La Momposina,258.9ø
Curura,La Candela Viva,Toto La Momposina,299.0ø
Chi Chi Mani,La Candela Viva,Toto La Momposina,164.1ø
Permanent Red,Molting,Usherhouse,208.0ø
White Paper Basket,Ice Cream Headache,Radial Spangle,198.7ø
Snow,Ice Cream Headache,Radial Spangle,232.8ø
Raze,Ice Cream Headache,Radial Spangle,338.8ø
Hand,Ice Cream Headache,Radial Spangle,293.4ø
Gutter Chain,Ice Cream Headache,Radial Spangle,222.1ø
Dream Problem,Ice Cream Headache,Radial Spangle,246.7ø
Copper,Ice Cream Headache,Radial Spangle,561.1ø
Canopy & Shoe,Ice Cream Headache,Radial Spangle,159.3ø
Birthday,Ice Cream Headache,Radial Spangle,256.1ø
Remember,Chess Blues,Alberta Adams,177.0ø
Two Step D'amede,Two-Step D'amede,Savoy-Doucet Cajun Band,167.2ø
Ton Papa M'a Jete Dehors,Two-Step D'amede,Savoy-Doucet Cajun Band,250.7ø
Reno Waltz,Home Music With Spirits,Savoy-Doucet Cajun Band,224.3ø
Quelle Etoile (Which Star),Home Music With Spirits,Savoy-Doucet Cajun Band,204.3ø
Quelle Etoile,The Best Of The Savoy-Doucet Cajun Band,Savoy-Doucet Cajun Band,204.4ø
Pretty Rosey Cheeks,Two-Step D'amede,Savoy-Doucet Cajun Band,227.0ø
Port Arthur Blues,Home Music With Spirits,Savoy-Doucet Cajun Band,204.7ø
Pine Grove Blues (La Negress),Two-Step D'amede,Savoy-Doucet Cajun Band,314.1ø
One-Step De Chameau,The Best Of The Savoy-Doucet Cajun Band,Savoy-Doucet Cajun Band,242.2ø
Mon Chere Bebe Creole (Tribute To Dennis,Home Music With Spirits,Savoy-Doucet Cajun Band,275.3ø
Melville Two-Step,Home Music With Spirits,Savoy-Doucet Cajun Band,159.5ø
Lapin Dans Son Nique,Two-Step D'amede,Savoy-Doucet Cajun Band,259.9ø
