The Robe,Simply Wes King,Wes King,244.7ø
Lucky Lou,Chess Blues Guitar / Two Decades Of Killer Fretwork_ 1949-1969,Jody Williams,227.9ø
Dear Heart,Look Out!,Joanie Sommers,145.7ø
Snake Skin Shoes,The Essential,The Black Sorrows,285.1ø
Lucky Charm,The Essential,The Black Sorrows,294.0ø
Victoria,Back in Business,Timpuri Noi,295.0ø
Vecina,Back in Business,Timpuri Noi,212.9ø
Luca,Back in Business,Timpuri Noi,183.0ø
Wicked Ways,Peel,The Coctails,263.3ø
Whoopsy Daisy,Live at Lounge Ax,The Coctails,137.4ø
Weather King,Peel,The Coctails,324.0ø
Postcard,Peel,The Coctails,238.2ø
Peel,Popcorn Box,The Coctails,250.7ø
Miss Maple,Peel,The Coctails,268.1ø
Even Time,Peel,The Coctails,307.4ø
Daylight,Peel,The Coctails,170.3ø
And You Could,Live at Lounge Ax,The Coctails,326.3ø
2000,Peel,The Coctails,142.0ø
I'm Not Afraid,Delusions Of Grandeur,Fleming & John,193.8ø
Muleskinner Blues,The Fiddle Collection Special Album,Benny Martin,147.8ø
I,A Dinner for Lovers_ Vol. 4,The Velvets,202.5ø
City Riot,Skank - Ska For Ska's Sake,Maroon Town,258.3ø
Ihre Lichter,Pe Werner,Pe Werner,199.5ø
Minor Soul,So Blue So Funky Vol. 2,Johnny Lytle,296.8ø
Zu Geil,Magavier,Megavier,86.7ø
Tag Am Toten Meer,Magavier,Megavier,266.3ø
Spiesser '94,Magavier,Megavier,96.0ø
Spiegel,Magavier,Megavier,48.6ø
Sonne Overload,Magavier,Megavier,208.0ø
Interview,Magavier,Megavier,35.4ø
Ideal Die Da,Magavier,Megavier,240.1ø
Gute Unterhaltung,Magavier,Megavier,33.8ø
Genug Ist Genug Ist Genug,Magavier,Megavier,273.2ø
Frei,Magavier,Megavier,150.8ø
Extrem Schizophren,Magavier,Megavier,296.3ø
Experiment,Magavier,Megavier,41.6ø
Basement 22:30,Magavier,Megavier,110.0ø
Basement 20:15,Magavier,Megavier,138.6ø
Wiggle It (The Club Mix),Wiggle It,2 In A Room,460.5ø
El Trago (the drink),World Party,2 In A Room,288.2ø
Wise Bird,Spirit Finger,The Dylans,295.2ø
Two Tomorrows,Spirit Finger,The Dylans,199.0ø
Plastic Hassle,Spirit Finger,The Dylans,260.6ø
Live In The Now,Spirit Finger,The Dylans,174.6ø
Kill Rave,Spirit Finger,The Dylans,251.1ø
How Little You Know,Spirit Finger,The Dylans,218.0ø
Hell No,Spirit Finger,The Dylans,177.0ø
Grudge,Spirit Finger,The Dylans,210.1ø
Children Of The Flame,Spirit Finger,The Dylans,221.5ø
Adieu,Rapple Dapple,The Greenberry Woods,265.3ø
Las Vegas,Evil Underground Lovers,Underground Lovers,322.1ø
Dream It Down,Evil Underground Lovers,Underground Lovers,315.6ø
Beautiful World,Evil Underground Lovers,Underground Lovers,306.2ø
Juventud Divino Tesoro,Serie De Oro,Los Twist,187.5ø
El Rey,Serie De Oro,Los Twist,155.4ø
What Love Is,Diamond Days,Out Of The Grey,261.7ø
Unfolding,Diamond Days,Out Of The Grey,203.9ø
Love Like Breathing,Diamond Days,Out Of The Grey,287.0ø
Lifelines,Diamond Days,Out Of The Grey,225.9ø
If I Know You,Diamond Days,Out Of The Grey,202.1ø
Eyes Wide Open,Diamond Days,Out Of The Grey,264.8ø
Diamond Days,Diamond Days,Out Of The Grey,274.2ø
Cry For Help,Diamond Days,Out Of The Grey,197.1ø
All We Need,Diamond Days,Out Of The Grey,294.6ø
Put Me On (LP Version),No Mercy,Da Youngsta's,269.1ø
Kid Caprice,Selected Works 94-96,Wax Doctor,401.0ø
Everywhere,At The Woodchopper's Ball,Woody Herman & His Orchestra,190.1ø
Amsterdam,30 Jaar Zwervend Bestaan,Kris de Bruyne,223.2ø
Leave My Kitten Alone,Brit R&B of the 60's: Boom Boom,The Syndicats,128.7ø
Police Sergeant Blues,The Original Rolling Stone,Robert Wilkins,180.8ø
Old Jim Canan's,The Original Rolling Stone,Robert Wilkins,177.2ø
Losin' Out Blues,The Original Rolling Stone,Robert Wilkins,189.5ø
Long Train Blues,The Original Rolling Stone,Robert Wilkins,184.5ø
I'll Go With Her Blues,The Best There Ever Was:  The Legendary Early Blue,Robert Wilkins,184.5ø
I Do Blues,The Rose Grew Round The Briar,Robert Wilkins,219.1ø
Get Away Blues,The Original Rolling Stone,Robert Wilkins,210.9ø
Alabama Blues,The Original Rolling Stone,Robert Wilkins,156.4ø
When My Ship Comes In,The Fabulous Eddie Cantor,Eddie Cantor,195.6ø
What A Perfect Combination,The Columbia Years:  1922-1940,Eddie Cantor,188.3ø
The Man On The Flying Trapeze,The Columbia Years:  1922-1940,Eddie Cantor,165.0ø
Susie,The Columbia Years:  1922-1940,Eddie Cantor,169.3ø
Sophie,The Columbia Years:  1922-1940,Eddie Cantor,170.2ø
Ritzi Mitzi,The Columbia Years:  1922-1940,Eddie Cantor,188.3ø
Over Somebody Else's Shoulder,The Columbia Years:  1922-1940,Eddie Cantor,182.7ø
On A Windy Day 'Way Down In Waikiki,The Columbia Years:  1922-1940,Eddie Cantor,177.6ø
Okay Toots,Perfect Movie Songs,Eddie Cantor,149.6ø
Monkey Doodle,The Columbia Years:  1922-1940,Eddie Cantor,193.0ø
Margie,The Best Of Eddie Cantor,Eddie Cantor,105.5ø
Look What You've Done,The Columbia Years:  1922-1940,Eddie Cantor,185.6ø
Little Curly Hair In A High Chair,The Columbia Years:  1922-1940,Eddie Cantor,193.2ø
Laff It Off!,The Columbia Years:  1922-1940,Eddie Cantor,182.0ø
Joe Is Here,The Columbia Years:  1922-1940,Eddie Cantor,182.6ø
If You Knew Susie (Like I Know Susie),The Columbia Years:  1922-1940,Eddie Cantor,174.0ø
I'm Hungry For Beautiful Girls,The Columbia Years:  1922-1940,Eddie Cantor,159.9ø
I'll Have Vanilla,The Columbia Years:  1922-1940,Eddie Cantor,190.6ø
How Ya Gonna Keep Your Mind On Dancing,The Columbia Years:  1922-1940,Eddie Cantor,175.1ø
How I Love That Girl,The Columbia Years:  1922-1940,Eddie Cantor,185.0ø
He Loves It,The Columbia Years:  1922-1940,Eddie Cantor,187.2ø
Eddie (Steady),The Columbia Years:  1922-1940,Eddie Cantor,180.4ø
Doodle Doo Doo,The Columbia Years:  1922-1940,Eddie Cantor,196.2ø
Charley My Boy,The Columbia Years:  1922-1940,Eddie Cantor,169.1ø
An Earful Of Music,The Columbia Years:  1922-1940,Eddie Cantor,195.4ø
Fat Back,The Sue Story,Bill Doggett,171.2ø
Underground G's (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,575.3ø
Underground G's,Gangsta Funk,5th Ward Boyz,405.3ø
Skit (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,42.8ø
Same Ol' (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,242.3ø
Same Ol',Gangsta Funk,5th Ward Boyz,191.7ø
Reason (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,435.0ø
Once Again It's On (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,333.3ø
Once Again It's On,Gangsta Funk,5th Ward Boyz,273.2ø
Lo Life In The Street (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,390.8ø
Lo Life In The Street,Gangsta Funk,5th Ward Boyz,269.8ø
Gangsta Funk,Gangsta Funk,5th Ward Boyz,274.2ø
Funk Outro (Chopped&Screwed),Gangsta Funk,5th Ward Boyz,314.0ø
Rock Love,Backline Vol. 66,The Fontane Sisters,113.0ø
I'm In Love Again,Backline Volume 62,The Fontane Sisters,110.5ø
Happy Days And Lonely Nights,Backline Vol. 67,The Fontane Sisters,144.1ø
Eddie My Love,Teen Dreams 1956,Fontane Sisters,139.2ø
Twice As Evil As You,Slim Westerns Vol I & II,A Small Good Thing,181.0ø
Someplace South Of Here,Slim Westerns Vol I & II,A Small Good Thing,397.5ø
Scorched Earth,Slim Westerns Vol I & II,A Small Good Thing,244.7ø
Saguaro,Slim Westerns Vol I & II,A Small Good Thing,360.6ø
Jane Russell,Slim Westerns Vol I & II,A Small Good Thing,130.0ø
Hole In The Heart,Slim Westerns Vol I & II,A Small Good Thing,233.5ø
Heathaze,Slim Westerns Vol I & II,A Small Good Thing,230.9ø
Gunsmoke,Slim Westerns Vol I & II,A Small Good Thing,156.8ø
Gulch,Slim Westerns Vol I & II,A Small Good Thing,316.9ø
Godforsaken,Slim Westerns Vol I & II,A Small Good Thing,382.2ø
Flamenco 2,Slim Westerns Vol I & II,A Small Good Thing,126.0ø
Flamenco 1,Slim Westerns Vol I & II,A Small Good Thing,162.1ø
Drowning Light,Slim Westerns Vol I & II,A Small Good Thing,229.3ø
Brainchild,We Like Trance - Chapter 01,NOSTRUM,539.5ø
Torna,Napoli in frac vol. 8,Tito Schipa,212.9ø
Carousel,Solo,Mulgrew Miller,506.2ø
Body and Soul,Solo,Mulgrew Miller,402.3ø
Paraglide,Paraglide EP,Paragliders,422.8ø
Count To Ten,The Sue Story,Derek Martin,161.5ø
Tired As I Can Be,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,156.6ø
Stew Meat Blues,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,178.6ø
Reckless Woman,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,176.2ø
Pig Iron Sally,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,179.7ø
Pay Roll Blues,I Can't Be Satisfied: Early American Women Blues Singers - Town & Country_ Vol. 2,Lucille Bogan,178.1ø
Man Stealer Blues,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,185.3ø
Drinking Blues,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,176.7ø
Boogan Ways Blues,Shave 'Em Dry: The Best Of Lucille Bogan,Lucille Bogan,176.5ø
Black Angel Blues,Oh_ Run Into Me_ But Don't Hurt Me ! Female Blues Singers : Rarities 1923-1930,Lucille Bogan,197.4ø
Alley Boogie,Let's Boogie Woogie,Lucille Bogan,182.3ø
Quiero Ron,Oro Solido,Oro Solido,244.0ø
Pa'Que Bebas,Oro Solido,Oro Solido,207.0ø
La Juma,Oro Solido,Oro Solido,208.6ø
Esta Cache,Best of the Best,Oro Solido,226.1ø
Bailando Y Gozando,Oro Solido,Oro Solido,242.4ø
Baila Que Goza,Oro Solido,Oro Solido,196.0ø
Guru,Tranquillity,Kenny Werner,385.7ø
You May Be Right (AOR Mix),Seems Like Fate (1984-1992),The Grapes Of Wrath,269.2ø
Peace of Mind (Live),Seems Like Fate (1984-1992),The Grapes Of Wrath,279.6ø
O Lucky Man,Seems Like Fate (1984-1992),The Grapes Of Wrath,208.3ø
"I Am Here (12"" Extended Mix)",Seems Like Fate (1984-1992),The Grapes Of Wrath,395.5ø
Down So Close,Seems Like Fate (1984-1992),The Grapes Of Wrath,250.1ø
Do You Want To Tell Me,Now And Again,The Grapes Of Wrath,213.1ø
A Fishing Tale (Single Edit),Seems Like Fate (1984-1992),The Grapes Of Wrath,223.2ø
Coney Island Baby,Coney Island Baby (Digital 45),The Excellents,128.9ø
Darlo Todo O Nada,Exitos Y Mas Exitos,Nino Segarra,308.0ø
Ajena,Exitos Y Mas Exitos,Nino Segarra,303.3ø
Tornado,You Lookin' For Treble?,Thomas Jefferson Slave Apartments,167.3ø
Please Hear My Plea,You Lookin' For Treble?,Thomas Jefferson Slave Apartments,182.9ø
Bottle Island,You Lookin' For Treble?,Thomas Jefferson Slave Apartments,189.9ø
Visions,Shiver,Rose Chronicles,488.5ø
Undertow,Shiver,Rose Chronicles,266.9ø
Shiver,Shiver,Rose Chronicles,52.5ø
Nothing's Real,Shiver,Rose Chronicles,279.7ø
Glide (Free Above),Shiver,Rose Chronicles,224.0ø
Forgotten,Shiver,Rose Chronicles,223.6ø
Dwelling,Shiver,Rose Chronicles,284.9ø
Diedre,Shiver,Rose Chronicles,177.9ø
Brick and Glue,Shiver,Rose Chronicles,309.0ø
Bottle Song,Shiver,Rose Chronicles,293.3ø
Straight No Chaser  (LP Version),Going Back Home,Ginger Baker Trio,333.6ø
Spiritual (LP Version),Going Back Home,Ginger Baker Trio,226.4ø
Ramblin' (LP Version),Going Back Home,Ginger Baker Trio,261.9ø
Rambler (LP Version),Going Back Home,Ginger Baker Trio,326.0ø
In The Moment  (LP Version),Going Back Home,Ginger Baker Trio,269.3ø
I Lu Kron  (LP Version),Going Back Home,Ginger Baker Trio,159.1ø
Ginger Blues (LP Version),Going Back Home,Ginger Baker Trio,307.8ø
East Timor (LP Version),Going Back Home,Ginger Baker Trio,282.1ø
Ain Temouchant (LP Version),Going Back Home,Ginger Baker Trio,299.2ø
Winky Dinky Dog,Two Words,Overwhelming Colorfast,249.8ø
Toss Up,Two Words,Overwhelming Colorfast,101.5ø
Strong Now,Two Words,Overwhelming Colorfast,121.4ø
Sidestick Eyepoker,Two Words,Overwhelming Colorfast,233.4ø
Ira Schrader,Two Words,Overwhelming Colorfast,112.9ø
