Sea Man,Greatest Hits Live!,Don McLean,289.2ø
Love Letters,Believers,Don McLean,238.4ø
Love Hurts,Believers,Don McLean,187.3ø
Left For Dead On The Road Of Love,Believers,Don McLean,176.6ø
Jerusalem,Believers,Don McLean,282.7ø
Isn't It Strange,Believers,Don McLean,258.1ø
I Tune The World Out,Believers,Don McLean,211.7ø
Crazy Eyes,Greatest Hits Live!,Don McLean,193.1ø
Your Town Saturday Night,Get Lucky,Loverboy,187.7ø
Working For The Weekend,Get Lucky,Loverboy,227.6ø
When It'S Over,live_ loud & loose,Loverboy,329.6ø
Take Me To The Top,live_ loud & loose,Loverboy,438.0ø
Lucky Ones,live_ loud & loose,Loverboy,242.8ø
Jump,Get Lucky,Loverboy,220.0ø
I Told You So,Get Lucky,Loverboy,73.0ø
I Believe You,40/40,Carpenters,234.1ø
(Want You) Back In My Life Again,Yesterday Once More-Greatest Hits 1969-1983,Carpenters,219.1ø
Here Comes That Rainbow Again,Broken Freedom Song: Live From San Francisco,Kris Kristofferson,164.8ø
I Second That Emotion,Assemblage,Japan,317.0ø
You Don't Have Very Far To Go,Seven Year Ache,Rosanne Cash,156.8ø
Where Will The Words Come From?,Seven Year Ache,Rosanne Cash,164.3ø
What Kinda Girl?,Seven Year Ache,Rosanne Cash,167.5ø
Seven Year Ache,Seven Year Ache,Rosanne Cash,195.7ø
Only Human,Seven Year Ache,Rosanne Cash,241.4ø
My Baby Thinks He's A Train,The Very  Best Of Rosanne Cash,Rosanne Cash,195.1ø
I Can't Resist,Seven Year Ache,Rosanne Cash,206.2ø
Hometown Blues,Seven Year Ache,Rosanne Cash,179.9ø
Blue Moon With Heartache,Seven Year Ache,Rosanne Cash,270.0ø
Guitar Street,King Of The Beach,Chris Rea,285.3ø
Square Biz,It Must Be Magic,Teena Marie,400.6ø
Opus III (Does Anybody Care),Greatest Hits,Teena Marie,96.8ø
It Must Be Magic,Greatest Hits,Teena Marie,368.8ø
Visions Of China,The Collection,Japan,219.2ø
The Art Of Parties (Single Version) (2003 Digital Remaster),Tin Drum,Japan,407.6ø
The Art Of Parties (Live) (2003 Digital Remaster),Tin Drum,Japan,336.0ø
The Art Of Parties (2003 Digital Remaster),Tin Drum,Japan,252.2ø
The Art Of Parties,Tin Drum,Japan,251.1ø
Still Life In Mobile Homes,Tin Drum,Japan,334.2ø
State Line,Assemblage,Japan,285.4ø
Sons Of Pioneers (2003 Digital Remaster),Tin Drum,Japan,429.2ø
Life In Tokyo (Part 1),Assemblage,Japan,243.1ø
Life In Tokyo,Quiet Life,Japan,425.0ø
Ghosts (Single Version) (2003 Digital Remaster),Tin Drum,Japan,241.4ø
European Son,Assemblage,Japan,217.8ø
Canton (2003 Digital Remaster),Tin Drum,Japan,334.9ø
Quel Exil,A L'Envers,Jean-Jacques Goldman,180.8ø
It's A Love Thing,Floorfillers 80s Club Classics,The Whispers,228.2ø
Quand On Arrive En Ville,L'Inoubliable,Daniel Balavoine,208.2ø
Je Suis Bien,L'Inoubliable,Daniel Balavoine,214.3ø
Deja Vu,My Friends & Me,Dionne Warwick,290.2ø
Winter Wonderland,What A Wonderful Christmas (USA & Canada),Anne Murray,191.0ø
Away In A Manger,Christmas Wishes,Anne Murray,179.8ø
Some Changes Are For Good,Platinum & Gold Collection,Dionne Warwick,229.1ø
No Night So Long,Love Songs,Dionne Warwick,206.9ø
Great White Hunter,Curse of the Zounds + Singles,Zounds,200.3ø
Demystification,Curse of the Zounds + Singles,Zounds,225.7ø
Tomorrow's Just Another Day,Total Madness,Madness,194.0ø
U Turn Me On,Iron Age,Mother's Finest,235.3ø
Time,Iron Age,Mother's Finest,252.0ø
Movin' On,Iron Age,Mother's Finest,263.3ø
Luv Drug,Iron Age,Mother's Finest,178.7ø
Illusion [C'mon Over To My House],Iron Age,Mother's Finest,198.6ø
Gone With Th' Rain,Iron Age,Mother's Finest,273.1ø
Evolution,Iron Age,Mother's Finest,228.9ø
Earthling,Iron Age,Mother's Finest,198.8ø
All The Way,Iron Age,Mother's Finest,320.2ø
Zimbabwe Dub,World At War,Scientist,210.9ø
World At War,World At War,Scientist,174.5ø
Nessuna Direzione,G.N.,Gianna Nannini,237.5ø
Bi Bip,G.N.,Gianna Nannini,185.0ø
That's The Way It Goes,Concrete,Nine Nine Nine,203.6ø
Taboo,Slam!,999,180.0ø
Don't You Know I Need You,Concrete,Nine Nine Nine,193.4ø
Change,Slam!,999,237.4ø
Bongos On The Nile,Slam!,999,275.0ø
Virgin of the World,Sonic Attack,Hawkwind,249.0ø
The Speed of Light,Sonic Attack,Hawkwind,402.8ø
Rocky Paths,Live Chronicles,Hawkwind,229.5ø
Psychosonia,Sonic Attack,Hawkwind,153.6ø
Lost Chances,Sonic Attack,Hawkwind,336.9ø
Living on a Knife Edge,Sonic Attack,Hawkwind,474.7ø
