Sagte mal ein Dichter,Wenn der Abend kommt/Circulus,Holger Biege,197.0ø
Runaway Girl,Club Ultra Eternal House,Sterling Void,560.6ø
Rude Awakening,The Process Of Elimination,External Menace,262.2ø
Worte wie Pfeile,Daliah Lavi: Lieder des Lebens,Daliah Lavi,223.6ø
Liebeslied jener Sommernacht,Daliah Lavi: Lieder des Lebens,Daliah Lavi,227.9ø
Ich glaub' an die Liebe,Daliah Lavi: Lieder des Lebens,Daliah Lavi,189.3ø
Homesick,Birth of the Blues Volume 3,Homesick James,163.3ø
Stunt Girl,Stunt Girl,A.C. Acoustics,179.6ø
I Messiah_ Am Jailer,Victory Parts,Ac Acoustics,195.9ø
High Drivers,Victory Parts,Ac Acoustics,268.5ø
High Divers,I Messiah_ Am Jailer,A.C. Acoustics,268.9ø
Hand Passes Empty,Victory Parts,Ac Acoustics,249.1ø
Hammerhead,Victory Parts,Ac Acoustics,217.1ø
Fast,Victory Parts,Ac Acoustics,165.7ø
Ex Quartermaster,Victory Parts,Ac Acoustics,222.7ø
Continuity Freak,Victory Parts,Ac Acoustics,204.7ø
Can't See Anything,Victory Parts,Ac Acoustics,248.9ø
Admirals All,Victory Parts,Ac Acoustics,241.8ø
Absent Luck Liner,Victory Parts,Ac Acoustics,221.0ø
(Red Not Yellow),Victory Parts,Ac Acoustics,252.9ø
Would You Have Stayed?,Aden,Aden,132.0ø
When You Left,Aden,Aden,160.6ø
What Makes You Sad?,Aden,Aden,190.4ø
Walking In Circles,Aden,Aden,167.6ø
Still Cross My Mind,Aden,Aden,156.4ø
Snowy Sidewalks,Aden,Aden,135.6ø
Scooby Doo,Aden,Aden,154.5ø
Reverie,Aden,Aden,211.7ø
Plunky,Aden,Aden,138.6ø
Don't Act Sad,Aden,Aden,134.0ø
DC Song,Aden,Aden,89.0ø
Cause Of Your Tears,Aden,Aden,155.9ø
Why Should It Happen To Me,Metric Noise,The Killermeters,205.6ø
Cardiac Arrest,Metric Noise,The Killermeters,176.5ø
At My Front Door (Crazy Little Mama),The Very Best Of The El Dorados,The El Dorados,157.0ø
Watch The Water,Hold Onto I.D.,The Shadow Ring,366.7ø
Wash What You Eat,Hold Onto I.D.,The Shadow Ring,307.0ø
The Way Of The World,Hold Onto I.D.,The Shadow Ring,308.3ø
Like When,Hold Onto I.D.,The Shadow Ring,451.0ø
Hold Onto I.D.,Hold Onto I.D.,The Shadow Ring,455.1ø
Coombe House,Hold Onto I.D.,The Shadow Ring,286.0ø
Basic Everyday Life,Hold Onto I.D.,The Shadow Ring,271.8ø
Yesterday's Game,Traffic Sound,Traffic Sound,351.7ø
Tibet's Suzettes,Traffic Sound,Traffic Sound,285.2ø
Those Days Have Gone,Traffic Sound,Traffic Sound,206.8ø
Chicama Way,Traffic Sound,Traffic Sound,469.2ø
America,Traffic Sound,Traffic Sound,182.3ø
tell it to my heart,Mega Freestyle Box,Beatproduction,233.3ø
shake your body,Mega Freestyle Box,Beatproduction,266.2ø
I'm your lover,Italo Disco Rarities Vol.7,Joe Yellow,304.1ø
When I Wanted You,Wake Up Cecil Wake Up,Cecil Gant,125.4ø
Whats On Your Worried Mind,Wake Up Cecil Wake Up,Cecil Gant,173.6ø
Special Delivery,Wake Up Cecil Wake Up,Cecil Gant,190.0ø
Soft And Mellow,Wake Up Cecil Wake Up,Cecil Gant,184.5ø
New Cecil Boogie,Wake Up Cecil Wake Up,Cecil Gant,163.7ø
Midnight On Central Avenue,Wake Up Cecil Wake Up,Cecil Gant,168.8ø
Little Baby You'Re Running Wild,I Wonder,Cecil Gant,230.1ø
Jump Jack Jump,I Wonder,Cecil Gant,172.5ø
It's All Over Darling,Wake Up Cecil Wake Up,Cecil Gant,191.4ø
I Gotta Gal,Cecil's Boogie,Cecil Grant,212.8ø
Cecils Mop Mop,Wake Up Cecil Wake Up,Cecil Gant,147.3ø
Let's Call The Whole Thing Off,Ginger & Fred (The Gay Divorcee & more),Ginger Rogers_ Fred Astaire,197.5ø
The Trip (roni Size Remix),Future Sound Of Drum `n `bass,Skylab,239.2ø
Mr. Jelly Lord,Chicago Jazz (New Orleans Rhythm Kings Volume 2 1923),New Orleans Rhythm Kings,189.2ø
Maple Leaf Rag,Chicago Jazz (New Orleans Rhythm Kings Volume 2 1923),New Orleans Rhythm Kings,149.4ø
Walkman,Portfolio,Minimum Chips,147.7ø
Swish,Portfolio,Minimum Chips,221.5ø
Surf Kill,Portfolio,Minimum Chips,149.9ø
Vred Ung Mand,All The Hits,Ray Dee Ohh,208.7ø
Walk On By - R & B Mix,Walk On By,Young Deenay,299.1ø
Walk On By - Chill Out Mix,Walk On By,Young Deenay,293.3ø
Walk On By - 808 Mix,Walk On By,Young Deenay,317.6ø
No Escape,Maxi Disco Vol 4,Max Him,371.3ø
Delear Prius,Les morts vont vite,Shub-Niggurath,242.6ø
False Prophet (Man With No Name Mix),Devils Circus,Zodiac Youth,366.2ø
Devils Circus (Elysium Mix),Devils Circus,Zodiac Youth,449.2ø
Valediction,Free-Born John (The Story Of John Lilburne),Rev Hammer,214.6ø
The Whipping Song,Free-Born John (The Story Of John Lilburne),Rev Hammer,184.5ø
The Battle of Brentford,Free-Born John (The Story Of John Lilburne),Rev Hammer,167.5ø
Seventeen Years Of Sorrow,Free-Born John (The Story Of John Lilburne),Rev Hammer,173.3ø
Burford Stomp,Free-Born John (The Story Of John Lilburne),Rev Hammer,134.6ø
Bonny Besses,Free-Born John (The Story Of John Lilburne),Rev Hammer,317.1ø
Take Control,From Past To Present,Gary D.,496.6ø
You Can't Judge A Book By It's Cover - Original,A Rockin' Decade,Sleepy LaBeef,163.5ø
What Am I Living For - Original,A Rockin' Decade,Sleepy LaBeef,222.2ø
Too Much Monkey Business - Original,A Rockin' Decade,Sleepy LaBeef,123.0ø
Stormy Monday Blues - Original,A Rockin' Decade,Sleepy LaBeef,267.0ø
Shotgun Boogie - Original,A Rockin' Decade,Sleepy LaBeef,151.5ø
Shame Shame Shame - Original,A Rockin' Decade,Sleepy LaBeef,116.7ø
Roll Over Beethoven - Original,A Rockin' Decade,Sleepy LaBeef,172.0ø
