Nobody's Fault But Mine,Freedom Highway,The Staple Singers,107.5ø
How Can I Hurt You? (LP Version) (Ichiban),Here I Am,Dionne Warwick,157.5ø
Whipped Cream,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,154.7ø
More And More Amor,Going Places,Herb Alpert And The Tijuana Brass,167.5ø
Ladyfingers,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,166.3ø
Felicia,Going Places,Herb Alpert And The Tijuana Brass,168.8ø
El Garbanzo,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,133.7ø
Cinco De Mayo,Going Places,Herb Alpert And The Tijuana Brass,140.9ø
Bittersweet Samba,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,104.5ø
And The Angels Sing,Going Places,Herb Alpert And The Tijuana Brass,159.1ø
Who Can I Turn To,The Sensitive Sound Of Dionne Warwick,Dionne Warwick,188.3ø
In Between The Heartaches (LP Version) (Ichiban),Here I Am,Dionne Warwick,172.0ø
I Loves You Porgy (LP Version),Here I Am,Dionne Warwick,104.2ø
How Blue Can You Get?,Live In Japan,B.B. King,317.9ø
Mae,Going Places,Herb Alpert And The Tijuana Brass,150.4ø
Love Potion No. 9,The Graduate - Music From The Broadway Comedy,Herb Alpert's Tijuana Brass,181.4ø
Lemon Tree,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,144.4ø
Butterball,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,134.5ø
A Walk In The Black Forest,Going Places,Herb Alpert And The Tijuana Brass,111.8ø
A Taste Of Honey,Whipped Cream And Other Delights,Herb Alpert And The Tijuana Brass,164.6ø
3rd Man Theme,Going Places,Herb Alpert And The Tijuana Brass,157.1ø
Judgment Day,So Many Roads,John Hammond,204.6ø
Gambling Blues,So Many Roads,John Hammond,192.9ø
Big Boss Man,The Best Of,John Hammond,162.7ø
Baby Please Don'T Go,So Many Roads,John Hammond,142.0ø
Since You've Been Loving Me,The Complete Motown Singles_ Volume 5: 1965,The Velvelettes,133.7ø
A Bird In The Hand (Is Worth Two In The Bush),The Motown Anthology,The Velvelettes,171.9ø
