Mangoes,Jazz Blend,Sonny Rollins Quartet,322.2ø
Apple,I Won't Try (The Collection),Midway Still,199.3ø
Voodoo,Half Out,Steven Brown,328.7ø
The Thrill,Half Out,Steven Brown,264.2ø
San Francisco,Half Out,Steven Brown,268.8ø
Out of My Body,Half Out,Steven Brown,325.6ø
Moaning Low,Half Out,Steven Brown,266.3ø
In the Still of the Night,Half Out,Steven Brown,215.8ø
Decade,Half Out,Steven Brown,204.8ø
Ti Tusen Tommeltotta,40+ [2cd],Halvdan Sivertsen,185.6ø
Sommerfuggel I Vinterland,Hilsen Halvdan,Halvdan Sivertsen,258.5ø
Hus Ved Havet,Hilsen Halvdan,Halvdan Sivertsen,230.6ø
Frihet,40+ [2cd],Halvdan Sivertsen,238.1ø
Fin Morra,Ny & Naken,Halvdan Sivertsen,244.2ø
Charlie,Hilsen Halvdan,Halvdan Sivertsen,234.3ø
You Think You're Doing It On Your Own (Album Version),Pray For Me,The Mighty Clouds Of Joy,261.4ø
Somewhere Around The Throne (Album Version),Pray For Me,The Mighty Clouds Of Joy,290.2ø
Showing Each Other Love (Album Version),Pray For Me,The Mighty Clouds Of Joy,364.4ø
Pray For Me,Raise Your Hand,Mighty Clouds Of Joy,225.3ø
Nobody Can Turn Me Around (Album Version),Pray For Me,The Mighty Clouds Of Joy,186.4ø
Heavy Load,Gospel,The Mighty Clouds Of Joy,343.7ø
Can't Nobody Do Me Like Jesus (Album Version),Pray For Me,The Mighty Clouds Of Joy,233.9ø
Ain't Got Long Here,20th Century Masters: The Millennium Collection: Best of The Mighty Clouds Of Joy,Mighty Clouds Of Joy,159.8ø
Modesty Blaze,Sunstorm - Best Of! Vol. 2,Software,231.5ø
Erotic Desire,Sunstorm - Best Of! Vol. 2,Software,298.1ø
Year Of The Tiger,Compilation,Look Blue Go Purple,153.9ø
Vain Hopes,Compilation,Look Blue Go Purple,279.6ø
Safety In Crosswords,Compilation,Look Blue Go Purple,196.8ø
In Your Favour,Compilation,Look Blue Go Purple,160.8ø
Hiawatha,Compilation,Look Blue Go Purple,209.2ø
Days Of Old,Compilation,Look Blue Go Purple,156.4ø
Conscious Unconscious,Compilation,Look Blue Go Purple,208.9ø
As Does The Sun,Compilation,Look Blue Go Purple,194.9ø
100 Times,Compilation,Look Blue Go Purple,158.4ø
Per Og Lise,Underveis,Jan Eggum,192.3ø
Tule hulluksi,Pahat Ja Rumat,Ne Luumaet,128.4ø
Takapenkki,Pahat Ja Rumat,Ne Luumaet,81.6ø
Riemumaa,Pahat Ja Rumat,Ne Luumaet,121.4ø
Oot kaunis,Pahat Ja Rumat,Ne Luumaet,182.9ø
Onnellinen perhe,Rahat ja pois,Ne Luumaet,228.9ø
Lapsenvahti,Pahat Ja Rumat,Ne Luumaet,142.7ø
Kuka vei flipperin?,Pahat Ja Rumat,Ne Luumaet,145.7ø
Kadunlakaisija,Rahat ja pois,Ne Luumaet,168.7ø
Hietarantaan,Pahat Ja Rumat,Ne Luumaet,105.0ø
Heli oli Juvan kaunein,Laki Ja Jarjestys,Ne Luumaet,142.3ø
Anna anna shokkihoitoo,Pahat Ja Rumat,Ne Luumaet,130.9ø
Wieviele Finger Braucht Eine Faust,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,236.4ø
Wahnsinn,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,234.6ø
Schau mir in die Augen,Soll mich lieben wer will,Ina Deter,239.3ø
Mit Leidenschaft,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,221.9ø
Jahre schon her,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,270.4ø
Habe Mich Auf Meinem Weg Gefunden,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,236.0ø
Winter,Cheap Pearls And Whisky Dreams: The Best Of,Love & Money,244.3ø
My Love Lives In A Dead House,Cheap Pearls And Whisky Dreams: The Best Of,Love & Money,279.8ø
World's Goin Down,Journey To The Center Of The Bowl,Hilt,386.0ø
White Stuff,Orange Pony - EP,Hilt,167.7ø
Way Out There,Journey To The Center Of The Bowl,Hilt,360.8ø
Walkin On Thunder,Journey To The Center Of The Bowl,Hilt,262.8ø
The Ride,Journey To The Center Of The Bowl,Hilt,319.0ø
Super Honey,Journey To The Center Of The Bowl,Hilt,249.8ø
Sandy Feet,Journey To The Center Of The Bowl,Hilt,147.7ø
Real Cool Rain,Journey To The Center Of The Bowl,Hilt,170.3ø
Orange Pony,Orange Pony - EP,Hilt,536.5ø
Never Gonna Fall Again,Journey To The Center Of The Bowl,Hilt,221.2ø
Loudmouth Canyon,Journey To The Center Of The Bowl,Hilt,305.2ø
Green Love,Orange Pony - EP,Hilt,325.5ø
El Diablo,Journey To The Center Of The Bowl,Hilt,328.6ø
Crazy For You,Journey To The Center Of The Bowl,Hilt,213.5ø
Birdwatcher,Journey To The Center Of The Bowl,Hilt,252.7ø
314,Journey To The Center Of The Bowl,Hilt,205.2ø
222,Journey To The Center Of The Bowl,Hilt,154.0ø
9:50,Journey To The Center Of The Bowl,Hilt,284.8ø
Sleigh Ride,Christmas,Arthur Fiedler,158.8ø
Marie Antoinette,Bone Box,Chris Bailey And The General Dog,203.7ø
Long Story,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,Rudy Mills,191.5ø
When My Love Comes Down,I'll Run Your Hurt Away,Ruby Johnson,163.6ø
If I Ever Needed Love (I Sure Do Need It Now),I'll Run Your Hurt Away,Ruby Johnson,140.6ø
Come To Me My Darling,I'll Run Your Hurt Away,Ruby Johnson,203.3ø
Christmas Time Blues,RM Blues,Roy Milton,185.9ø
Koud In Mijn Hart,Wilde Bloemen,Frank Boeijen,225.0ø
Shit World,10 Years Nuclear Blast,chronical diarrhoea,86.4ø
Oo Wee Baby,Collector's Gold Series,The Harptones,177.9ø
You Talk Too Much,The Roulette Story,Joe Jones,151.5ø
Zaketoen,Zonder Titel / Iets Van April,Gerard Van Maasakkers,280.9ø
Oktober,Zonder Titel / Iets Van April,Gerard Van Maasakkers,209.8ø
Jouw Tranen,Zonder Titel / Iets Van April,Gerard Van Maasakkers,242.5ø
Janus Dekkers,Zonder Titel / Iets Van April,Gerard Van Maasakkers,297.5ø
Ik Wil Bij Jou Zijn,Zonder Titel / Iets Van April,Gerard Van Maasakkers,175.6ø
Graafseweg 108,Zonder Titel / Iets Van April,Gerard Van Maasakkers,204.1ø
Ga Maar Alvast,Zonder Titel / Iets Van April,Gerard Van Maasakkers,161.7ø
De Wasserette,Zonder Titel / Iets Van April,Gerard Van Maasakkers,303.0ø
De Kraaien,Zonder Titel / Iets Van April,Gerard Van Maasakkers,153.9ø
The Naked & The Dead,Suspension & Displacement,Djam Karet,325.3ø
Severed Moon,Suspension & Displacement,Djam Karet,390.6ø
Gordon's Basement,Suspension & Displacement,Djam Karet,210.3ø
Consider Figure Three,Suspension & Displacement,Djam Karet,470.9ø
8:15 - No Safe Place,Suspension & Displacement,Djam Karet,285.7ø
Transcendental Moonshine,Quilombo,Steroid Maximus,223.0ø
The Smother Brother,Quilombo,Steroid Maximus,427.8ø
The Heidnik Manoeuvre,Quilombo,Steroid Maximus,257.5ø
Quilombo,Quilombo,Steroid Maximus,262.0ø
Phantom Miscarriage,Quilombo,Steroid Maximus,298.4ø
Ogro,Quilombo,Steroid Maximus,143.8ø
No Joy in Pudville,Quilombo,Steroid Maximus,138.1ø
Life in the Greenhouse Effect,Quilombo,Steroid Maximus,261.7ø
Big Hedda Meets Little Napoleon,Quilombo,Steroid Maximus,261.2ø
Voglio Sognare,Io E I Pooh,Riccardo Fogli,199.3ø
Un Angelo,Io E I Pooh,Riccardo Fogli,203.0ø
Il Mio Grande Avvenire,Io E I Pooh,Riccardo Fogli,218.3ø
Snake in the Grass,Livetime,Bintangs,181.7ø
Sunrise Sunset,This Is Criss!,Sonny Criss,169.2ø
Steve's Blues,This Is Criss!,Sonny Criss,379.9ø
Skylark,This Is Criss!,Sonny Criss,306.0ø
Love For Sale,This Is Criss!,Sonny Criss,386.0ø
Greasy,This Is Criss!,Sonny Criss,144.5ø
Days Of Wine And Roses,This Is Criss!,Sonny Criss,196.5ø
Black Coffee,This Is Criss!,Sonny Criss,468.5ø
Black Mule,The Best Of The Solo Recordings 1990-1997,Grant McLennan,285.5ø
Too Shy,I Spent A Week There The Other Night,Moe Tucker,218.6ø
That's Bad,I Spent A Week There The Other Night,Moe Tucker,300.0ø
Stayin' Put,I Spent A Week There The Other Night,Moe Tucker,259.7ø
S.O.S,I Spent A Week There The Other Night,Moe Tucker,194.6ø
Lazy,I Spent A Week There The Other Night,Moe Tucker,147.9ø
In A Spanish Town,I Spent A Week There The Other Night,Moe Tucker,192.3ø
I'm Waiting For The Man,I Spent A Week There The Other Night,Moe Tucker,335.6ø
I'm Not,I Spent A Week There The Other Night,Moe Tucker,415.6ø
Fired Up,I Spent A Week There The Other Night,Moe Tucker,238.7ø
Blue_ All The Way To Canada,I Spent A Week There The Other Night,Moe Tucker,231.3ø
Baby_ Honey_ Sweetie,I Spent A Week There The Other Night,Moe Tucker,199.7ø
(And) Then He Kissed Me,I Spent A Week There The Other Night,Moe Tucker,150.5ø
Take Me Back,The Victor Recordings (1928 - 1929),Frank Stokes,190.9ø
Frank Stokes' Dream,The Best Of Frank Stokes,Frank Stokes,180.8ø
Say It Loud,Get Serious,Cut 'N' Move,218.4ø
No Connection,Get Serious,Cut 'N' Move,265.8ø
Message Of Love,Get Serious,Cut 'N' Move,334.9ø
Jazz House,Get Serious,Cut 'N' Move,303.9ø
How To Allow It,Get Serious,Cut 'N' Move,312.1ø
Girl You Got Me Working,Get Serious,Cut 'N' Move,260.9ø
Get Serious (Take No Crap),Get Serious,Cut 'N' Move,229.0ø
Get Serious (Basement Boys Ground Level Mix),Get Serious,Cut 'N' Move,268.0ø
Cyclone Zone,Get Serious,Cut 'N' Move,225.1ø
Cut 'N' Move Theme,Get Serious,Cut 'N' Move,149.4ø
