Laughing Man,Still Some Light,Bill Fay,196.3ø
El Viejo,Refrito,Pappo's Blues,147.2ø
Algo Ha Cambiado,Pappo'S Blues,Pappo,267.3ø
WEATHER BRIGHTLY,Tasavallan Presidentti,Tasavallan Presidentti,200.0ø
TIS ME TIS YOU,Tasavallan Presidentti,Tasavallan Presidentti,119.4ø
TELL ME MORE,Tasavallan Presidentti,Tasavallan Presidentti,231.7ø
STRUGGLING FOR FREEDOM,Tasavallan Presidentti,Tasavallan Presidentti,286.2ø
SINKING,Tasavallan Presidentti,Tasavallan Presidentti,424.9ø
INTRODUCTION,Tasavallan Presidentti,Tasavallan Presidentti,245.4ø
DEEP THINKER,Tasavallan Presidentti,Tasavallan Presidentti,156.4ø
Vendo Casa,Formula 3,Formula 3,169.4ø
Un Papavero,Formula Tre,Formula 3,241.2ø
Storia Di Un Uomo E Una Donna,Formula 3,Formula 3,282.6ø
Sognando E Risognando,Formula 3,Formula 3,289.9ø
Nessuno Nessuno,Formula 3,Formula 3,296.9ø
Mi Chiamo Antonio Tal Dei Tali E Lavoro Ai Mercati Generali,Formula 3,Formula 3,352.9ø
La Folle Corsa,Formula 3,Formula 3,294.2ø
La Ciliegia Non E' Di Plastica,Formula 3,Formula 3,271.2ø
Io Ritorno Solo,Formula 3,Formula 3,247.8ø
Il Vento,Formula Tre,Formula 3,287.1ø
Eppur Mi Son Scordato Di Te,Formula 3,Formula 3,217.5ø
Avevo Una Bambola,Formula 3,Formula 3,197.8ø
