I Believe In Music,The Hit Singles Collection,Kenny Rogers & The First Edition,248.3ø
Primavera,Pure Bossa Nova,Carlos Lyra,164.5ø
Minha Namorada,Pure Bossa Nova,Carlos Lyra,223.0ø
Essa Passou,Pure Bossa Nova,Carlos Lyra | Chico Buarque,143.0ø
Running (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,219.4ø
Mighty Mighty (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,169.0ø
Mama Get Yourself Together (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,375.1ø
Listen To Me (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,401.6ø
Hard Times (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,194.7ø
California Dreamin' (LP Version),The Baby Huey Story: The Living Legend,Baby Huey & The Baby Sitters,288.4ø
Chrystal Angel,Ferris,Ferris,170.6ø
Black Friday,Ferris,Ferris,95.7ø
You Could Tell Me,Ferris,Ferris,180.0ø
Women Are Allright,Ferris,Ferris,138.8ø
Vagabond,Ferris,Ferris,206.9ø
Stirling,Ferris,Ferris,81.0ø
Mr. America,Ferris,Ferris,152.5ø
Mama,Ferris,Ferris,157.3ø
Basically Pure,Ferris,Ferris,322.6ø
Walk In The Night,The Definitive Collection,Jr. Walker & The All Stars,249.3ø
