Afghan Woman,Genesis,Marc Bolan,108.8ø
Well Of Destiny,S.F. Sorrow,The Pretty Things,106.8ø
The Journey,S.F. Sorrow,The Pretty Things,166.2ø
Talkin' About The Good Times,S.F. Sorrow,The Pretty Things,225.8ø
Old Man Going,Latest Writs The Best Of& Greatest Hits,The Pretty Things,186.8ø
Death,S.F. Sorrow,The Pretty Things,185.7ø
Bracelets Of Fingers,S.F. Sorrow,The Pretty Things,221.1ø
Baron Saturday,S.F. Sorrow,The Pretty Things,241.5ø
Balloon Burning,S.F. Sorrow,The Pretty Things,231.1ø
Voices Of Old People,The Collection,Simon & Garfunkel,132.0ø
Overs,Sounds of silence / Bookends / Bridge over troubled water,Simon & Garfunkel,134.7ø
You've Lost That Lovin' Feelin',Silk N' Soul + Nitty Gritty,Gladys Knight & The Pips,209.9ø
You're My Everything,Gladys Knight & The Pips - Universal Masters Collection,Gladys Knight & The Pips,183.7ø
Theme From 'Valley Of The Dolls',Silk N' Soul + Nitty Gritty,Gladys Knight & The Pips,159.6ø
Together,Silk N' Soul + Nitty Gritty,Gladys Knight & The Pips,164.2ø
Grazing In The Grass,Hope,Hugh Masekela,207.7ø
Porterville,The Singles Collection,Creedence Clearwater Revival,137.3ø
I Put A Spell On You,Chronicle: 20 Greatest Hits (Ecopac),Creedence Clearwater Revival,271.9ø
Gloomy,Creedence Clearwater Revival,Creedence Clearwater Revival,228.4ø
Get Down Woman,The Complete Collection (Digital Box),Creedence Clearwater Revival,188.7ø
I Am A Child,The Best Of Buffalo Springfield: Retrospective,Buffalo Springfield,142.4ø
Watch Where You Walk,Timeless,Frankie Valli,181.5ø
Eleanor Rigby,Timeless,Frankie Valli,153.8ø
Those Were the Days ,Live at the Royal Festival Hall 1972,Mary Hopkin,270.4ø
Those Were The Days,Music To Remember - 45 Classic Hits From The 50's & 60's,Mary Hopkin,296.6ø
The Robin,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,145.2ø
The Christmas Song,Christmas Album,Herb Alpert And The Tijuana Brass,221.0ø
The Bell That Couldn't Jingle,Christmas Album,Herb Alpert And The Tijuana Brass,176.4ø
Talk To The Animals,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,136.3ø
Slick,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,212.2ø
My Favourite Things,Christmas Album,Herb Alpert And The Tijuana Brass,185.8ø
Monday_ Monday,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,189.7ø
