Memories Are Made Of This,That's Amore,Dean Martin,176.1ø
The Way You Do The Things You Do,Live As It Gets,The Temptations,179.1ø
The Girl's Alright With Me,Anthology,The Temptations,175.5ø
The Times They Are A-Changin',Mtv Unplugged,Bob Dylan,348.6ø
Spanish Harlem Incident,Another Side Of Bob Dylan,Bob Dylan,145.7ø
My Back Pages,Bob Dylan The 30th Anniversary Concert Celebration,Bob Dylan;Roger McGuinn;Tom Petty;Neil Young;Eric Clapton;George Harrison,279.5ø
I Shall Be Free No. 10,Another Side Of Bob Dylan,Bob Dylan,288.3ø
I Don't Believe You (She Acts Like We Never Have Met),Bob Dylan Live - Thirty Nine Years Of Great Concert Performances (Japan),Bob Dylan,360.1ø
Chimes Of Freedom,The Bootleg Series_ Vol. 7 - No Direction Home: The Soundtrack,Bob Dylan,482.8ø
Black Crow Blues,Another Side Of Bob Dylan,Bob Dylan,194.7ø
Ballad In Plain D,The Times They Are A-Changin'/Another Side Of Bob Dylan,Bob Dylan,494.9ø
All I Really Want To Do,The Times They Are A-Changin'/Another Side Of Bob Dylan,Bob Dylan,241.7ø
That's What I Like,Dino Swings!,Dean Martin,156.1ø
Standing on the Corner,Smooth & Easy,Dean Martin,168.2ø
Promised Land,The Ultimate Chuck Berry,Chuck Berry,142.5ø
Nobody,Protest Anthology,Nina Simone,308.8ø
Mississippi Goddam,Gold,Nina Simone,292.9ø
To Be or Not to Be,Best of Bee Gees,Bee Gees,133.4ø
Three Kisses Of Love,The Early Years,The Bee Gees,111.8ø
Claustrophobia,The Early Years,The Bee Gees,138.5ø
You're The One,Kings Of Rock N Roll,Buddy Holly,91.2ø
I Guess I was Just a Fool,Early Buddy,Buddy Holly,134.3ø
Tennessee Waltz,Portrait Of A Legend,Sam Cooke,189.8ø
Rome (Wasn't Built In A Day),Ain't That Good News,Sam Cooke,152.9ø
Opening Introduction,Sam Cooke At the Copa,Sam Cooke,35.9ø
The Riddle Song,Ain't That Good News,Sam Cooke,149.7ø
Body And Soul,The Complete Jazz At The Philharmonic On Verve_ 1944-1949,Charles Mingus | Coleman Hawkins | Neal Hefti | Shorty Sherock | Corky Corcoran | Milton Raskin | Dave Barbour | Dave Coleman,249.3ø
