Tell Him No,US - May - 1959,Travis & Bob,130.3ø
Estrellita,Esquivel - Orchestra and Chorus,Esquivel,154.4ø
Historia De Una Rumba,De Nuevo,Celia Cruz & Johnny Pacheco,334.3ø
Monica,Kop In De Wind,Circus Custers,220.7ø
Waltz For John & Paco,Guitarras Hermanas,Lara & Reyes,265.3ø
Viene Clareando,Guitarras Hermanas,Lara & Reyes,165.7ø
Sabor A Mi,Guitarras Hermanas,Lara & Reyes,215.4ø
Ojos De Mar,Guitarras Hermanas,Lara & Reyes,246.8ø
Lejos De Aqui,Guitarras Hermanas,Lara & Reyes,325.4ø
Cotton Candy,Guitarras Hermanas,Lara & Reyes,273.1ø
Cielo Sin Nubes,Guitarras Hermanas,Lara & Reyes,236.9ø
Besos Rosas,Guitarras Hermanas,Lara & Reyes,257.0ø
Barrios De San Antonio,Guitarras Hermanas,Lara & Reyes,227.8ø
Bajo Las Sombras,Guitarras Hermanas,Lara & Reyes,227.1ø
