Out Of The Depths,Legends Of Gospel & Blues - Everlasting,Mahalia Jackson,222.7ø
Pistol Packin' Mama,Bing Crosby - 16 Golden Greats,Bing Crosby & The Andrews Sisters,179.3ø
Suunnaton typeryys,Vuosikerta,Irwin Goodman,166.1ø
Zora,Let 3 - Two Dogs Fuckin,Let 3,296.1ø
Veliki dan,Let 3 - Two Dogs Fuckin,Let 3,319.1ø
Niotkuda,Let 3 - Two Dogs Fuckin,Let 3,295.1ø
Ne trebam te,Let 3 - Two Dogs Fuckin,Let 3,226.1ø
Izgubljeni,Let 3 - Ziva picka,Let 3,366.6ø
Ciklama,Let3 - El Desperado,Let3,52.3ø
Armada,Let 3 - Two Dogs Fuckin,Let 3,222.1ø
James Brown,Megatop Phoenix,Big Audio Dynamite,308.7ø
Volio bih da si tu,The Ultimate Collection,Crvena Jabuka,216.4ø
To mi radi,The Ultimate Collection,Crvena Jabuka,241.8ø
Ostani,The Ultimate Collection,Crvena Jabuka,202.3ø
My One Temptation,Born Again,Mica Paris,272.7ø
B.B.B.,Live In Punkow,CCCP - Fedeli Alla Linea,163.4ø
Agua De Beber,For Lovers,Antonio Carlos Jobim,170.6ø
Henry (version originale),Dantzig Twist,Marquis De Sade,223.1ø
Boys-Boys,Dantzig Twist,Marquis De Sade,290.5ø
Besuchen Sie Europa,Die Geier fliegen tief!,Geier Sturzflug,170.9ø
You Are My Life - Classical Mix,Different,Thomas Anders,280.0ø
Turn On The Light,Different,Thomas Anders,251.8ø
True Love - Single Version,Different,Thomas Anders,266.7ø
True Love,Whispers,Thomas Anders,285.5ø
On My Way,Different,Thomas Anders,350.1ø
Perfume,Hollelujah,Holly Johnson,357.1ø
Love Train,Hollelujah,Holly Johnson,402.0ø
Heaven's Here,Hollelujah,Holly Johnson,569.1ø
Atomic City,Hollelujah,Holly Johnson,451.9ø
Americanos,Hollelujah,Holly Johnson,373.0ø
Kings Of Evil,Live 2008 I-Gods Of Metal,Death SS,265.9ø
In The Darkness,Live 2008 I-Gods Of Metal,Death SS,347.6ø
Black Mass,Live 2008 I-Gods Of Metal,Death SS,513.6ø
