People,More Feelings Again,Fausto Papetti,146.2ø
Major Tom,Plastic Bertrand,Plastic Bertrand,195.7ø
We're The League,We Are The League,Anti-Nowhere League,164.5ø
We Will Survive,Live In Yugoslavia,Anti-Nowhere League,215.2ø
We Are The League,Live And Loud,Anti-Nowhere League,188.6ø
Nowhere Man,So What? Early Demos & Live Abuse,Anti-Nowhere League,144.3ø
Let The Country Feed You,The Punk Rock Anthology,Anti-Nowhere League,172.4ø
I Hate People,Live In Yugoslavia,Anti-Nowhere League,197.9ø
Going Down,The Punk Rock Anthology,Anti-Nowhere League,232.9ø
For You,The Punk Rock Anthology,Anti-Nowhere League,185.8ø
Animal,The Punk Rock Anthology,Anti-Nowhere League,160.1ø
(We Will Not) Remember You,The Punk Rock Anthology,Anti-Nowhere League,121.2ø
White Lines (Don't Do It),Floorfillers 80s Club Classics,Grandmaster Flash & Melle Mel,267.4ø
Yesterday (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,300.0ø
White Lines (New Remix)  [aka White Lines (Don't Do It),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,200.8ø
The Truth (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,255.2ø
The New Adventures of Grandmaster (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,347.8ø
It's Nasty (Genius Of Love),The Sugar Hill Hip-Hop Box Set,Grandmaster Flash & The Furious Five,257.9ø
Hustlers Convention (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flashl & The Furious Five,376.0ø
Can't Keep Running Away [aka Can't Keep Runnin' Away] (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,214.5ø
At The Party (LP Version),Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,194.8ø
Tuulelta vastauksen saan (Live) (2005 Digital Remaster),Sielun Veljet,Sielun Veljet,229.0ø
Huda Huda,Otteita Tuomari Nurmion Laulukirjasta,Sielun Veljet,186.9ø
Live For Today,Killer Lords,Lords Of The New Church,219.4ø
Dance With Me,Killer Lords,Lords Of The New Church,205.5ø
Black Girl White Girl,Killer Lords,Lords Of The New Church,220.1ø
Pubertet vlada gradom,The Ultimate Collection,Leb I Sol,287.4ø
Malo sutra,The Ultimate Collection,Leb I Sol,234.6ø
Kalabalak,The Ultimate Collection,Leb I Sol,238.0ø
Bistra voda,The Ultimate Collection,Leb I Sol,292.2ø
Pierangelo's Blues,Frammenti di...Perangelo Bertoli,Pierangelo Bertoli,285.1ø
Speel Niet Met Vuur,Gewoon Voor Jou,Andre Hazes,151.4ø
Acceleration,Chimera,Bill Nelson,236.6ø
