Heaven In Your Eyes,Greatest Hits - The Real Thing,Loverboy,244.0ø
Going Down Slow,My Sweet Little Angel,B.B. King,283.5ø
Whole Lotta Lovin',Fore!,Huey Lewis And The News,210.9ø
Stuck With You,Fore!,Huey Lewis And The News,269.6ø
Naturally,Fore!,Huey Lewis And The News,173.2ø
Lives In The Balance,Jackson Browne Solo Acoustic Vol. 1,Jackson Browne,217.6ø
Lawless Avenues  (LP Version),Lives In The Balance,Jackson Browne,338.7ø
In The Shape Of A Heart  (LP Version),Lives In The Balance,Jackson Browne,342.2ø
Black And White (LP Version),Lives In The Balance,Jackson Browne,311.4ø
Mona Lisa (Bonus Track),Orchid In The Storm,Aaron Neville,226.5ø
Mickey Mouse March (Bonus Track),Orchid In The Storm,Aaron Neville,133.1ø
For Your Precious Love,Orchid In The Storm,Aaron Neville,238.4ø
Earth Angel,Orchid In The Storm,Aaron Neville,239.3ø
Fourth Interlude,Sonatas And Interludes For Prepared Piano,John Cage,170.2ø
Simple As That,Fore!,Huey Lewis And The News,267.7ø
I Never Walk Alone,Fore!,Huey Lewis And The News,225.0ø
Hip To Be Square,Fore!,Huey Lewis And The News,245.5ø
Doing It All For My Baby,Fore!,Huey Lewis And The News,219.9ø
Alley Oop (Live),LIVE,George Thorogood And The Destroyers,238.3ø
There Goes My Everything,Engelbert At His Very Best,Engelbert Humperdinck,176.1ø
I'll Walk Alone,Love Songs & Ballads,Engelbert Humperdinck,219.4ø
After the Lovin',Engelbert: Totally Amazing,Engelbert Humperdink,190.2ø
Under The Oak,Live,CANDLEMASS,358.8ø
Solitude,Epicus Doomicus Metallicus (2007 bonus edition),CANDLEMASS,337.8ø
Demons Gate,Live,CANDLEMASS,530.8ø
Black Stone Wielder,Epicus Doomicus Metallicus (2007 bonus edition),CANDLEMASS,456.8ø
Something Always Happens,The Best Of The Art Of Noise,Art Of Noise,150.4ø
Memento,Daft,Art Of Noise,132.9ø
Love,Daft,Art Of Noise,421.1ø
(Three Fingers Of) Love,Daft,Art Of Noise,285.4ø
Candyman,At The BBC,Siouxsie And The Banshees,226.7ø
Driving Home For Christmas,The Road To Hell Part 2,Chris Rea,241.2ø
Main Title,Back To The Future III,Alan Silvestri,187.3ø
Sunny Skies,Love Songs,Teena Marie,521.3ø
This Is My Story/We Belong Together (Duet With Art Neville),Orchid In The Storm,Aaron Neville,271.2ø
Visite Nuestro Bar,Peligrosamente Juntos,Hombres G,201.4ø
Un Par De Palabras,Las baladas,Hombres G,198.2ø
Te Quiero,Las baladas,Hombres G,225.8ø
Marta Tiene Un Marcapasos,1984 - 1992 Disco Libro,Hombres G,133.1ø
La Carretera,1984 - 1992 Disco Libro,Hombres G,248.7ø
Indiana,La Cagaste... Burt Lancaster,Hombres G,173.0ø
En La Playa,La Cagaste... Burt Lancaster,Hombres G,249.3ø
El Es... Rita La Cantaora,La Cagaste... Burt Lancaster,Hombres G,234.8ø
El Ataque De Las Chicas Cocodrilo,Peligrosamente Juntos,Hombres G,184.4ø
Dos Imanes,La Cagaste... Burt Lancaster,Hombres G,238.9ø
True II (Instrumental),Concrete Blonde,Concrete Blonde,146.5ø
Still In Hollywood,Recollection - The Best Of,Concrete Blonde,223.5ø
Over Your Shoulder,Concrete Blonde,Concrete Blonde,204.4ø
Little Sister,Concrete Blonde,Concrete Blonde,234.0ø
