TV Treated,TV Treated,The Neon Judgement,388.9ø
E102,The Rise & Fall Of BMX Bandits,BMX Bandits,217.0ø
Rien Ne Va Plus,Vai Rrouge,Enrico Ruggeri,312.6ø
The Bowland Fen Decoy,Big Cock,King Kurt,192.2ø
Road To Rack N Ruin,Big Cock,King Kurt,192.8ø
Pumpin' Pistons,Big Cock,King Kurt,251.5ø
Nervous Breakdown,Big Cock,King Kurt,169.0ø
Momma Kurt,Destination Demoland,King Kurt,166.2ø
Lucky Pride,Big Cock,King Kurt,242.9ø
Kneebone Knock,Big Cock,King Kurt,136.9ø
Horatio,Big Cock,King Kurt,220.8ø
Do The Shag,Big Cock,King Kurt,116.3ø
Billy,Big Cock,King Kurt,316.6ø
Big Daddy,Big Cock,King Kurt,236.2ø
Alcoholic Rat,Big Cock,King Kurt,218.4ø
