Strictly Instrumental,Jazz - Beginner,Harry James,175.5ø
I Wanna Rock,Rocky V_ 15 yr. Aniv. Soundtrack,Rob Base,182.2ø
The World Is Flat,Candleland & Mysterio [Extended Editions],Ian McCulloch,278.2ø
Let's Get Funky,Low Life,Beasts Of Bourbon,439.7ø
Bad Revisited,Low Life,Beasts Of Bourbon,270.7ø
Women Respond To Bass (Vocal),In Dub,Renegade Soundwave,287.0ø
Transworld Siren (1990),In Dub,Renegade Soundwave,360.1ø
Transition,In Dub,Renegade Soundwave,203.7ø
Thunder (1990),In Dub,Renegade Soundwave,354.8ø
Recognise And Respond,In Dub,Renegade Soundwave,289.1ø
Holgertron,In Dub,Renegade Soundwave,225.0ø
Deadly (1990),In Dub,Renegade Soundwave,302.4ø
Black Eye Boy (1990),In Dub,Renegade Soundwave,378.9ø
Biting My Nails (Instrumental),Soundclash,Renegade Soundwave,320.9ø
Bacteria,In Dub,Renegade Soundwave,314.4ø
Walk A Mile In My Shoes,Karaoke: The Rockin' 70's - Singing to the Hits,Joe South,217.6ø
Young Man,Slave To The Thrill,Hurricane,233.6ø
Temptation,Slave To The Thrill,Hurricane,193.3ø
Smiles Like A Child,Slave To The Thrill,Hurricane,256.2ø
Reign of Love,Slave To The Thrill,Hurricane,288.5ø
Next To You,Slave To The Thrill,Hurricane,217.0ø
Lock Me Up,Slave To The Thrill,Hurricane,222.3ø
Let It Slide,Slave To The Thrill,Hurricane,277.0ø
Interlude,Slave To The Thrill,Hurricane,66.7ø
In The Fire,Slave To The Thrill,Hurricane,209.1ø
Don't Wanna Dream,Slave To The Thrill,Hurricane,305.8ø
Dance Little Sister,Slave To The Thrill,Hurricane,292.7ø
10_ 000 Years,Slave To The Thrill,Hurricane,344.7ø
Waiting For The Man,7 Years - 1979 -1986,No More,270.9ø
Theme For Angels In Big Cities,7 Years - 1979 -1986,No More,167.1ø
Istanbul,7 Years - 1979 -1986,No More,222.7ø
I Still Bear The Scars,7 Years - 1979 -1986,No More,250.1ø
Golden Games,7 Years - 1979 -1986,No More,236.6ø
Entree Tunesienne,7 Years - 1979 -1986,No More,307.0ø
El Dorado,7 Years - 1979 -1986,No More,249.7ø
Dim The Lights,7 Years - 1979 -1986,No More,144.1ø
Arabesque,7 Years - 1979 -1986,No More,231.2ø
7 Years,7 Years - 1979 -1986,No More,216.7ø
Ruleta Russa,Early Years,Dr. Calypso,141.4ø
My Avocado,Early Years,Dr. Calypso,200.5ø
Mr. Farlops,Early Years,Dr. Calypso,203.8ø
Time (LP Version),Venice,Venice,242.4ø
Save The Legion (LP Version),Venice,Venice,253.8ø
Sacrifice The Fool (LP Version),Venice,Venice,249.2ø
Pushed Her To Far (LP Version),Venice,Venice,273.3ø
People Laugh (LP Version),Venice,Venice,236.0ø
Ocean (LP Version),Venice,Venice,264.8ø
Mr. Lonely (LP Version),Venice,Venice,284.5ø
Kaylee (LP Version),Venice,Venice,249.7ø
Hideaway Hill  (LP Version),Venice,Venice,314.1ø
Change In The Season (LP Version),Venice,Venice,319.9ø
Ball And Chain  (LP Version),Venice,Venice,260.9ø
All My Life (LP Version),Venice,Venice,301.1ø
Silver Bird,Karaoke: The Rockin' 70's - Singing to the Hits,Mark Lindsay,176.3ø
Un bonheur sans nuage,La charmeuse de serpents,Jil Caplan,379.4ø
Souffrir,La charmeuse de serpents,Jil Caplan,257.1ø
Je t'apprends rien,La charmeuse de serpents,Jil Caplan,221.6ø
Baby_ wenn ich down bin [feat. Leata Galloway],Wendezeiten,Udo Lindenberg,206.3ø
I Don't Want To Lose Your Love,B Angie B,B Angie B,269.6ø
Spacefish,Life In The Jungle,Walter Trout,36.8ø
She's Out There Somewhere,Life In The Jungle,Walter Trout,260.5ø
Serve Me Right to Suffer - (live),Life In The Jungle,Walter Trout,439.0ø
Red House - (live),Life In The Jungle,Walter Trout,591.2ø
Mountain Song_ The,Life In The Jungle,Walter Trout,220.4ø
Life in the Jungle,Life In The Jungle,Walter Trout,344.7ø
In My Mind,Life In The Jungle,Walter Trout,264.7ø
Good Enough to Eat,Life In The Jungle,Walter Trout,266.8ø
Frederica (I Don't Need You),Life In The Jungle,Walter Trout,291.2ø
Cold Cold Feeling - (live),Life In The Jungle,Walter Trout,518.1ø
I'll Never Smile Again,Ray Anthony Plays For Dream Dancing,Ray Anthony,173.5ø
Mancunian Blues,The North At Its Heights,MC Tunes,289.2ø
