There Ain't No Future In This,Up Close And Personal,Reba McEntire,146.2ø
Lost For Words,The Division Bell,Pink Floyd,314.8ø
Dancing Nancies,Under The Table And Dreaming,DAVE MATTHEWS BAND,364.9ø
Standin' Round Crying (Live) (Album Version),From The Cradle,Eric Clapton,218.3ø
Someday After A While (Live) (Album Version),From The Cradle,Eric Clapton,268.1ø
I'm Tore Down  (Live) (Album Version),From The Cradle,Eric Clapton,182.6ø
How Long Blues  (Live)  (Album Version),From The Cradle,Eric Clapton,188.4ø
Hoochie Coochie Man  (Live) (Album Version),From The Cradle,Eric Clapton,195.8ø
Driftin' (Live)  (Album Version),From The Cradle,Eric Clapton,188.7ø
Blues Leave Me Alone  (Live)  (Album Version),From The Cradle,Eric Clapton,217.1ø
Lilac Wine,Live At La Olympia,Jeff Buckley,339.0ø
Last Goodbye,Mystery White Boy,Jeff Buckley,298.2ø
Hallelujah,50 Great Songs,Jeff Buckley,411.6ø
Grace,Mystery White Boy/Grace,Jeff Buckley,322.1ø
Dream Brother,Mystery White Boy/Grace,Jeff Buckley,325.4ø
Ruiner,The Downward Spiral,Nine Inch Nails,297.0ø
Mr. Self Destruct,The Downward Spiral,Nine Inch Nails,272.8ø
March Of The Pigs,March Of The Pigs,Nine Inch Nails,177.7ø
A Fine Romance,Ken Burns Jazz-Louis Armstrong,Louis Armstrong;Ella Fitzgerald,230.6ø
Nothing Was Delivered,The Basement Tapes,Bob Dylan & The Band,263.3ø
Dignity,Tell Tale Signs: The Bootleg Series Vol. 8,Bob Dylan,131.5ø
The Becoming,The Downward Spiral,Nine Inch Nails,333.4ø
March Of The Fuckheads,Closer To God,Nine Inch Nails,284.2ø
Closer (Precursor),Closer To God,Nine Inch Nails,436.0ø
What Happened to You?,Smash,The Offspring,132.1ø
Something to Believe In,Smash,The Offspring,197.6ø
So Alone,Smash,The Offspring,77.3ø
Not the One (Album Version),Smash,The Offspring,175.0ø
Nitro (Youth Energy),Smash,The Offspring,147.0ø
Killboy Powerhead (Album Version),Smash,The Offspring,122.9ø
Killboy Powerhead,Smash,The Offspring,122.7ø
It'll Be a Long Time (Album Version),Smash,The Offspring,163.3ø
Genocide,Smash,The Offspring,213.1ø
Come Out and Play (Album Version),Smash,The Offspring,197.8ø
Winner's Blues,Experimental Jet Set_ Trash And No Star,Sonic Youth,127.7ø
Sweet Shine,Experimental Jet Set_ Trash And No Star,Sonic Youth,470.9ø
Superstar,Juno - Music From The Motion Picture,Sonic Youth,248.2ø
Razor Blade,The Destroyed Room,Sonic Youth,67.9ø
Doctor's Orders,Experimental Jet Set_ Trash And No Star,Sonic Youth,260.5ø
Androgynous Mind,Experimental Jet Set_ Trash And No Star,Sonic Youth,210.4ø
Mary's Joint,My Life,Mary J. Blige,302.1ø
I'm Goin' Down,Reflections - A Retrospective,Mary J. Blige,221.7ø
Little Wing,The Best Of,Stevie Ray Vaughan,409.3ø
For All Tid,For All Tid,Dimmu Borgir,351.6ø
Who Is He? (And What Is He To You?),Lovely Day: The Best Of...,Bill Withers,192.4ø
Stupidmop,Vitalogy,Pearl Jam,474.0ø
Not For You,25/6/00 Parkbuhne Wuhlheide Berlin Germany,Pearl Jam,326.2ø
Last Exit,Vitalogy,Pearl Jam,176.1ø
Immortality,rearviewmirror (greatest hits 1991-2003),Pearl Jam,312.3ø
Hard To Imagine,Lost Dogs,Pearl Jam,275.8ø
Better Man,Seattle Washington November 5 2000,Pearl Jam,265.0ø
Sideshow,The Best Of Alice Cooper,Alice Cooper,398.9ø
Nothing's Free,The Last Temptation,Alice Cooper,301.9ø
You're My Temptation,Super Hits,Alice Cooper,310.3ø
Stolen Prayer,Super Hits,Alice Cooper,337.5ø
Lost In America,Alice Cooper Classicks,Alice Cooper,232.3ø
It's Me,Alice Cooper Classicks,Alice Cooper,277.3ø
