Larry Go!,Zive v Palaci Akropolis,Echt!,317.7ø
The Wounds Of Bitterness,Fevered,Left Hand Solution,287.7ø
The Futile Passion,Fevered,Left Hand Solution,224.6ø
The Bleeding,Fevered,Left Hand Solution,383.1ø
Scorns Of Time,Fevered,Left Hand Solution,357.6ø
Scarred,Fevered,Left Hand Solution,215.1ø
Memories (Of The Tragedienne),Fevered,Left Hand Solution,327.3ø
Angels With The Last Plagues,10 Years Nuclear Blast,Left Hand Solution,208.4ø
Sunken Anchor,Eight Hours Away From Being A Man,Roadside Monument,182.3ø
Still,Beside This Brief Hexagonal,Roadside Monument,205.0ø
So Fabeled_ Oh,Beside This Brief Hexagonal,Roadside Monument,225.0ø
Seed,Beside This Brief Hexagonal,Roadside Monument,168.5ø
Prozac Princess,Beside This Brief Hexagonal,Roadside Monument,345.5ø
Mothered Others,Beside This Brief Hexagonal,Roadside Monument,383.2ø
Lobbyest,Beside This Brief Hexagonal,Roadside Monument,296.2ø
Immersion,Beside This Brief Hexagonal,Roadside Monument,181.8ø
Greek Tragedy,Beside This Brief Hexagonal,Roadside Monument,236.0ø
Boasting In Weekness,Beside This Brief Hexagonal,Roadside Monument,157.6ø
