The Bed's Too Big Without You,The Bed's Too Big Without You,The Police,266.1ø
Reggatta De Blanc,Reggatta De Blanc,The Police,187.4ø
On Any Other Day,Reggatta De Blanc,The Police,180.1ø
No Time This Time,Reggatta De Blanc,The Police,200.6ø
Message In A Bottle,Message In A Box,The Police,291.6ø
Landlord,Message In A Box,The Police,189.8ø
It's Alright For You,Message In A Box,The Police,193.3ø
Bring On The Night,Message In A Box,The Police,255.9ø
The Thin Ice,Is There Anybody Out There? / The Wall Live  Pink Floyd  1980-81,Pink Floyd,169.5ø
Outside The Wall,Is There Anybody Out There? / The Wall Live  Pink Floyd  1980-81,Pink Floyd,268.1ø
Hey You,Is There Anybody Out There? / The Wall Live  Pink Floyd  1980-81,Pink Floyd,295.0ø
Comfortably Numb,Is There Anybody Out There? / The Wall Live  Pink Floyd  1980-81,Pink Floyd,446.0ø
Hot Dog  (Album Version),In Through The Out Door,Led Zeppelin,196.9ø
Fool In The Rain  (Album Version),In Through The Out Door,Led Zeppelin,372.9ø
Does Everyone Stare,Regatta De Blanc,The Police,228.0ø
Deathwish,Reggatta De Blanc,The Police,255.9ø
The Guns Of Brixton,London Calling (Legacy Edition),The Clash,189.7ø
The Card Cheat,London Calling (Legacy Edition),The Clash,229.5ø
Spanish Bombs,London Calling (Legacy Edition),The Clash,198.9ø
Rudie Can't Fail,London Calling (Legacy Edition),The Clash,209.1ø
London Calling,The Clash (UK Version)  - London Calling - Combat Rock,The Clash,201.8ø
I Fought The Law,Live At Shea Stadium,The Clash,204.4ø
Death Or Glory,Clash On Broadway,The Clash,237.1ø
Clampdown,London Calling,The Clash,229.1ø
Brand New Cadillac,London Calling,The Clash,128.2ø
Those Shoes (LP Version),The Long Run,Eagles,294.8ø
The Greeks Don't Want No Freaks (LP Version),The Long Run,Eagles,139.1ø
Blue Christmas,An Austin Rhythm And Blues Christmas,Willie Nelson,156.8ø
Do Right To Me Baby (Do Unto Others),Slow Train Coming,Bob Dylan,233.8ø
Fall Out,Live!,The Police,166.8ø
Contact,Message In A Box,The Police,158.4ø
Fins,Songs You Know By Heart,Jimmy Buffett,204.7ø
You're The Only One,Dolly,Dolly Parton,199.1ø
Train In Vain,Clash On Broadway,The Clash,191.6ø
Lost In The Supermarket,London Calling (Legacy Edition),The Clash,232.1ø
I'm Not Down,London Calling (Legacy Edition),The Clash,186.1ø
Hateful,The Clash (UK Version)  - London Calling - Combat Rock,The Clash,164.0ø
Groovy Times,The Essential Clash,The Clash,209.8ø
Gates Of The West,Super Black Market Clash,The Clash,208.2ø
Four Horsemen,London Calling (Legacy Edition),The Clash,165.3ø
Armagideon Time,From Here To Eternity,The Clash,305.1ø
Race Babbling,Journey Through The Secret Life Of Plants,Stevie Wonder,531.5ø
Power Flower,The Complete Stevie Wonder,Stevie Wonder,330.8ø
Earth's Creation,Journey Through The Secret Life Of Plants,Stevie Wonder,245.4ø
With You (LP Version),Prince,Prince,240.2ø
Why You Wanna Treat Me So Bad?,The Hits/The B-Sides 3,Prince,229.0ø
When We're Dancing Close And Slow (LP Version),Prince,Prince,323.4ø
The Flow (Album Version),Prince,Prince,146.5ø
Sweet Baby  (Album Version),Prince,Prince,241.9ø
Still Waiting (LP Version),Prince,Prince,255.5ø
It's Gonna Be Lonely (LP Version),Prince,Prince,327.6ø
I Wanna Be Your Lover (LP Version),Prince,Prince,349.8ø
I Feel For You,The Hits 1,Prince,204.3ø
Arrogance (Album Version),Prince,Prince,95.2ø
And God Created Woman (Album Version),Prince,Prince,198.3ø
3 Chains O' Gold  (Album Version),Prince,Prince,363.3ø
Winter,Three Imaginary Boys,The Cure,225.3ø
The Cocktail Party,Three Imaginary Boys,The Cure,255.6ø
Play With Me,Three Imaginary Boys,The Cure,208.7ø
Jumping Someone Else's Train,Three Imaginary Boys,The Cure,177.7ø
I Just Need Myself,Three Imaginary Boys,The Cure,132.7ø
Foxy Lady,Three Imaginary Boys,The Cure,149.2ø
Boys Don't Cry,Starter For 10: Original Motion Picture Soundtrack [International],The Cure,161.5ø
Accuracy,Three Imaginary Boys,The Cure,137.2ø
The Secret Life Of Plants,The Complete Stevie Wonder,Stevie Wonder,256.2ø
The Star Spangled Banner,Rattle And Hum,Jimi Hendrix,43.0ø
See Me_ Feel Me,The Kids Are Alright,The Who,319.2ø
Anyway_ Anyhow_ Anywhere,The Kids Are Alright,The Who,169.7ø
Yesterdays,Blue Moon,Billie Holiday,172.3ø
Three Imaginary Boys,Three Imaginary Boys,The Cure,195.2ø
So What,Three Imaginary Boys,The Cure,156.1ø
Object,Three Imaginary Boys,The Cure,182.8ø
Meat Hook,Three Imaginary Boys,The Cure,137.8ø
It's Not You,Three Imaginary Boys,The Cure,195.0ø
I'm Cold,Join The Dots - The B-Sides & Rarities,The Cure,167.6ø
New Values,Heroin Hates You,Iggy Pop,250.9ø
The Green Manalishi (With The Two-Pronged Crown),Living After Midnight,Judas Priest,204.4ø
Kisses Of Fire,The Albums,Abba,201.7ø
I Have A Dream,The Abba Story,Abba,278.9ø
Gimme! Gimme! Gimme! (A Man After Midnight),Classic Abba,Abba,287.6ø
Does Your Mother Know,ABBA Gold,Abba,193.6ø
Transmission,Control,Joy Division,182.3ø
Shadowplay,The Best Of,Joy Division,233.2ø
Novelty,Let The Movie Begin,Joy Division,284.2ø
New Dawn Fades,The Best Of,Joy Division,286.8ø
How Do Ya Fix A Broken Part,New Values,Iggy Pop,173.1ø
Girls,Collections,Iggy Pop,186.5ø
Five Foot One,Platinum & Gold Collection,Iggy Pop,271.9ø
You Tell Me,Damn The Torpedoes,Tom Petty And The Heartbreakers,276.1ø
Louisiana Rain,Damn The Torpedoes,Tom Petty And The Heartbreakers,355.3ø
Voulez-Vous,Number Ones,Abba,306.7ø
Lost Johnny (1997 Digital Remaster),On Parole,Motorhead,210.2ø
Leaving Here (1997 Digital Remaster),On Parole,Motorhead,174.0ø
City Kids (Alternate Take) (1997 Digital Remaster),On Parole,Motorhead,227.8ø
Thunder In The Night,Victim Of Love,Elton John,280.3ø
Street Boogie,Victim Of Love,Elton John,237.5ø
The Continental (Album Version),Prince,Prince,331.1ø
The Smokey Life,Mojo Presents... Leonard Cohen,Leonard Cohen,318.9ø
The Gypsy's Wife,Recent Songs,Leonard Cohen,313.7ø
Humbled In Love,Recent Songs,Leonard Cohen,315.1ø
Ballad Of The Absent Mare,Death of a ladies man / Recent songs / The future,Leonard Cohen,383.0ø
The Imposter,Get Happy,Elvis Costello & The Attractions,118.4ø
Green Shirt,Armed Forces,Elvis Costello & The Attractions,162.4ø
Big Boys,This Year's Model,Elvis Costello & The Attractions,179.7ø
Good Timin',The Very Best Of The Beach Boys: Sounds Of Summer,The Beach Boys,134.4ø
Is There Anybody There?,Live Bites,Scorpions,248.0ø
Take The Long Way Home,Paris,Supertramp,300.4ø
Victor (2001 Digital Remaster),Eat To The Beat,Blondie,199.1ø
The Hardest Part,The Platinum Collection,Blondie,220.6ø
Sunday Girl (French Version),The Platinum Collection,Blondie,192.6ø
Shayla,Blonde and Beyond,Blondie,234.3ø
Seven Rooms Of Gloom (Live) (2001 Digital Remaster),Eat To The Beat,Blondie,168.6ø
Ring Of Fire (Live) (2001 Digital Remaster),Eat To The Beat,Blondie,209.9ø
Heart Of Glass (Radio Edit) (2006 Digital Remaster),Heart Of Glass,Blondie vs. Edison,201.2ø
Dreaming,Best Of Blondie,Blondie,188.1ø
Atomic,Once More Into The Bleach,Blondie,276.3ø
Accidents Never Happen (2001 Digital Remaster),Eat To The Beat,Blondie,254.3ø
