Moth To A Flame,Live In Hamburg,Roger Chapman,349.3ø
The Force Is Blind,Viva La Rock 'n' Roll!,Alternative TV,314.4ø
Truckstop Queen,Fool Around,Rachel Sweet,190.5ø
Tourist Boys,Fool Around,Rachel Sweet,236.2ø
Sad Song,Fool Around,Rachel Sweet,172.0ø
I Go To Pieces,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,163.4ø
Baby Let's Play House,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,121.2ø
Silly Games,Girls Triple Set,Janet Kay,236.1ø
Dancin' On A Saturday Night,Night Ride,Barry Blue,188.2ø
Windows,Photo With ...,Jan Garbarek Group,405.1ø
White Cloud,Photo With ...,Jan Garbarek Group,545.4ø
Red Roof,Photo With ...,Jan Garbarek Group,468.8ø
Blue Sky,Photo With ...,Jan Garbarek Group,405.4ø
Remember Then,The Very Best of Showaddywaddy,Showaddywaddy,149.0ø
Lady Of The Dawn,A Songwriter's Tale,Mike Batt,250.5ø
Tropical Comic Strip,Nice Mover,Gina X Performance,308.5ø
Plastic Surprise Box,Nice Mover,Gina X Performance,189.2ø
Nice Mover,Nice Mover,Gina X Performance,274.1ø
Exhibitionism,Nice Mover,Gina X Performance,298.6ø
Casablanca,Nice Mover,Gina X Performance,336.5ø
Black Sheep,Nice Mover,Gina X Performance,229.9ø
Be A Boy,Nice Mover,Gina X Performance,240.2ø
Out Of Luck,Perfect Youth,Pointed Sticks,164.9ø
Lies,Waiting for the Real Thing,Pointed Sticks,151.2ø
I'm Numb,Waiting for the Real Thing,Pointed Sticks,123.6ø
There's No Business Like Show Business,Marilyn Monroe - The Diamond Collection,Ethel Merman,148.1ø
Some People,Gypsy,Ethel Merman_ Stephen Sondheim,218.8ø
I Get A Kick Out Of You,Into The Lounge,Ethel Merman,200.5ø
Everything's Coming Up Roses,Gypsy (Original Broadway Cast),Ethel Merman,185.5ø
Alexander's Ragtime Band,Merman sings Merman/Ethel's Ridin' High,Ethel Merman | The London Festival Orchestra | Stanley Black,115.8ø
We Are Racey,Smash and Grab,Racey,186.2ø
There's A Party Going On,The Best Of Racey,Racey,191.7ø
Such A Night,The Best Of Racey,Racey,179.6ø
Some Girls,Smash and Grab,Racey,207.4ø
She's A Winner,The Best Of Racey,Racey,171.0ø
Shame,Smash and Grab,Racey,157.7ø
Rudi,Smash and Grab,Racey,176.7ø
Rock It,Smash and Grab,Racey,164.0ø
Rah Stateway,The Best Of Racey,Racey,228.8ø
Not Too Young To Get Married,Smash and Grab,Racey,182.7ø
Love's A Riot,The Best Of Racey,Racey,181.7ø
Love Games,Smash and Grab,Racey,199.4ø
Little Darlin',Smash and Grab,Racey,162.0ø
Let Me Take You Home Tonight,Smash and Grab,Racey,208.0ø
Lay Your Love On Me,Racey (db),Racey,194.0ø
Lay Your Cards On The Table,The Best Of Racey,Racey,191.4ø
Kitty,Smash and Grab,Racey,219.1ø
High Street Sunset,Smash and Grab,Racey,175.4ø
Fighting Chance,The Best Of Racey,Racey,227.9ø
Boy Oh Boy,TOP POP OLDIES,Racey,175.9ø
Baby It's You,Racey (db),Racey,269.0ø
The Game Of Love,'60s Pop Number 1's,Wayne Fontana | The Mindbenders,126.0ø
Mine And Billy's Head,More Great Hits!,Family Fodder,35.6ø
Kisses,More Great Hits!,Family Fodder,85.4ø
