Kun joulupukki vatsahaavan sai,Kohta taas on joulu,Irwin Goodman,201.7ø
Train Woman,Hibernated - Earth Omen,Frijid Pink,238.4ø
Sailor,Hibernated - Earth Omen,Frijid Pink,260.9ø
New Horizon,Hibernated - Earth Omen,Frijid Pink,260.1ø
Mr. Blood,Hibernated - Earth Omen,Frijid Pink,278.5ø
Miss Evil,Hibernated - Earth Omen,Frijid Pink,383.5ø
Lost Son,Hibernated - Defrosted,Frijid Pink,163.7ø
Lazy Day,Hibernated - Earth Omen,Frijid Pink,277.2ø
I Love Her,Hibernated - Defrosted,Frijid Pink,138.5ø
Go Now,Hibernated - Earth Omen,Frijid Pink,176.9ø
Eternal Dream,Hibernated - Earth Omen,Frijid Pink,257.9ø
Earth Omen,Hibernated - Earth Omen,Frijid Pink,212.0ø
