Your Cheating Heart,The Collection,Don McLean,187.4ø
Ugly Truth,Louder Than Love,Soundgarden,329.0ø
No Wrong No Right,Louder Than Love,Soundgarden,287.9ø
I Awake,Louder Than Love,Soundgarden,261.1ø
Gun,Louder Than Love,Soundgarden,282.5ø
Full On Kevin's Mom,Louder Than Love,Soundgarden,217.3ø
Horsey,Cats Drunk On Copper,Current 93,527.3ø
Remember When Lovin' Took All Night,Karen Carpenter,Karen Carpenter,230.4ø
Lovelines,Lovelines,Carpenters,269.8ø
Kiss Me The Way You Did Last Night,Lovelines,Carpenters,246.4ø
Ain't Looking For Love,Big Ones,Loverboy,279.8ø
The Uninvited Guest,Lovelines,Carpenters,265.7ø
Slow Dance,Lovelines,Carpenters,213.6ø
If I Had You,Interpretations: A Carpenters 25th Anniversary Album,Carpenters,240.5ø
Honolulu City Lights,Lovelines,Carpenters,200.6ø
Lights And Virtues  (LP Version),World In Motion,Jackson Browne,285.1ø
How Long (LP Version),World In Motion,Jackson Browne,374.7ø
Adios abanico_ que llego el aire,Rock Transgresivo,Extremoduro,217.8ø
Romperas,Rock Transgresivo,Extremoduro,211.8ø
Emparedado,Rock Transgresivo,Extremoduro,254.4ø
Licence To Kill,Licence To Kill,Gladys Knight,314.5ø
The Promise,The Best Of Kirk Whalum,Kirk Whalum,363.6ø
I Wonder,Hits 1979 - 1989,Rosanne Cash,185.0ø
Why Bother?,Piece of Time,Atheist,175.7ø
Unholy War,Piece of Time,Atheist,138.4ø
Undefiled Wisdom (R.A.V.A.G.E. On They Slay Demo),Piece of Time,Atheist,267.3ø
Piece of Time,Unquestionable Presence: Live At Wacken,Atheist,355.0ø
On They Slay (R.A.V.A.G.E. On They Slay Demo),Piece of Time,Atheist,244.8ø
On They Slay (Beyond Demo),Piece of Time,Atheist,232.5ø
No Truth (Beyond Demo),Piece of Time,Atheist,240.4ø
Life,Piece of Time,Atheist,191.9ø
I Deny,Piece of Time,Atheist,239.8ø
Hell Hath No Mercy (Hell Hath No Mercy Demo),Piece of Time,Atheist,184.4ø
Choose Your Death (Beyond Demo),Piece of Time,Atheist,199.8ø
Brain Damage (R.A.V.A.G.E. On They Slay Demo),Piece of Time,Atheist,288.4ø
Brain Damage (Beyond Demo),Piece of Time,Atheist,282.4ø
Beyond (Beyond Demo),Piece of Time,Atheist,195.5ø
Norma Jean,Benjor - Remasterizado,Jorge Ben Jor,280.3ø
Miss X,Benjor - Remasterizado,Jorge Ben Jor,250.5ø
Cowboy Jorge,Jorge Ben Jor 23,Jorge Ben Jor,269.5ø
Tylko Ja i Ty (2003 Digital Remaster),Najemnik,Dzem,332.8ø
Kaczor Cos Ty Zrobil (2003 Digital Remaster),Najemnik,Dzem,178.2ø
Harley Moj (2003 Digital Remaster),Najemnik,Dzem,249.3ø
When The Crowds Are Gone,Still The Orchestra Plays - Greatest Hits Volume 1 & 2,Savatage,346.3ø
24 Hours Ago,Still The Orchestra Plays - Greatest Hits Volume 1 & 2,Savatage,295.9ø
Where Greed Talks,Now I Fall,Wolfsheim,188.4ø
Elias,Hamburg-Rom (Live),Wolfsheim,276.6ø
Dark Reflections,Live,CANDLEMASS,283.4ø
Bastille Day,Greatest Hits Live In Concert Vol. 1,John Tesh,198.5ø
Uptownship,The Best Of Hugh Masekela On Novus,"Hugh Masekela;John ""Blackie"" Selolwane",365.3ø
Tell Me There's A Heaven,The Best Of Chris Rea,Chris Rea,361.5ø
Back On The Air,The Abyss,Alan Silvestri,100.6ø
Tayo Tayo Adiani,Douni El Bladi,Cheb Mami,332.6ø
Ralia Mahboubit Galbi,Douni El Bladi,Cheb Mami,352.3ø
Von Am Lebem Desto Sturm,Nosferatu,Helstar,117.8ø
To Sleep_ Perchance To Scream,Nosferatu,Helstar,276.6ø
The Curse Has Passed Away,Twas The Night Of A Helish Christmas,Helstar,311.9ø
Swirling Madness,Twas The Night Of A Helish Christmas,Helstar,238.5ø
Rhapsody In Black,Nosferatu,Helstar,58.7ø
Harsh Reality,Nosferatu,Helstar,194.2ø
Harker's Tale (Mass Of Death),Nosferatu,Helstar,265.9ø
Benediction,Nosferatu,Helstar,357.0ø
Baptized In Blood,Twas The Night Of A Helish Christmas,Helstar,326.1ø
Aieliaria And Everonn,Nosferatu,Helstar,226.4ø
Esta Tarde,Las baladas,Hombres G,169.7ø
Aprender A Caer,Las baladas,Hombres G,175.2ø
Cowboys And Clowns,The Essential Ronnie Milsap,Ronnie Milsap,194.9ø
Chitarra Romana,Classical Highlights - The Most Famous Hits,Luciano Pavarotti,186.6ø
Quando Le Sere Al Placido,The Maestro Lives On,Pavarotti,189.6ø
Fra Poco A Me Ricovero,The Best of Luciano Pavarotti,Luciano Pavarotti,191.1ø
Longue Route,Knock On Wood,The Young Gods,262.8ø
Charlotte,Knock On Wood,The Young Gods,127.3ø
Who Wants To Be The Disco King?,Live At The BBC,The Wonder Stuff,165.9ø
Unfaithful,Hup,The Wonder Stuff,160.7ø
No For The 13th Time,The Eight Legged Groove Machine,The Wonder Stuff,180.1ø
Good Night Though,CURSED WITH INSINCERITY,The Wonder Stuff,264.5ø
Golden Green,Live At The BBC,The Wonder Stuff,300.2ø
Gimme Some Truth,Hup,The Wonder Stuff,307.0ø
Cartoon Boyfriend,Hup,The Wonder Stuff,205.6ø
30 Years In The Bathroom,Hup,The Wonder Stuff,298.6ø
Read My Lips,State Of The Heart,Mary Chapin Carpenter,188.4ø
Quittin' Time,State Of The Heart,Mary Chapin Carpenter,235.0ø
Peur De Rien Blues (Live),Traces,Jean-Jacques Goldman,507.4ø
Il Changeait La Vie (Live),Traces,Jean-Jacques Goldman,265.0ø
C'Est Ta Chance (Live),Traces,Jean-Jacques Goldman,391.7ø
Too Many Broken Hearts,Big Tunes - Back 2 The 80s,Jason Donovan,205.4ø
Sealed With A Kiss,Let It Be Me,Jason Donovan,163.5ø
Nothing Can Divide Us,The Pop Years 1988 - 1989,Jason Donovan,224.0ø
Kissing The Wall,No Happy View,Wolfsheim,215.0ø
Ouach Etsalini,Douni El Bladi,Cheb Mami,282.5ø
Lella Rani Ensaaf El Mektoub,Douni El Bladi,Cheb Mami,386.0ø
Douni El Bladi,Douni El Bladi,Cheb Mami,325.1ø
Ana Mazel,Douni El Bladi,Cheb Mami,287.3ø
New Way (To Light Up An Old Flame),Super Hits,Joe Diffie,164.0ø
If You Want Me To,The Ultimate Hits,Joe Diffie,223.2ø
If The Devil Danced (In Empty Pockets),The Ultimate Hits,Joe Diffie,166.8ø
Love And Regret,When The World Knows Your Name,Deacon Blue,288.1ø
Living In A World,Access All Areas,Axxis,253.6ø
Run To Me,Love Songs,Dionne Warwick with Barry Manilow,273.3ø
A True Love,Greatest Hits 1979 - 1990,Dionne Warwick with Sacha Distell,199.9ø
The Moon,Kingdom Of The Night,Axxis,219.1ø
Tears Of The Trees,Kingdom Of The Night,Axxis,249.7ø
Singing For A Song,Kingdom Of The Night,Axxis,242.2ø
