If We Try,The Very Best Of Don McLean,Don McLean,214.2ø
Together Alone,Melanie at Carnegie Hall,Melanie,349.9ø
Here I Am,On Air,Melanie,156.8ø
Hurting Each Other,Love Songs,Carpenters,166.3ø
The Jamestown Ferry,Greatest Hits Encore,Tanya Tucker,185.4ø
Love's The Answer,Tanya Tucker'S Greatest Hits,Tanya Tucker,161.7ø
Delta Dawn,Tanya Tucker / Super Hits,Tanya Tucker,177.2ø
Piano Picker,A Song For You,Carpenters,121.9ø
I Won't Last A Day Without You,40/40,Carpenters,234.2ø
Goodbye To Love,A Song For You,Carpenters,238.3ø
Flat Baroque,A Song For You,Carpenters,108.1ø
A Song For You,Love Songs,Carpenters,278.1ø
Rock Me On The Water (LP Version),Jackson Browne,Jackson Browne,252.0ø
Timbalero,A Man And His Music,Willie Colon,497.6ø
La Murga,Salsa Legende - Best of Willie Colon,Willie Colon,333.7ø
Canto A Borinquen,Navidad Bailable,Willie Colon,269.0ø
Aguanile,A Man And His Music,Willie Colon,367.2ø
Under The Falling Sky (LP Version),Jackson Browne,Jackson Browne,249.9ø
Something Fine (LP Version),Jackson Browne,Jackson Browne,228.6ø
La Luce Dell'Est,Le Avventure Di Lucio Battisti E Mogol Vol. 2,Lucio Battisti,375.2ø
The Long And Winding Road,If I Were Your Woman + Standing Ovation,Gladys Knight & The Pips,205.6ø
Help Me Make It Through The Night,If I Were Your Woman + Standing Ovation,Gladys Knight & The Pips,259.2ø
Can You Give Me Love With A Guarantee,Knight Time + A Little Knight Music,Gladys Knight & The Pips,210.4ø
Part Of A Whole,Time,Hugh Masekela,380.9ø
What Are You Gonna Do,Mardi Gras,Creedence Clearwater Revival,171.9ø
Tearin' Up The Country,Creedence Country,Creedence Clearwater Revival,133.8ø
Sweet Hitch-Hiker,The Singles Collection,Creedence Clearwater Revival,177.2ø
Sail Away,Mardi Gras,Creedence Clearwater Revival,147.7ø
Need Someone To Hold,Creedence Country,Creedence Clearwater Revival,179.5ø
Lookin' For A Reason,Mardi Gras,Creedence Clearwater Revival,206.2ø
Hello Mary Lou,Creedence Covers The Classics,Creedence Clearwater Revival,132.6ø
Door To Door,The Singles Collection,Creedence Clearwater Revival,126.3ø
Who,Be Altitude: Respect Yourself,The Staple Singers,194.5ø
This Old Town (People In This Town),Be Altitude: Respect Yourself,The Staple Singers,281.1ø
Name The Missing Word,Be Altitude: Respect Yourself,The Staple Singers,240.5ø
Will It Go Round In Circles,20th Century Masters: The Millennium Collection: Best Of Billy Preston,Billy Preston,268.9ø
Blackbird,Ultimate Collection: Billy Preston,Billy Preston,166.2ø
So What's New,What Now My Love,Herb Alpert And The Tijuana Brass,132.8ø
Tribulation,6 6 6,Aphrodite's Child,32.4ø
The Wedding Of The Lamb,6 6 6,Aphrodite's Child,218.9ø
The Wakening Beast,6 6 6,Aphrodite's Child,71.8ø
The Seventh Seal,6 6 6,Aphrodite's Child,90.7ø
The Marching Beast,6 6 6,Aphrodite's Child,120.6ø
The Lamb,6 6 6,Aphrodite's Child,274.8ø
The Four Horsemen,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,351.9ø
The Capture Of The Beast,6 6 6,Aphrodite's Child,137.0ø
The Beast,6 6 6,Aphrodite's Child,146.0ø
Seven Trumpets,6 6 6,Aphrodite's Child,37.6ø
Seven Bowls,6 6 6,Aphrodite's Child,89.0ø
Lament,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,178.0ø
Do It,6 6 6,Aphrodite's Child,104.0ø
Break,6 6 6,Aphrodite's Child,181.2ø
Babylon,6 6 6,Aphrodite's Child,167.6ø
Altamont,6 6 6,Aphrodite's Child,273.9ø
Aegian Sea,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,324.4ø
"Sonaba Siempre Contigo ""Cartagenera",Canastera,Camaron De La Isla,102.7ø
"Que A Mi Me Vio De ""Naser"" ""Alegrias",Canastera,Camaron De La Isla,138.3ø
La Vi Por Primera Vez,Canastera,Camaron De La Isla | Paco De Lucia,194.5ø
Ruins,Catch Bull At Four,Cat Stevens,264.2ø
Pollution,Gli Anni '70/New Package,Franco Battiato,526.0ø
Il Silenzio Del Rumore,Gli Anni '70/New Package,Franco Battiato,104.0ø
Une minute cinquante-cinq,Brigitte Fontaine,Brigitte Fontaine,114.2ø
Premier juillet,Brigitte Fontaine,Brigitte Fontaine,112.5ø
Le dragon,Brigitte Fontaine,Brigitte Fontaine,124.8ø
Seven By Seven,Space Ritual Vol. 2,Hawkwind,532.8ø
Lord Of Light,Stasis The U.A Years 1971-1975,Hawkwind,419.0ø
Ventura Highway,America,America,202.3ø
Till The Sun Comes Up Again (Album Version),Homecoming,America,132.6ø
Till The Sun Comes Up Again,Live In Chicago,America,159.6ø
Saturn Nights (Album Version),Homecoming,America,211.6ø
Only In Your Heart,Struttin' Our Stuff,America,186.6ø
Head And Heart,Live In Chicago,America,238.4ø
Don't Cross the River,America,America,153.1ø
California Revisited (Album Version),Homecoming,America,185.3ø
Guess Who,Live At The Apollo,B.B. King,303.4ø
St. Anthony,Live At The BBC,The Sensational Alex Harvey Band,382.5ø
Midnight Moses,Live At The BBC,The Sensational Alex Harvey Band,279.2ø
Hole In Her Stocking,Live At The BBC,The Sensational Alex Harvey Band,342.6ø
Hammer Song,Framed / Next,The Sensational Alex Harvey Band,246.8ø
Framed,Faith Healer - An Introduction To The Sensational Alex Harvey Band,The Sensational Alex Harvey Band,295.5ø
Sylvia's Mother,Completely Hooked,Dr. Hook,229.8ø
Queen Of The Silver Dollar,Dr. Hook And The Medicine Show Revisited,Dr. Hook,285.5ø
Get My Rocks Off,Dr. Hook And The Medicine Show Revisited,Dr. Hook,187.9ø
Velvet,New Blood,Blood_ Sweat & Tears,211.9ø
Touch Me,New Blood,Blood_ Sweat & Tears,213.1ø
So Long Dixie,The Best Of Blood_ Sweat & Tears:  What Goes Up!,Blood_ Sweat & Tears,266.4ø
Over The Hill,New Blood,Blood_ Sweat & Tears,260.4ø
I Can't Move No Mountains,The Best Of Blood_ Sweat & Tears: What Goes Up!,Blood_ Sweat & Tears,175.7ø
Down In The Flood,New Blood,Blood_ Sweat & Tears,261.3ø
Alone,New Blood,Blood_ Sweat & Tears,329.4ø
See My Baby Jive,Original Hits - Seventies,Wizzard,297.3ø
Toma Dos Blues,Vida,Sui Generis,213.1ø
Pos Ludio,Vida,Sui Generis,65.8ø
Necesito,Vida,Sui Generis,134.0ø
Natalio Ruiz_ El Hombrecito Del Sombrero Gris,Vida,Sui Generis,223.8ø
Mariel Y El Capitan,Vida,Sui Generis,163.7ø
Cuando Comenzamos A Nacer,Vida,Sui Generis,163.2ø
Amigo Vuelve A Casa Pronto,Vida,Sui Generis,205.7ø
