Speedy Gonzales,Mr. Lucky + Mr. Lucky Goes Latin,Henry Mancini,106.3ø
Cry to Me,Cry to Me,Solomon Burke,153.5ø
When Day Is Done,Coleman Hawkins All Stars,Coleman Hawkins,199.0ø
Zangra,Les Bourgeois (Vol.7),Jacques Brel,198.0ø
Madeleine,Raconte Aux Enfants,Jacques Brel,220.7ø
Les Singes,En Public A L'Olympia 1961,Jacques Brel,196.3ø
La Statue,Le Plat Pays,Jacques Brel,196.6ø
So Do It!,Movin' Along,Wes Montgomery,365.0ø
Says You,Movin' Along,Wes Montgomery,301.1ø
Sandu,Movin' Along,Wes Montgomery,203.1ø
Movin' Along,Encores_ Volume 2: Blue 'N' Boogie,Wes Montgomery,448.8ø
I Wish I Knew,Wes Montgomery Plays For Lovers,Wes Montgomery,329.9ø
Ghost Of A Chance,One Night Only,Wes Montgomery,420.8ø
Body And Soul,Encores_ Volume 1: Body & Soul,Wes Montgomery,448.2ø
Yellow Jacket,Walk Don't Run - The Best Of The Ventures,The Ventures,152.0ø
Lullaby Of The Leaves,Walk Don't Run - The Best Of The Ventures,The Ventures,121.9ø
Blue Moon,Flash & The Pain,FLASH & THE PAIN feat. Ford Knox - Sugar Pie,133.6ø
Tonight's The Night,Spotlight On Faron Young ,The Shirelles,121.2ø
Mama said,Music History - Girls_ Girls_ Girls,The Shirelles,101.7ø
Blue Holiday,Best of The Shirelles,The Shirelles,202.2ø
