This Is Where It Ends (Album Version),Born On A Pirate Ship,Barenaked Ladies,173.2ø
I Believe I Can Fly,The R. In R&B Collection: Volume 1,R. Kelly,320.5ø
Train,Train,Train,396.9ø
Swaying,Train,Train,192.1ø
Rat,Train,Train,273.6ø
Meet Virginia,Alive At Last,Train,268.0ø
If You Leave,Train,Train,209.1ø
Idaho,Train,Train,296.9ø
I Am,Train,Train,268.5ø
Homesick,Train,Train,279.7ø
Heavy,Train,Train,229.3ø
Free,Train,Train,238.2ø
Eggplant,Train,Train,191.1ø
Days,Train,Train,277.5ø
Blind,Train,Train,302.4ø
Window Shopper (Album Version),Curb,Nickelback,222.6ø
Where? (Album Version),Curb,Nickelback,267.2ø
Pusher (Album Version),Curb,Nickelback,240.7ø
Little Friend (Album Version),Curb,Nickelback,229.0ø
Left (Album Version),Curb,Nickelback,243.4ø
Just Four (Album Version),Curb,Nickelback,234.0ø
Fly (Album Version),Curb,Nickelback,173.3ø
Falls Back On (Album Version),Curb,Nickelback,177.4ø
Detangler (Album Version),Curb,Nickelback,221.0ø
Curb (Album Version),Curb,Nickelback,291.5ø
Why Bother?,Pinkerton,Weezer,128.3ø
Tired Of Sex,Pinkerton,Weezer,181.5ø
The Good Life,Pinkerton,Weezer,257.0ø
No Other One,Pinkerton,Weezer,181.8ø
Getchoo,Pinkerton,Weezer,172.6ø
Falling For You,The Lion And The Witch,Weezer,262.7ø
El Scorcho,Pinkerton,Weezer,243.5ø
Butterfly,Beverly Hills,Weezer,238.4ø
Across The Sea,Pinkerton,Weezer,272.5ø
