Tiny Montgomery,The Basement Tapes,Bob Dylan & The Band,167.1ø
Ring Them Bells,Tell Tale Signs: The Bootleg Series Vol. 8,Bob Dylan,189.2ø
John Brown,Mtv Unplugged,Bob Dylan,322.5ø
There You Are,A Horse Called Music,Willie Nelson,184.5ø
If You Can Touch Her At All,Platinum & Gold Collection,Willie Nelson,183.0ø
Volare,100 Hits - 50s,Dean Martin,179.2ø
Kiss,The Greatest Hits from 40's and 50's_ Vol. 57,Dean Martin,143.8ø
Innamorata (Sweetheart),Smooth & Easy,Dean Martin,145.0ø
I'd Cry Like A Baby,King Of Cool - 25 Golden Greats,Dean Martin,139.9ø
The Phone Call,Flying In A Blue Dream,Joe Satriani,181.3ø
The Mystical Potato Head Groove Thing,Flying In A Blue Dream,Joe Satriani,309.8ø
The Bells Of Lal (Part Two),Flying In A Blue Dream,Joe Satriani,246.1ø
Ride,Flying In A Blue Dream,Joe Satriani,296.8ø
Into The Light,Flying In A Blue Dream,Joe Satriani,151.4ø
Big Bad Moon,Time Machine,Joe Satriani,323.8ø
Back To Shalla-Bal,Flying In A Blue Dream,Joe Satriani,194.2ø
The Forgotten (Part Two),Flying In A Blue Dream,Joe Satriani,307.9ø
One Big Rush,Live in Paris: I Just Wanna Rock,Joe Satriani,217.5ø
Hang In Long Enough,...But Seriously,Phil Collins,284.2ø
Ghostbusters,"RUN DMC ""High Profile: The Original Rhymes",RUN-DMC,257.0ø
White Limozeen,White Limozeen,Dolly Parton,259.5ø
He's Alive,White Limozeen,Dolly Parton,278.4ø
What Is It My Love,White Limozeen,Dolly Parton,254.0ø
Touch Your Woman,Legends,Dolly Parton,157.9ø
The Bargain Store,The Essential Dolly Parton_ Volume 2,Dolly Parton,160.7ø
Take Me Back To The Country,White Limozeen,Dolly Parton,155.9ø
Home,Driving Miss Daisy,Hans Zimmer,209.2ø
Georgia,Driving Miss Daisy,Hans Zimmer,480.7ø
Eardrum Buzz,Wire 1985-1990: The A List (Best Of),Wire,253.6ø
Witch Hunt,Fright Night,STRATOVARIUS,199.4ø
Fright Night,Fright Night,STRATOVARIUS,492.6ø
Fire Dance,Fright Night,STRATOVARIUS,136.9ø
Darkness,Fright Night,STRATOVARIUS,413.7ø
Black Night,Fright Night,STRATOVARIUS,220.4ø
Pigmeat,A Tribute to Leadbelly,Arlo Guthrie,134.1ø
On A Monday,A Tribute to Leadbelly,Arlo Guthrie,161.7ø
All Over the World,Tribute to Steve Goodman,Arlo Guthrie,164.6ø
Light Fuse And Get Away,When Dream And Day Unite,Dream Theater,442.4ø
A Fortune In Lies,When Dream And Day Unite,Dream Theater,311.1ø
That's Just The Way It Is,...But Seriously,Phil Collins,320.1ø
Something Happened On The Way To Heaven,Hits,Phil Collins,291.0ø
Saturday Night And Sunday Morning,...But Seriously,Phil Collins,85.4ø
I Wish It Would Rain Down,Hits,Phil Collins,327.8ø
Heat On The Street,...But Seriously,Phil Collins,231.6ø
Do You Remember?,...But Seriously,Phil Collins,275.7ø
Colours,...But Seriously,Phil Collins,529.3ø
Another Day In Paradise,Hits,Phil Collins,322.2ø
God Rest Ye Merry Gentlemen,Crescent City Christmas Card,Wynton Marsalis,344.6ø
Wish You Were Here (Album Version),One,Bee Gees,284.7ø
Wing And A Prayer (Album Version),One,Bee Gees,235.1ø
Will You Ever Let Me (Album Version),One,Bee Gees,353.8ø
Ordinary Lives (Album Version),One,Bee Gees,244.7ø
One (Album Version),One,Bee Gees,291.8ø
How Can You Mend A Broken Heart?,Trafalgar,Bee Gees,237.7ø
House Of Shame (Album Version),One,Bee Gees,289.3ø
The Return,Live in Midgard,THERION,160.1ø
Morbid reality,Of Darkness,THERION,365.0ø
You Want It,Sex_ America_ Cheap Trick,Cheap Trick,220.7ø
Circle Of Friends,Empire Records,Better Than Ezra,207.6ø
Jackie Brown,Big Daddy,John Mellencamp,248.1ø
Someday,When I Fall In Love,Sam Cooke,137.8ø
Around the World,Summertime,Sam Cooke,119.2ø
Tried To Be True,Back On The Bus_ Y'All,Indigo Girls,176.0ø
Prince Of Darkness,Back On The Bus_ Y'All,Indigo Girls,361.0ø
KID FEARS,4.5,Indigo Girls,273.7ø
History Of Us,Indigo Girls (Expanded Edition),Indigo Girls,326.2ø
CLOSER TO FINE,4.5,Indigo Girls,239.8ø
The Undead Will Feast,Eaten Back To Life,Cannibal Corpse,166.5ø
A Skull Full of Maggots,Eaten Back To Life,Cannibal Corpse,125.4ø
Is Your Love Strong Enough?,Platinum Collection,Bryan Ferry,293.2ø
Primitive,A NIGHT TO REMEMBER,Cyndi Lauper,228.5ø
My First Night Without You,A NIGHT TO REMEMBER,Cyndi Lauper,181.7ø
Kindred Spirit,Original Album Classics,Cyndi Lauper,76.4ø
I Drove All Night,Original Album Classics,Cyndi Lauper,251.5ø
Hole In My Heart,True Colors: The Best Of Cyndi Lauper,Cyndi Lauper,238.3ø
Heading West,True Colors: The Best Of Cyndi Lauper,Cyndi Lauper,234.3ø
Dancing With A Stranger,A NIGHT TO REMEMBER,Cyndi Lauper,251.3ø
A Night To Remember,Collections,Cyndi Lauper,223.1ø
Hellhammer,Eat The Heat,Accept,329.2ø
Something Wrong,New Miserable Experience,Gin Blossoms,158.9ø
Slave Dealer's Daughter,New Miserable Experience,Gin Blossoms,151.0ø
Lost Horizons,Live In Concert,Gin Blossoms,216.8ø
Keli Richards,New Miserable Experience,Gin Blossoms,186.1ø
Idiot Summer,New Miserable Experience,Gin Blossoms,254.7ø
Hey Jealousy,New Miserable Experience,Gin Blossoms,234.5ø
Found Out About You,New Miserable Experience,Gin Blossoms,235.4ø
Fireworks,New Miserable Experience,Gin Blossoms,183.7ø
Cajun Song,New Miserable Experience,Gin Blossoms,178.2ø
Angels Tonight,New Miserable Experience,Gin Blossoms,215.3ø
Something 2 Dance 2 (Edited) (2000 Digital Remaster),Straight Outta Compton,N.W.A.,212.4ø
