I'm Not Your Stepping Stone,Live & Filthy,Sex Pistols,184.5ø
Non L'Hai Mica Capito,Vasco Rossi,Vasco Rossi,229.4ø
Alibi,Rock,Vasco Rossi,246.8ø
Jealous Again,Everything Went Black,Black Flag,141.6ø
Holiday,The Very Best Of,Nazareth,218.5ø
Rolling Along,Happy Woman Blues,Lucinda Williams,170.0ø
Louisiana Man,Happy Woman Blues,Lucinda Williams,146.4ø
I Lost It,Live @ The Fillmore,Lucinda Williams,207.9ø
Howlin' at Midnight,Happy Woman Blues,Lucinda Williams,233.1ø
Hard Road,Happy Woman Blues,Lucinda Williams,145.6ø
Happy Woman Blues,Happy Woman Blues,Lucinda Williams,192.5ø
Tenderness,Diana,Diana Ross,231.9ø
My Old Piano,Love And Life: The Very Best Of Diana Ross,Diana Ross,236.0ø
Medley Of Hits,Diana,Diana Ross & The Supremes,597.2ø
Lovin'_  Livin' And Givin',Diana,Diana Ross,312.5ø
Have Fun (Again),Diana,Diana Ross,357.1ø
I Made It Through The Rain,Ultimate Manilow,Barry Manilow,259.0ø
Dancin' Fool,Scores - Songs from Copacabana and Harmony,Barry Manilow,158.4ø
She's Everything To Me,Sheet Music,Barry White,160.0ø
Rum And Coke,Sheet Music,Barry White,152.4ø
Love Makin' Music,Sheet Music,Barry White,299.1ø
Lady_ Sweet Lady,Sheet Music,Barry White,340.8ø
I Believe In Love,Sheet Music,Barry White,486.3ø
Your Emotions,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,79.5ø
When Ya Get Drafted,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,82.7ø
Viva Las Vegas,Live At The Deaf Club,Dead Kennedys,211.6ø
Straight A's,Give Me Convenience or Give Me Death,Dead Kennedys,132.9ø
Police Truck,Milking The Sacred Cow,Dead Kennedys,146.0ø
Let's Lynch The Landlord,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,134.1ø
Kill the Poor,Live At The Deaf Club,Dead Kennedys,237.7ø
Ill In The Head,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,166.5ø
I Kill Children,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,122.4ø
Holiday In Cambodia,Mutiny on the Bay,Dead Kennedys,270.4ø
Funland At The Beach,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,110.1ø
Forward To Death,Live At The Deaf Club,Dead Kennedys,113.7ø
Drug Me,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,115.3ø
Chemical Warfare,Fresh Fruit For Rotting Vegetables (Digital Version),Dead Kennedys,179.3ø
Strobe Light,Wild Planet,The B-52's,241.4ø
Runnin Around,Wild Planet,The B-52's,190.1ø
Quiche Lorraine,Wild Planet,The B-52's,238.7ø
Private Idaho,Wild Planet,The B-52's,216.3ø
Party Out Of Bounds,Wild Planet,The B-52's,203.8ø
Give Me Back My Man,Wild Planet,The B-52's,241.9ø
Dirty Back Road,Wild Planet,The B-52's,201.4ø
Devil In My Car,Wild Planet,The B-52's,271.2ø
53 Miles From Venus,Wild Planet,The B-52's,296.6ø
Celebration,Everything's Kool & The Gang: Greatest Hits & More,Kool & The Gang,298.3ø
This Can't Be Real,Scores - Songs from Copacabana and Harmony,Barry Manilow | Olivia Newton-John,252.5ø
Bolero De Amor,Scores - Songs from Copacabana and Harmony,Barry Manilow,268.4ø
Bermuda Triangle,Ultimate Manilow,Barry Manilow,227.5ø
And What Do You See?,Scores - Songs from Copacabana and Harmony,Barry Manilow,219.7ø
Midnight Love Affair (LP Version),Give Me The Night,George Benson,214.5ø
Upside Down,The Magic Of Motown,Diana Ross,242.8ø
