Crime In The City,Paris City Coffee,Kojak,243.6ø
Love In Traffic,Full Lick,Satoshi Tomiie featuring Kelli Ali,314.3ø
Too Much War,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,201.1ø
Rock For Ever,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,182.2ø
Release Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,179.4ø
Peace Time Now,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,205.1ø
Meditation Rock,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,183.5ø
Killer Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,195.7ø
General Amin,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,212.1ø
Frelimo,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,209.0ø
Fidel At The Control,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,224.4ø
Dread At The Control,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,170.5ø
Copper Bullet,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,208.4ø
Careless Dub,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,202.3ø
Bad Reputation,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,167.9ø
All Babylonians,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,194.7ø
Addis Ababa Rock,Heavyweight Dub / Killer Dub,Inner Circle & The Fatman Riddim Section,191.6ø
