Too Much Heaven,Evergreens No. 3,Fausto Papetti,199.0ø
Super cool,Plastic Bertrand,Plastic Bertrand,186.9ø
Le monde est merveilleux,Plastic Bertrand,Plastic Bertrand,187.2ø
Milano E Vincenzo,La Sedia Di Lilla' E Altri Successi,Alberto Fortis,191.3ø
Like flies on sherbert,Top 30,Alex Chilton,128.8ø
Hook of crook,Like flies on sherbert,Alex Chilton,143.3ø
I'm White and Middle Class,Negative Capability...Check it Out!,Urinals,54.6ø
I'm a Bug,Negative Capability...Check it Out!,Urinals,72.7ø
Ack Ack Ack Ack,Negative Capability...Check it Out!,Urinals,60.8ø
My Old Man's A Dustman,Puttin' On The Style,Lonnie Donegan,198.0ø
You're Ready Now,Live In Blackpool - 1996,Slaughter And The Dogs,155.0ø
Kulkurin kulta,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,183.8ø
The Night Chicago Died,TOP POP OLDIES,Paper Lace,193.5ø
Stranica Dnevnika,Zvuk Osamdesetih Pop Rock 1980 1981,Parni Valjak,286.0ø
Skakavac,The Ultimate Collection,Leb I Sol,183.3ø
Rucni rad,The Ultimate Collection,Leb I Sol,308.3ø
Kumova slama,The Ultimate Collection,Leb I Sol,319.1ø
Hars,The Ultimate Collection,Leb I Sol,246.7ø
Srotolando Parole,A Muso Duro,Pierangelo Bertoli,286.9ø
Filastrocca A Motore,A Muso Duro,Pierangelo Bertoli,251.9ø
Dietro Me,A Muso Duro,Pierangelo Bertoli,227.5ø
A Muso Duro,Una Voce Tra Due Fuochi,Pierangelo Bertoli,286.0ø
Steine,Puhdys - Forever,Puhdys,265.6ø
Perlenfischer,Live,Puhdys,345.7ø
Alt wie ein Baum,pur,Puhdys,165.8ø
Thief is in the vineyard,Earl Chinna Smith And Idrens Vol 2,The Congos,257.8ø
Porn Reggae,The Motels,The Motels,257.2ø
Love Don't Help,The Motels,The Motels,117.7ø
Kix,The Motels,The Motels,133.9ø
Dressing Up,The Motels,The Motels,303.3ø
Closets & Bullets,The Motels,The Motels,264.0ø
Celia,The Motels,The Motels,185.0ø
Atomic Cafe,The Motels,The Motels,167.1ø
Anticipating,The Motels,The Motels,230.5ø
The Witch of the Westmorland,Between the Breaks& Live!,Stan Rogers,319.7ø
The White Collar Holler,Between the Breaks& Live!,Stan Rogers,158.6ø
The Mary Ellen Carter,Home In Halifax,Stan Rogers,311.2ø
Rolling Down to Old Maui,Between the Breaks& Live!,Stan Rogers,218.1ø
Harris and the Mare,Between the Breaks& Live!,Stan Rogers,423.7ø
First Christmas,Between the Breaks& Live!,Stan Rogers,382.7ø
Delivery Delayed,Between the Breaks& Live!,Stan Rogers,283.3ø
Leaving On a Jet Plane,Best of Trini Lopez,Trini Lopez,193.8ø
El Condor Pasa,Best of Trini Lopez,Trini Lopez,179.5ø
I'm Telling You Now,The British Invasion - Greatest Hits,Freddie & The Dreamers,129.5ø
I Understand,The British Invasion - Greatest Hits,Freddie & The Dreamers,161.8ø
Strategy,Soul In Love - 35 Essential Love Songs,Archie Bell & The Drells,422.1ø
Unterschriftensammlung,Wieder unterwegs,Hannes Wader,597.2ø
Traum vom Frieden,Dass nichts bleibt wie es war,Hannes Wader,151.2ø
So was gibt es noch,Wieder unterwegs,Hannes Wader,375.1ø
Lady Willpower,I Love The 60's - 1968,Gary Puckett & The Union Gap,161.5ø
Jungle Rock,Destroy All Music,The Weirdos,196.6ø
Idle Life,Destroy All Music,The Weirdos,229.8ø
Hit Man,Destroy All Music,The Weirdos,135.1ø
