That's Amore (That's Love),Classic Tracks,Dean Martin,185.6ø
Cold,Diva,Annie Lennox,261.8ø
Two Sides (To Every Story),The Very Best Of Etta James: The Chess Singles,Etta James,181.8ø
I Found A Love,The Very Best Of Etta James: The Chess Singles,Etta James,206.1ø
Where The Sidewalk Ends,Pure Country,George Strait,190.3ø
The King Of Broken Hearts,Pure Country,George Strait,189.8ø
So Much Like My Dad,50 Number Ones,George Strait,199.8ø
I Cross My Heart,Pure Country,George Strait,212.0ø
Tears In Heaven,Complete Clapton,Eric Clapton,271.8ø
Layla [Unplugged Version],Unplugged,Eric Clapton,273.8ø
Before You Accuse Me (Unplugged CD Version),Unplugged,Eric Clapton,223.9ø
Alberta,Eric Clapton Blues,Eric Clapton,172.2ø
You'll Always Have Someone,One Step Beyond,Willie Nelson,177.0ø
I Hope So,One Step Beyond,Willie Nelson,158.3ø
I Feel Sorry For Him,The Clasic Years Vol 2,Willie Nelson,145.4ø
Home Is Where You're Happy,Best of Country,Willie Nelson,182.7ø
Party With The Animals,No More Tears,Ozzy Osbourne,257.6ø
Zat You Santa Claus,Christmas With The Stars - 50 Favourite Carols & Songs,Louis Armstrong,167.9ø
Physical (You're So),Broken EP,Nine Inch Nails,329.8ø
Gave Up,Broken EP,Nine Inch Nails,248.1ø
Why,Diva,Annie Lennox,296.5ø
Walking On Broken Glass,The Annie Lennox Collection,Annie Lennox,250.8ø
The Gift,Diva,Annie Lennox,293.5ø
Stay By Me,Diva,Annie Lennox,390.7ø
Primitive,A sky with no clouds,Annie Lennox,290.4ø
Precious,The Annie Lennox Collection,Annie Lennox,255.6ø
Money Can't Buy It,The Women OST,Annie Lennox,298.6ø
Love Song For A Vampire,The Annie Lennox Collection,Annie Lennox,259.3ø
Little Bird,Dance Vault Mixes - Little Bird (2nd Set Of Mixes),Annie Lennox,247.4ø
Keep Young And Beautiful,Diva,Annie Lennox,138.5ø
We Are One,Ignition,The Offspring,239.9ø
Nothing from Something,Ignition,The Offspring,180.3ø
Kick Him When He's Down (Album Version),Ignition,The Offspring,196.4ø
Hypodermic,Ignition,The Offspring,201.9ø
Get It Right (Album Version),Ignition,The Offspring,186.2ø
Forever and a Day (Album Version),Ignition,The Offspring,157.2ø
Burn It Up (Album Version),Ignition,The Offspring,162.7ø
Nothing From Something (Album Version),Ignition,The Offspring,180.4ø
The Cryptic Stench,Tomb Of The Mutilated,Cannibal Corpse,237.0ø
Addicted to Vaginal Skin,Tomb Of The Mutilated,Cannibal Corpse,211.3ø
Youth Against Fascism,Dirty,Sonic Youth,302.7ø
Wish Fulfillment,Dirty,Sonic Youth,206.7ø
The Destroyed Room,Dirty,Sonic Youth,201.0ø
Sugar Kane,End Of Days,Sonic Youth,358.4ø
On The Strip,Dirty,Sonic Youth,342.6ø
Confusion (indeed),Live at the Continental Club_ Texas 1986,Sonic Youth,141.5ø
Darling Darlene,All Of Us,Nirvana,167.3ø
Sweet Thing,The Tour,Mary J. Blige,293.9ø
Last Night When We Were Young,The Essential Tony Bennett,Tony Bennett,147.1ø
Yellow Ledbetter,Lost Dogs,Pearl Jam,301.8ø
State Of Love And Trust,Seattle Washington November 5 2000,Pearl Jam,199.7ø
All I Can Do,Dolly,Dolly Parton,144.8ø
Why Can't I Wake Up With You,Nobody Else - Everything Changes - Take That & Party,Take That,252.3ø
It Only Takes A Minute,Take That Greatest Hits,Take That,228.8ø
Give Good Feeling,Take That And Party,Take That,262.5ø
Midnight At The Lost And Found (Live),Heaven Can Wait: The Best Of Meat Loaf,Meat Loaf,305.9ø
Bolero,Bat Out Of Hell,Meat Loaf,244.2ø
In The Still Of The Nite (I'll Remember),The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,169.5ø
End Of The Road,Motown - Hitsville_ USA,Boyz II Men,237.7ø
Stay Gold,Ballad Collection,Stevie Wonder,214.0ø
Mercury Blues,The Greatest Hits Collection,Alan Jackson,218.7ø
Chattahoochee,The Greatest Hits Collection,Alan Jackson,236.9ø
