How Blue,At Her Very Best,Reba McEntire,162.1ø
Good King Wenceslas,Christmas,Mannheim Steamroller,213.9ø
Treat Her Like A Lady,At Their Very Best 2CD,The Temptations,255.0ø
Pretty Pursuasion,Reckoning,R.E.M.,232.3ø
Little America,Reckoning - Deluxe Edition,R.E.M.,203.2ø
7 Chinese Bros.,Reckoning,R.E.M.,258.6ø
The Skull Beneath The Skin,Killing Is My Business...And Business Is Good!,Megadeth,191.5ø
Looking Down The Cross,Killing Is My Business...And Business Is Good!,Megadeth,302.8ø
Chosen Ones,Killing Is My Business...And Business Is Good!,Megadeth,175.7ø
Camera,Reckoning - Deluxe Edition,R.E.M.,351.1ø
Pretty Persuasion,The Best Of R.E.M.,R.E.M.,228.3ø
Harborcoat,Murmur - Deluxe Edition,R.E.M.,224.2ø
Sucker M.C.'S (Krush-Groove 1),Run DMC,RUN-DMC,190.4ø
Rock Box,The Greatest Hits,RUN-DMC,328.2ø
It's Like That,Une Heure De Tubes Hip Hop,RUN-DMC,289.3ø
Hard Times,Run DMC,RUN-DMC,234.7ø
30 Days,Run DMC,RUN-DMC,349.9ø
We're Not Gonna Take It,The Best Of&,Twisted Sister,278.8ø
The Price,The Best Of&,Twisted Sister,250.1ø
The Beast,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,211.5ø
Stay Hungry,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,184.1ø
S.M.F.,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,181.6ø
I Wanna Rock,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,183.4ø
Don't Let Me Down,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,267.7ø
Burn In Hell,Stay Hungry [Deluxe 25th Anniversary Edition],Twisted Sister,282.8ø
Downtown,Legends,Dolly Parton,196.3ø
Mikroben,80-83 Strategies Against Architecture,Einstuerzende Neubauten,91.5ø
Kalte Sterne,80-83 Strategies Against Architecture,Einstuerzende Neubauten,251.5ø
Stranger In My Own House  ( LP Version ),Agent Provocateur,Foreigner,305.0ø
She's Too Tough  (LP Version),Agent Provocateur,Foreigner,190.6ø
I Want To Know What Love Is,No End In Sight: The Very Best Of Foreigner,Foreigner,301.1ø
Growing Up The Hard Way  ( LP Version ),Agent Provocateur,Foreigner,253.9ø
It's You,P.E.A.C.E / War,Crass,121.5ø
Es ist vorbei,Unter falscher Flagge,Die Toten Hosen,147.5ø
Der Schandfleck,Unter falscher Flagge,Die Toten Hosen,162.8ø
Betrunken im Dienst,Unter falscher Flagge,Die Toten Hosen,139.1ø
People Are Changing,Sound System,Herbie Hancock,365.1ø
Karabali,The Herbie Hancock Box,Herbie Hancock,314.3ø
Hardrock,The Best Of Vol. 2,Herbie Hancock,207.3ø
Perfect Strangers,Live In Stuttgart 1993,Deep Purple,401.7ø
Transmission Ends,Man On The Line,Chris De Burgh,359.4ø
Man On The Line,Man On The Line,Chris De Burgh,264.5ø
Walk On By,Giblet Gravy,George Benson,206.6ø
All Blues,Love For Sale,George Benson,559.1ø
Wild Planet,Ten Thousand Lightyears,Boney M.,244.6ø
Somewhere In The World,Their Most Beautiful Ballads,Boney M.,249.7ø
I Feel Good,Ten Thousand Lightyears,Boney M.,183.5ø
Happy Song,Hit Collection - Edition,Boney M.,401.2ø
Going Back West,More Boney M. Gold,Boney M.,189.1ø
Future World,Ten Thousand Lightyears,Boney M.,229.9ø
Exodus (Noah's Ark 2001),Ten Thousand Lightyears,Boney M.,319.9ø
Dizzy,Ten Thousand Lightyears,Boney M.,207.7ø
Children Of Paradise,More Boney M. Gold,Boney M.,198.7ø
Barbarella Fortuneteller,Daddy Cool,Boney M.,175.8ø
(I Need A) Babysitter,Ten Thousand Lightyears,Boney M.,226.7ø
The Sound Of A Gun,Man On The Line,Chris De Burgh,267.6ø
