Loco Madi,The Ellington Suites,Duke Ellington & His Orchestra,352.4ø
Sigurd,Trubadur,Jan Eggum,280.3ø
Gull I Din Sang,Trubadur,Jan Eggum,246.8ø
Taxilied,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,278.0ø
Ritter Hadubrand,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,346.7ø
Rauch,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,313.7ø
Der Wirt und sein Fass,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,242.5ø
Der Schimmelwirt,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,239.1ø
Das Vogelnest,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,133.1ø
Ade,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,38.9ø
You Brought A New Kind Of Love To Me,Chester & Lester,Chet Atkins & Les Paul,167.9ø
The World Is Waiting For The Sunrise,Chester & Lester,Chet Atkins & Les Paul,139.4ø
Someday Sweetheart,Chester & Lester,Chet Atkins & Les Paul,200.9ø
Out Of Nowhere,Chester & Lester,Chet Atkins & Les Paul,192.9ø
"Medley: Moonglow/Picnic (Theme from ""Picnic"")",Chester & Lester,Chet Atkins & Les Paul,283.0ø
It's Been A Long_ Long Time,Chester & Lester,Chet Atkins & Les Paul,211.8ø
It Had To Be You,Chester & Lester,Chet Atkins & Les Paul,212.6ø
Caravan,Chet Picks On The Grammys,Chet Atkins;Les Paul,197.2ø
Birth Of The Blues,Chester & Lester,Chet Atkins & Les Paul,184.7ø
Avalon,Chester & Lester,Chet Atkins & Les Paul,391.0ø
White Honey,The Vertigo Singles Collection,Graham Parker & The Rumour,212.4ø
Soul Shoes,The Vertigo Singles Collection,Graham Parker & The Rumour,194.8ø
Silly Thing,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,173.6ø
Lady Doctor,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,173.3ø
Hotel Chambermaid,Heat Treatment,Graham Parker & The Rumour,179.1ø
Heat Treatment,Heat Treatment,Graham Parker & The Rumour,191.8ø
Fool's Gold,Heat Treatment,Graham Parker & The Rumour,253.4ø
Black Honey,Heat Treatment,Graham Parker & The Rumour,237.6ø
Torna A Sorridere,Io E I Pooh,Riccardo Fogli,213.9ø
Spaced Out,Atmosphere Strut,Cloud One,394.4ø
Dust to Dust,Disco Juice: Volume 2,Cloud One,265.4ø
Doin' It All Night Long,Atmosphere Strut,Cloud One,227.1ø
Disco Juice,Atmosphere Strut,Cloud One,418.0ø
Charleston Hopscotch,Atmosphere Strut,Cloud One,381.5ø
Atmosphere Strut,Atmosphere Strut,Cloud One,558.6ø
