Something's Got A Hold On Me,Her Best - The Chess 50th Anniversary Collection,Etta James,167.2ø
Hello Dolly,Wonderful Christmas,Louis Armstrong,155.4ø
Blueberry Hill,Classic Louis Armstrong - The Universal Masters Collection,Louis Armstrong | Gordon Jenkins Orchestra And Choir,175.0ø
With God On Our Side,Another Side Of Bob Dylan / The Times They Are A-Changin' / The Freewheelin' Bob Dylan,Bob Dylan,427.3ø
The Lonesome Death Of Hattie Carroll,Another Side Of Bob Dylan / The Times They Are A-Changin' / The Freewheelin' Bob Dylan,Bob Dylan,348.2ø
Only A Pawn In Their Game,Another Side Of Bob Dylan / The Times They Are A-Changin' / The Freewheelin' Bob Dylan,Bob Dylan,212.5ø
Motorpsycho Nightmare,ANOTHER SIDE OF BOB DYLAN,Bob Dylan,273.9ø
We Three Kings Of Orient Are,Christmas Harmonies,The Beach Boys,245.5ø
The Man With All The Toys,Christmas Harmonies,The Beach Boys,90.7ø
Frosty The Snowman,Merry Christmas From The Beach Boys,The Beach Boys,115.0ø
The Beachcomber,The Complete Stevie Wonder,Stevie Wonder,107.9ø
Sad Boy,The Complete Stevie Wonder,Stevie Wonder,150.3ø
Red Sails In The Sunset,The Complete Stevie Wonder,Stevie Wonder,123.6ø
Ebb Tide,The Complete Stevie Wonder,Stevie Wonder,106.4ø
Castles In The Sand,The Complete Motown Singles_ Volume 4: 1964,Stevie Wonder,131.4ø
Cantaloupe Island,Original Hits - Jazz,Herbie Hancock,325.0ø
All Summer Long,Endless Summer,The Beach Boys,127.8ø
My Man,Lady Ella,Ella Fitzgerald,186.4ø
Can't Buy Me Love,Ella at Juan-Les-Pins,Ella Fitzgerald,172.4ø
