Lambrusco e pop corn,Lambrusco_ coltelli_ rose & pop corn,Ligabue,268.6ø
Tune Me Out,Crab Rangoon,MU330,154.1ø
I.Q. 27,Angel's Promise,Edhels,371.7ø
Gentle_ But Not Giant,Angel's Promise,Edhels,255.8ø
Visions and Meetings,Angel's Promise,Edhels,562.2ø
Tension,Angel's Promise,Edhels,300.9ø
On the Borderland of Sleep,Angel's Promise,Edhels,374.4ø
Noah's Ark,Angel's Promise,Edhels,277.8ø
Light Being Messages,Angel's Promise,Edhels,465.1ø
Life_ Life,Angel's Promise,Edhels,138.5ø
Guinevre's Regrets,Angel's Promise,Edhels,384.5ø
Angel's Promise,Angel's Promise,Edhels,334.7ø
And to Think That I Loved You So Much,Angel's Promise,Edhels,384.6ø
Ona je plesala,The Ultimate Collection,Daleka Obala,176.0ø
On Je Volio Brodove,Uspomena CD 1,Daleka Obala,199.5ø
Mi Nismo Sami,Uspomena CD 1,Daleka Obala,239.6ø
Di si ti,The Ultimate Collection,Daleka Obala,275.6ø
I Love You...Nor Do i,Pink Elephants,Mick Harvey,278.4ø
Baby You're So Cool,Red,Espen Lind,231.7ø
The Marvelous Toy,Tom Paxton: Live from Mountain Stage,Tom Paxton,217.2ø
