Love Child,Singles A's And B's,Deep Purple,184.1ø
The Big Ship (2004 Digital Remaster),Another Green World,Brian Eno,182.0ø
Spirits Drifting,Desert Island Selection,Brian Eno,159.4ø
Sky Saw (2004 Digital Remaster),Another Green World,Brian Eno,207.7ø
Fullness Of Wind (Variation On 'The Canon In D Major' By Johann Pachelbel) (2004 Digital Remaster),Discreet Music,Brian Eno,596.0ø
French Catalogues (Variation On 'The Canon In D Major' By Johann Pachelbel) (2004 Digital Remaster),Discreet Music,Brian Eno,320.0ø
Brutal Ardour (Variation On 'The Canon In D Major' By Johann Pachelbel) (2004 Digital Remaster),Discreet Music,Brian Eno,493.6ø
Another Green World (2004 Digital Remaster),Another Green World,Brian Eno,101.7ø
Another Green World,101 Dinner Party Songs,Brian Eno,87.1ø
Tryin' To Get The Feeling Again,Tryin' To Get The Feeling,Barry Manilow,231.6ø
Lay Me Down,Tryin' To Get The Feeling,Barry Manilow,260.0ø
I Write The Songs,The Essential Barry Manilow,Barry Manilow,235.1ø
You're The First_ The Last_ My Everything,Barry White's Greatest Hits,Barry White,274.3ø
What Am I Gonna Do With You,Let The Music Play,Barry White,218.9ø
Love Serenade,Let The Music Play,Barry White,283.4ø
I'll Do For You Anything You Want Me To,Gold,Barry White,247.7ø
Can't Get Enough Of Your Love_ Babe,Barry White's Greatest Hits,Barry White,270.3ø
This Flight Tonight (Live at the BBC Paris Theatre),Hair Of The Dog,Nazareth,217.6ø
Please Don't Judas Me,Hair Of The Dog,Nazareth,584.2ø
Miss Misery,Hair Of The Dog,Nazareth,283.2ø
Old Tennessee,Captured Angel,Dan Fogelberg,186.1ø
Next Time,Captured Angel,Dan Fogelberg,273.8ø
Man In The Mirror/Below The Surface,Captured Angel,Dan Fogelberg,428.4ø
Captured Angel,Captured Angel,Dan Fogelberg,181.8ø
Aspen/These Days,Captured Angel,Dan Fogelberg,460.0ø
She's A Star,Tryin' To Get The Feeling,Barry Manilow,263.7ø
One More Time,Classic Peter Frampton - The Universal Masters Collection,Peter Frampton,202.1ø
(I'll Give You) Money,Frampton Comes Alive,Peter Frampton,335.7ø
She's A Woman,Original Album Classics,Jeff Beck,267.6ø
Scatterbrain,Original Album Classics,Jeff Beck,447.2ø
Freeway Jam,Blow By Blow,Jeff Beck,298.0ø
Diamond Dust,Beckology,Jeff Beck,502.8ø
Constipated Duck,Original Album Classics,Jeff Beck,168.1ø
Peace Of Mind,Boston,Boston,303.6ø
More Than A Feeling,Boston,Boston,287.5ø
Stranglehold,Ted Nugent,Ted Nugent,505.1ø
Stormtroopin',Ted Nugent,Ted Nugent,406.1ø
Snakeskin Cowboys,FULL BLUNTAL NUGITY LIVE,Ted Nugent,358.5ø
Motor City Madhouse,Lords Of Dogtown,Ted Nugent,271.1ø
