I'll Be Home For Christmas,A Very Special Acoustic Christmas,Tift Merritt,186.8ø
Waiting,Supperclub presents Nomads 6 - Mixed by Jimmy Jazz,Cibelle,345.4ø
Um So Segundo,Cibelle,Cibelle,304.1ø
So Sei Viver No Samba,Cibelle,Cibelle,283.2ø
No Prego,Cibelle,Cibelle,209.2ø
Luisas,Cibelle,Cibelle,304.2ø
Inutil Paisagem (Useless Landscape),Cibelle,Cibelle,217.3ø
I'll Be,Cibelle,Cibelle,362.5ø
Deixa,Cibelle,Cibelle,319.6ø
About A Girl,About A Girl,Cibelle,183.5ø
Forever Or Today,We Didn't Come Here to Die,The Copyrights,81.1ø
When It All Comes Down,The Sun Rises And The Sun Sets... And Still Our Time Is Endless,Life In Your Way,210.8ø
Not A Word,The Sun Rises And The Sun Sets... And Still Our Time Is Endless,Life In Your Way,236.3ø
Long Letters,The Sun Rises And The Sun Sets... And Still Our Time Is Endless,Life In Your Way,200.6ø
Behind Unseen Walls,The Sun Rises And The Sun Sets... And Still Our Time Is Endless,Life In Your Way,236.7ø
Stuck In My Throat,We Should Have Gone To University,Reuben,203.9ø
Numb At Four In The Morning,We Should Have Gone To University,Reuben,184.5ø
Let's Stop Hanging Out,Racecar is Racecar Backwards,Reuben,174.7ø
Alpha Signal Five,We Should Have Gone To University,Reuben,138.3ø
Witch hunting,Singing To The Moon,Long Tall Texans,178.4ø
Winding me up,Singing To The Moon,Long Tall Texans,64.1ø
Suicide at the seaside,Singing To The Moon,Long Tall Texans,185.7ø
Smiling eyes,Singing To The Moon,Long Tall Texans,121.5ø
Singing to the moon,Singing To The Moon,Long Tall Texans,245.2ø
Senses six and seven,Singing To The Moon,Long Tall Texans,159.3ø
Rock bottom blues,Singing To The Moon,Long Tall Texans,196.8ø
Reactor,Singing To The Moon,Long Tall Texans,222.3ø
Nine days wonder,Singing To The Moon,Long Tall Texans,154.4ø
Klub Foot shuffle,Singing To The Moon,Long Tall Texans,99.9ø
Indian rservation,Singing To The Moon,Long Tall Texans,187.6ø
Axe to grind,Singing To The Moon,Long Tall Texans,140.1ø
Alcohol,Singing To The Moon,Long Tall Texans,185.2ø
Plaisir D'Amour,Anthologie,Brigitte Bardot | Guy Marchand,108.6ø
The Truth Song,The Collection,Bobby Womack | Wilton Felder,324.1ø
That's Where It's At,The Collection,Bobby Womack,253.8ø
So Many Rivers,The Collection,Bobby Womack,297.7ø
I Wanna Make Love To You,The Collection,Bobby Womack,262.8ø
I Ain't Got To Love Nobody Else,The Collection,Bobby Womack,201.1ø
Gypsy Woman,The Collection,Bobby Womack,262.0ø
A World Where No One Cries,The Collection,Bobby Womack,287.2ø
La Carretera,Escapadas,Antonio Vega,238.8ø
