What Price Will You Pay?,Not So Quiet On The Western Front,Code Of Honor,119.0ø
Raindown,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,340.8ø
Jessica,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,260.2ø
I Haven't Found Her Yet,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,145.5ø
Velero,Grandes Guitarras Del Flamenco,Manolo Sanlucar,227.2ø
Angustias,Grandes Guitarras Del Flamenco,Manolo Sanlucar,302.7ø
Ana Maria,Grandes Guitarras Del Flamenco,Manolo Sanlucar,213.4ø
S.T.O.P.,Hit Story,Dolly Dots,193.9ø
Nur Liebe Und Sonst Gar Nichts,Ich Bereue Nichts - The Best Of Ina Deter,Ina Deter,223.2ø
Die Ratten sind los,Das Live Album,Ina Deter,270.7ø
Storm The Reality Asylum,Knee Deep In Hits,Rip Rig & Panic,224.8ø
Leave Your Spittle In The Pot,I Am Cold,Rip Rig & Panic,284.8ø
The Brothers,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,242.0ø
Silver Eagle,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,212.8ø
No Show Jones,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,145.2ø
Must've Been Drunk,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,158.8ø
Mobile Bay (Magnolia Blossoms),A Taste Of Yesterday's Wine,Merle Haggard & George Jones,196.7ø
I Think I've Found A Way (To Live Without You),A Taste Of Yesterday's Wine,Merle Haggard & George Jones,207.8ø
After I Sing All My Songs,A Taste Of Yesterday's Wine,Merle Haggard & George Jones,194.6ø
The Lion Sleeps Tonight,100 Hits Of The '80s,Tight Fit,192.7ø
Tahdon sinut,20 Suosikkia / Pure mua,Meiju Suvas,176.9ø
Znam,Elektricni orgazam- New wave,Elektricni orgazam,210.5ø
Odelo,The Ultimate Collection,Elektricni orgazam,119.2ø
Dokolica,The Ultimate Collection,Elektricni orgazam,146.4ø
Afrika,The Ultimate Collection,Elektricni orgazam,113.7ø
Branquias Bajo El Agua,La Centralita de Informacion - Disco Libro,Derribos Arias,208.5ø
I Killed My Family,Out For Blood,YDI,154.0ø
Enemy For Life,Out For Blood,YDI,70.7ø
Soft Babies,All At Once (Singles 1981-1987),Stockholm Monsters,217.9ø
Happy Ever After,All At Once (Singles 1981-1987),Stockholm Monsters,185.8ø
Fairy Tales,All At Once (Singles 1981-1987),Stockholm Monsters,178.4ø
Death Is Slowly Coming,All At Once (Singles 1981-1987),Stockholm Monsters,218.0ø
Hello Grandma,Halloween III: Complete Original Motion Picture Score,John Carpenter_ Alan Howarth,286.1ø
Chariots of Pumpkins,Halloween III: Complete Original Motion Picture Score,John Carpenter_ Alan Howarth,205.5ø
Prohibido Hacer Rock,Poderoso Como El Trueno,Obus,194.2ø
Poderoso Como El Trueno,Poderoso Como El Trueno,Obus,193.4ø
Perdido En La Ciudad,Poderoso Como El Trueno,Obus,276.6ø
Labios Asesinos,Poderoso Como El Trueno,Obus,264.5ø
Dinero_ Dinero,Poderoso Como El Trueno,Obus,247.3ø
Dame Amor,Poderoso Como El Trueno,Obus,229.3ø
