You Bastard,Love Lies Limp,Alternative TV,105.9ø
Wenn nicht mehr Zahlen und Figuren,Brandung,Novalis,184.0ø
Sonnenwende: Sonnenfinsternis,Brandung,Novalis,181.0ø
Sonnenwende: Feuer bricht in die Zeit,Brandung,Novalis,226.0ø
Sonnenwende: Brandung,Brandung,Novalis,223.8ø
Irgendwo_ irgendwann,Brandung,Novalis,280.4ø
Astralis,Brandung,Novalis,536.6ø
New Horizons,Classic Masters,The Sylvers,221.0ø
Lovin' Me Back,Classic Masters,The Sylvers,224.2ø
Any Way You Want Me,Classic Masters,The Sylvers,159.6ø
Let Yourself Go,Something For The Weekend,T-Connection,307.7ø
We're Off You Know,"We're Off You Know (1977 7"" Mix)",Klaatu,173.5ø
The Loneliest Of Creatures,Two Classic Albums From Klaatu,Klaatu,224.6ø
So Said The Lighthouse Keeper,Two Classic Albums From Klaatu,Klaatu,351.2ø
Prelude,Two Classic Albums From Klaatu,Klaatu,344.5ø
Madman,Two Classic Albums From Klaatu,Klaatu,159.0ø
Long Live Politzania,Two Classic Albums From Klaatu,Klaatu,551.6ø
Hope,Two Classic Albums From Klaatu,Klaatu,283.3ø
Around The Universe In Eighty Days,Two Classic Albums From Klaatu,Klaatu,299.7ø
I Love You,The Kenny Rankin Album,Kenny Rankin,266.0ø
House of Gold,The Kenny Rankin Album,Kenny Rankin,185.7ø
Here's That Rainy Day,The Kenny Rankin Album,Kenny Rankin,158.4ø
The Doctor / Affirmation,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,255.6ø
Stan Meets Blanche,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,182.4ø
Stan and Stella,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,180.5ø
Solioquy,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,229.4ø
Seduction,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,270.9ø
Revelation,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,311.5ø
New Orleans Street,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,88.6ø
Mania,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,119.6ø
Main Title,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,82.4ø
Della Robia Blue,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,171.4ø
Blanche and Mitch,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,223.1ø
Blanche,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,162.9ø
Birthday Party,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,188.4ø
Belle Reve Reflections,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,135.0ø
Belle Reve,A Streetcar Named Desire,Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra,169.3ø
Sambukada,Lifelike,Passport,472.4ø
Guna Guna,Lifelike,Passport,313.2ø
Bahia do Sol,Lifelike,Passport,258.8ø
Turn It On,Street,Herman Brood & His Wild Romance,321.8ø
Syrup,Street,Herman Brood & His Wild Romance,215.4ø
Street,Street,Herman Brood & His Wild Romance,164.0ø
Romanza Di Cavalli,Street,Herman Brood & His Wild Romance,83.5ø
The Spey In Spate / The Hurricane,Coppers & Brass,Dick Gaughan,138.1ø
The Oak Tree / The Music In The Glen,Coppers & Brass,Dick Gaughan,180.2ø
The Bird In The Bush / The Boy In The Gap / MacMahon's Reel,Coppers & Brass,Dick Gaughan,211.8ø
Planxty Johnson,Coppers & Brass,Dick Gaughan,154.5ø
O'Keefe's / The Foxhunter's,Coppers & Brass,Dick Gaughan,164.3ø
Jack Broke The Prison Door / Donald Blue / Wha'll Dance Wi' Wattie,Coppers & Brass,Dick Gaughan,116.0ø
Gurty's Frolics,Coppers & Brass,Dick Gaughan,189.9ø
Ask My Father / Lads of Laoise / The Connaught Heifers,Coppers & Brass,Dick Gaughan,221.9ø
Wrong Time_ Right Place,Songwriter,Justin Hayward,153.4ø
Tightrope,Songwriter,Justin Hayward,289.5ø
Stage Door,Songwriter,Justin Hayward,311.2ø
Songwriter (Part 2),Songwriter,Justin Hayward,154.0ø
Songwriter (Part 1),Songwriter,Justin Hayward,212.8ø
Raised On Love,Songwriter,Justin Hayward,193.2ø
One Lonely Room,Songwriter,Justin Hayward,320.2ø
Lay It On Me,Songwriter,Justin Hayward,175.7ø
Doin' Time,Songwriter,Justin Hayward,262.2ø
Country Girl,Songwriter,Justin Hayward,241.6ø
The Tanker,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,264.6ø
The Pyramids,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,97.4ø
Ride To Atlantis,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,209.3ø
Nobody Does It Better (Instrumental),The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,287.5ø
Mojave Club,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,135.2ø
Eastern Lights,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,206.9ø
Bond 77,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,262.2ø
Anya,The Spy Who Loved Me (Soundtrack),Marvin Hamlisch,201.5ø
Taxi Boys,The Real Kids,The Real Kids,109.6ø
Solid Gold (Thru And Thru),The Real Kids,The Real Kids,128.0ø
She's Alright,Grown Up Wrong,The Real Kids,115.0ø
Reggae Reggae,The Real Kids,The Real Kids,300.3ø
Rave On,Better Be Good,The Real Kids,105.1ø
My Way,Better Be Good,The Real Kids,121.0ø
