Can You Handle It,Floorfillers 80s Club Classics,Sharon Redd,231.4ø
Unattainable Love,Meanwhile,Celebrate The Nun,275.4ø
Stay Away,Meanwhile,Celebrate The Nun,274.9ø
Ordinary Town,Ordinary Town,Celebrate The Nun,256.0ø
My Jealousy,Meanwhile,Celebrate The Nun,270.8ø
Maybe Tomorrow,Meanwhile,Celebrate The Nun,234.6ø
Don't You Go,Meanwhile,Celebrate The Nun,233.2ø
Cry No More,Meanwhile,Celebrate The Nun,246.0ø
Could Have Been,Meanwhile,Celebrate The Nun,228.3ø
Goodbye Mary,Pop Music,Thierry Hazard,257.9ø
Waterloo,A Tribute,Stonewall Jackson and Super Friends,148.3ø
Smoke Along The Track,A Tribute,Stonewall Jackson and Super Friends,159.8ø
Me And You And A Dog Named Boo,A Tribute,Stonewall Jackson and Super Friends,173.9ø
Mary Don't You Weep,American Originals,Stonewall Jackson,143.5ø
Life To Go,A Tribute,Stonewall Jackson and Super Friends,160.2ø
Life Of A Poor Boy,American Originals,Stonewall Jackson,142.6ø
Leona,American Originals,Stonewall Jackson,168.6ø
I Washed My Hands In Muddy Water,A Tribute,Stonewall Jackson and Super Friends,193.2ø
Don't Be Angry,A Tribute,Stonewall Jackson and Super Friends,179.3ø
Blues Plus Booze (Means I Lose),American Originals,Stonewall Jackson,165.4ø
B.J. The D.J.,Country Story Time,Stonewall Jackson,178.9ø
A Wound Time Can't Erase,A Tribute,Stonewall Jackson and Super Friends,163.8ø
Silent Mood,Eye of the Storm,STORMWITCH,259.8ø
Eye Of The Storm,Eye Of The Storm,STORMWITCH,224.5ø
Dorian Grey,Live In Budapest,STORMWITCH,351.3ø
Uma Prece,Bossa Nova Cafe,Luiz Bonfa,146.4ø
Sambolero,Blindness,Luiz Bonfa,172.8ø
Passeio No Rio,Bonfa Burrows Brazil,Luiz Bonfa,126.0ø
Baltimore,Taxi Fare,Tamlins,278.0ø
Kysser Solen,Fria Varlden 1989,Eva Dahlgren,236.9ø
Glad Och Lycklig,Fria Varlden 1989,Eva Dahlgren,182.2ø
Soul Soul Soul,The Man I Love,Liane Foly,209.0ø
Yummy Yummy,Simon Says Party,Ohio Express,149.3ø
With A Song In My Heart,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,335.3ø
Too Marvelous For Words,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,297.8ø
I Concentrate On You,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,450.5ø
Every Time We Say Goodbye,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,285.5ø
All The Things You Are,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,302.6ø
All Blues,...Live At The Jazz Workshop In San Francisco,Kitty Margolis,396.1ø
Why Not,Pro Patria,SIGNAL AOUT 42,342.4ø
Voice of Hell,Pro Patria,SIGNAL AOUT 42,296.9ø
Submarine Dance,Pro Patria,SIGNAL AOUT 42,229.8ø
Secret Garden,Pro Patria,SIGNAL AOUT 42,262.2ø
Right Thing,Pro Patria,SIGNAL AOUT 42,239.1ø
Pleasure and Crime,Pro Patria,SIGNAL AOUT 42,291.2ø
Instr. Robert,Pro Patria,SIGNAL AOUT 42,220.4ø
Carnaval,Pro Patria,SIGNAL AOUT 42,315.2ø
Autopsy,Pro Patria,SIGNAL AOUT 42,319.4ø
Statue of a Fool,American Legend,Jack Greene,174.6ø
You Ought To Know,The Big Area,Then Jerico,255.6ø
Where You Lie,The Big Area,Then Jerico,296.5ø
What Does It Take?,The Big Area,Then Jerico,227.8ø
Sugar Box,The Big Area,Then Jerico,227.6ø
Song For The Brokenhearted,The Big Area,Then Jerico,271.0ø
Reeling,The Big Area,Then Jerico,337.7ø
Helpless,The Big Area,Then Jerico,247.0ø
Darkest Hour,The Big Area,Then Jerico,271.6ø
Big Area,The Big Area,Then Jerico,287.7ø
I Remember,"Stay: The Original ""Stay"" LP Plus Bonus Tracks",Maurice Williams & The Zodiacs,126.0ø
Wake Up Dead Man,The Best Of James Reyne,James Reyne,223.6ø
One More River,The Best Of James Reyne,James Reyne,239.2ø
Zeg Met Dat Het Niet Zo Is,Een Zomer Aan Het Eind Van De Twintigste Eeuw,Frank Boeijen Groep,161.5ø
Peace In The Valley,And Friends,Red Foley,192.3ø
This Little Child,25 Songs of Christmas,Scott Wesley Brown,348.8ø
The Groan,Rest In Peace - The Best Of&,Controlled Bleeding,205.3ø
Crack The Body,Rest In Peace - The Best Of&,Controlled Bleeding,264.9ø
Finger Poppin' Time,Hits of the 60's,Hank Ballard,112.3ø
Solo Estoy,A Man And His Music,Johnny Pacheco|Melon,486.5ø
The Rollercoaster Song,Paradise Circus,The Lilac Time,184.1ø
The Girl Who Waves At Trains,Compendium - The Fontana Trinity,The Lilac Time,239.6ø
The Days Of The Week,Paradise Circus,The Lilac Time,209.8ø
Paradise Circus,Paradise Circus,The Lilac Time,83.9ø
If The Stars Shine Tonight,Compendium - The Fontana Trinity,The Lilac Time,258.6ø
American Eyes,Paradise Circus,The Lilac Time,152.0ø
The Thing,Great Songs of 1950,Phil Harris,141.3ø
Hey Little Cobra,Pop Music: The Golden Era 1951-1975,The Rip Chords,121.8ø
Trouble In Mind,Night Beat,Hank Crawford,259.8ø
K.C. Blues,Night Beat,Hank Crawford,328.8ø
For The Love Of You,Night Beat,Hank Crawford,483.8ø
Sur Les Quais,Olympia 75,Gerard Lenorman,184.4ø
Sur Le Chemin De La Vie,Les Matins D' Hiver,Gerard Lenorman,189.5ø
Sous D'Autres Latitudes,Les Indispensables,Gerard Lenorman,178.7ø
Soldats Ne Tirez Pas,La Ballade Des Gens Heureux,Gerard Lenorman,193.9ø
Rien N'Est Plus Beau,La Ballade Des Gens Heureux,Gerard Lenorman,161.2ø
Quelque Chose Et Moi,Olympia 75,Gerard Lenorman,242.7ø
Quand Une Foule Crie bravo,Les Matins D' Hiver,Gerard Lenorman,267.5ø
Mourir Au Champ D'Amour,Les Matins D' Hiver,Gerard Lenorman,190.8ø
Les Matins D'Hiver,Olympia 75,Gerard Lenorman,175.8ø
Les Jours Heureux,Olympia 75,Gerard Lenorman,183.3ø
Le Petit Prince,Olympia 75,Gerard Lenorman,205.8ø
Le Magicien,Olympia 75,Gerard Lenorman,180.8ø
La Fille Que J'Aime,Les Matins D' Hiver,Gerard Lenorman,168.6ø
Il,Les Indispensables,Gerard Lenorman,192.1ø
Et Moi Je Chante,Olympia 75,Gerard Lenorman,228.5ø
Comme Une Rose Noire,Les Matins D' Hiver,Gerard Lenorman,187.1ø
One By One,One By One,Peter Buffett,248.8ø
Things Are Looking Up,Naughty Baby: Maureen McGovern,Maureen McGovern,70.2ø
They All Laughed,Naughty Baby: Maureen McGovern,Maureen McGovern,50.4ø
The Man I Love,Naughty Baby: Maureen McGovern,Maureen McGovern,197.7ø
Strike Up The Band,Naughty Baby: Maureen McGovern,Maureen McGovern,50.1ø
Stiff Upper Lip,Naughty Baby: Maureen McGovern,Maureen McGovern,222.0ø
Piano Prelude II,Naughty Baby: Maureen McGovern,Maureen McGovern,81.4ø
Naughty Baby,Naughty Baby: Maureen McGovern,Maureen McGovern,202.2ø
My Man's Gone Now,Naughty Baby: Maureen McGovern,Maureen McGovern,121.8ø
Love Walked In,Naughty Baby: Maureen McGovern,Maureen McGovern,109.6ø
Little Jazz Bird,Naughty Baby: Maureen McGovern,Maureen McGovern,212.3ø
I Got Rhythm,Naughty Baby: Maureen McGovern,Maureen McGovern,64.7ø
How Long Has This Been Going On?,Naughty Baby: Maureen McGovern,Maureen McGovern,251.8ø
Embraceable You,Naughty Baby: Maureen McGovern,Maureen McGovern,141.6ø
Clap Yo' Hands,Naughty Baby: Maureen McGovern,Maureen McGovern,60.6ø
By Strauss,Naughty Baby: Maureen McGovern,Maureen McGovern,187.6ø
Washington Down,Songs For The Tempted,The 4 of us,179.0ø
One Strong Hammer,Songs For The Tempted,The 4 of us,205.8ø
Mary,Songs For The Tempted,The 4 of us,213.6ø
Love With Christine,Songs For The Tempted,The 4 of us,231.9ø
Lightning Paul,Songs For The Tempted,The 4 of us,185.8ø
Kill You,Songs For The Tempted,The 4 of us,204.6ø
Jolene,Songs For The Tempted,The 4 of us,273.1ø
I Just Can't Get Enough,Songs For The Tempted,The 4 of us,332.3ø
Home Is Where The Heart Is,Songs For The Tempted,The 4 of us,212.4ø
Fool For Temptation,Songs For The Tempted,The 4 of us,223.2ø
Drag My Bad Name Down,Songs For The Tempted,The 4 of us,170.1ø
Lay Me Down,Can You Dig It? - The Best Of The Mock Turtles,The Mock Turtles,244.9ø
Can You Dig It?,Can You Dig It? - The Best Of The Mock Turtles,The Mock Turtles,251.0ø
And Then She Smiles,Can You Dig It? - The Best Of The Mock Turtles,The Mock Turtles,257.3ø
The Invisible Man,Everyone Needs A Friend - Best Of,Dance With A Stranger,242.6ø
Stop Looking For Love (Through Blue Eyes),Everyone Needs A Friend - Best Of,Dance With A Stranger,251.8ø
Another Day,Everyone Needs A Friend - Best Of,Dance With A Stranger,246.3ø
Use What You Got,From the Fields Into The Town - 18 Big Tracks,Sugar Pie De Santo,160.0ø
Soulful Dress,The Chess Story,Sugar Pie DeSanto,169.5ø
I Want To Know,Chess Chartbusters Vol. 2,Sugar Pie DeSanto,182.0ø
Promises,Adeva,Adeva,242.7ø
Musical Freedom,New Direction,Adeva,401.6ø
In & Out Of My Life,Easy Street Records - 25th Anniversary,Adeva,323.4ø
I Thank You (Club Mix),The 12 Inch Mixes,Adeva,305.9ø
I Thank You,Ultimate Adeva,Adeva,225.1ø
Beautiful Love,Adeva,Adeva,272.5ø
Spill My Guts,Can You Hear The Sound?,24-7 Spyz,210.1ø
Grandma Dynamite,Can You Hear The Sound?,24-7 Spyz,237.9ø
Reconciliation,Cruisers 1.0,Gershon Kingsley,279.3ø
Quiet Descent,Cruisers 1.0,Gershon Kingsley,318.1ø
Illumination,Cruisers 1.0,Gershon Kingsley,318.0ø
Beyond Destiny,Cruisers 1.0,Gershon Kingsley,345.6ø
On Children,LIFT EVERY VOICE! Honoring the African American Musical Legacy,Sweet Honey In The Rock,117.6ø
Incarcerated,Stress related Live and learn,Righteous Pigs,88.4ø
I Hope You Die In A Hotel Fire,Stress related Live and learn,Righteous Pigs,269.7ø
Me And Mrs Jones,Parfum (Disco Uno;acqua di colonia),Sarah Jane Morris,207.4ø
I Will Not Be Your Fool,Tribute to Steve Goodman,David Bromberg,446.0ø
Reform Before,Toured (A Live Album),Big Drill Car,136.7ø
No Need,Toured (A Live Album),Big Drill Car,170.3ø
Brody,Toured (A Live Album),Big Drill Car,176.5ø
16 Lines,Toured (A Live Album),Big Drill Car,193.4ø
Zombie Bop,Book of Hours,Blaine L. Reininger,244.3ø
Software Pancake House,Brussels/USA: The Best of Blaine L. Reininger_ Vol. 1,Blaine L. Reininger,267.2ø
Pavane,Book of Hours,Blaine L. Reininger,197.8ø
El paso,Book of Hours,Blaine L. Reininger,302.3ø
Come the Spring,Brussels/USA: The Best of Blaine L. Reininger_ Vol. 1,Blaine L. Reininger,244.6ø
Circles,Bubblecore!,Beatnik Termites,157.4ø
Simply,The Best of Mountain Stage - Vol. 2,Sara Hickman,197.1ø
No Soy De Aqui,En Un Rincon Del Alma,Alberto Cortez,248.3ø
El Abuelo,Lo Cortez No Quita Lo Cabral  Volumen. 2,Alberto Cortez | Facundo Cabral,363.5ø
Distancia,24 Exitos - 18 Grandes Artistas - Romanticos,Alberto Cortez,262.9ø
Callejero,Lo Cortez No Quita Lo Cabral  Volumen. 2,Alberto Cortez | Facundo Cabral,237.6ø
A Mis Amigos,En Un Rincon Del Alma,Alberto Cortez,308.8ø
Rocket 88,The Way To Do It,Jackie Brenston And His Delta Cats,171.1ø
Tiger In A Dress,The Collection,Dan Reed Network,329.5ø
Stronger Than Steel,The Collection,Dan Reed Network,434.9ø
Slam,The Collection,Dan Reed Network,284.7ø
Tomando El Airecito,Privado,Gabinete Caligari,264.4ø
Profesional,Privado,Gabinete Caligari,225.2ø
Privado,Privado,Gabinete Caligari,271.0ø
Palabra De Honor,Cien Mil Vueltas,Gabinete Caligari,208.8ø
Mi Buena Estrella,Privado,Gabinete Caligari,231.1ø
Ella Es Dulce (She smiled Sweetly),Privado,Gabinete Caligari,187.4ø
El Arte De Amar,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,304.3ø
Amor Prohibido,Privado,Gabinete Caligari,190.0ø
It's so easy,Everyday is a Holly Day,Chris Spedding,181.5ø
La Rosa De Los Vientos,La Rosa De Los Vientos,La Frontera,313.0ø
La Reina Del Ragtime,La Rosa De Los Vientos,La Frontera,184.3ø
La Herida,La Rosa De Los Vientos,La Frontera,207.7ø
Mishima,Consolidated - EP,Consolidated,374.2ø
For You America,Consolidated - EP,Consolidated,71.4ø
Consolidated (Radio Mix),Consolidated - EP,Consolidated,200.3ø
Consolidated (Adorno Strength Mix),Consolidated - EP,Consolidated,358.4ø
Assimilate the Information,Consolidated - EP,Consolidated,198.9ø
The Clock,The Birth of R&B,Johnny Ace,176.3ø
Bubbles in the Wine,The Essential Lawrence Welk,Lawrence Welk,174.5ø
Oh Constance,Girltalk,Marden Hill,207.9ø
Curtain,Girltalk,Marden Hill,174.7ø
I've Been Drinking,The Best Of Jeff Beck,The Jeff Beck Group,196.3ø
What The Devil,Thin Walls Part II,The Fair Sex,294.7ø
The Wild Ones Fade,Thin Walls Part II,The Fair Sex,329.6ø
The Odour Of Rottenness,Thin Walls Part II,The Fair Sex,108.6ø
The Naked And The Dead,Thin Walls Part II,The Fair Sex,316.1ø
The House Of Unkinds,Thin Walls Part II,The Fair Sex,245.2ø
No Excuse,Thin Walls Part II,The Fair Sex,286.6ø
Nervous Jesus,Thin Walls Part II,The Fair Sex,236.9ø
Boredom Kills,Thin Walls Part II,The Fair Sex,218.3ø
Spitfire,The Glorious Sound Of Rock'n'Roll,Glorious Bankrobbers,237.5ø
Dynamite sex dose,The Glorious Sound Of Rock'n'Roll,Glorious Bankrobbers,193.5ø
Crazy Sioux,The Glorious Sound Of Rock'n'Roll,Glorious Bankrobbers,318.9ø
Stay With Me,Winter Hours,Winter Hours,212.9ø
Smoke Rings,Winter Hours,Winter Hours,272.1ø
Roadside Flowers,Winter Hours,Winter Hours,338.8ø
Rise,Winter Hours,Winter Hours,258.5ø
Longest Century,Winter Hours,Winter Hours,295.0ø
Just Like Love,Winter Hours,Winter Hours,237.5ø
Familiar Places,Winter Hours,Winter Hours,265.7ø
Carpenter's Square,Winter Hours,Winter Hours,385.0ø
Broken Little Man,Winter Hours,Winter Hours,225.6ø
Quem Me Guia,Brazil Classics 2: O Samba,Almir Guineto,194.1ø
Caxambu,Brazil Classics 2: O Samba,Almir Guineto,219.4ø
You're My Religion (Album Version),Jane Child,Jane Child,340.8ø
World Lullabye (Album Version),Jane Child,Jane Child,190.1ø
Welcome To The Real World (Album Version),Jane Child,Jane Child,299.7ø
Thank You (Album Version),Jane Child,Jane Child,130.4ø
I Got News For You (Album Version),Jane Child,Jane Child,276.6ø
Hey Mr. Jones (Album Version),Jane Child,Jane Child,414.1ø
Ds 21 (Album Version),Jane Child,Jane Child,269.9ø
Don't Wanna Fall In Love (Album Version),Jane Child,Jane Child,247.8ø
Don't Let It Get To You (Album Version),Jane Child,Jane Child,251.1ø
Biology (Album Version),Jane Child,Jane Child,374.2ø
ANOTHER LIFE,SLAM,Big Dipper,128.9ø
Mystery Train,Next Time You See Me,Junior Parker,147.3ø
Feelin' Good,Next Time You See Me,Junior Parker,177.4ø
Zip Code,The Five Americans,The Five Americans,175.1ø
Ticking Time Bomb,Tackhead Power Inc._ Vol. 1,Tackhead,377.9ø
Stealing,Tackhead Power Inc._ Vol. 1,Tackhead,261.0ø
Shake Hands With The Sun,Titanic,Hans Theessink,197.8ø
Living in the fast Lane,Johnny & the Devil,Hans Theessink,237.8ø
Johnny & the Devil,Johnny & the Devil,Hans Theessink,171.7ø
Flying Shoes,Johnny & the Devil,Hans Theessink,221.2ø
Dough Roller Blues,Johnny & the Devil,Hans Theessink,245.6ø
Gonna Get Along Without Ya Now,Blue Jeans and Ponytails Volume 3,Patience And Prudence,116.6ø
You Can Have Him,Collected,Carmel,227.2ø
Take It For Granted,Collected,Carmel,271.0ø
One Fine Day,Collected,Carmel,273.4ø
If Birds Can Fly,Collected,Carmel,277.3ø
I'm Over You,Collected,Carmel,235.5ø
Lily Was Here,Saxuality,David A. Stewart & Candy Dulfer,260.2ø
Chim Chim Cheree,The Best of the Jazz Guitar,Charlie Byrd,471.4ø
Your Love Gives (Album Version),State Of Control,Barren Cross,234.2ø
Two Thousand Years (Album Version),State Of Control,Barren Cross,430.0ø
The Stage Of Intensity (Album Version),State Of Control,Barren Cross,396.0ø
State Of Control (Album Version),State Of Control,Barren Cross,233.1ø
Out Of Time (Album Version),State Of Control,Barren Cross,249.0ø
Love At Full Volume (Album Version),State Of Control,Barren Cross,148.3ø
Inner War (Album Version),State Of Control,Barren Cross,249.3ø
Hard Lies (Album Version),State Of Control,Barren Cross,257.5ø
Cryin' Over You (Album Version),State Of Control,Barren Cross,292.1ø
Bigotry Man (who Are You) (Album Version),State Of Control,Barren Cross,281.6ø
A Face In The Dark (Album Version),State Of Control,Barren Cross,235.7ø
When The Hoodoo Comes (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,280.3ø
What About Us (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,227.2ø
The Walking Hour (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,334.5ø
Out Of Nowhere (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,223.3ø
Opportunity Crazy (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,245.9ø
Mr Soul (Live),Flipped,Diesel Park West,179.3ø
Like Princes Do (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,183.8ø
Like Princes Do,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,183.6ø
Jackie's Still Sad (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,241.4ø
Jackie's Still Sad,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,210.8ø
Here I Stand (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,242.5ø
Here I Stand,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,242.5ø
Fine Lilly Fine,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,279.7ø
Bell Of Hope (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,238.6ø
Bell Of Hope,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,269.0ø
All The Myths On Sunday (Bob Clearmountain Mix) (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,266.1ø
All The Myths On Sunday (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,266.0ø
All The Myths On Sunday,Left Hand Band - The Very Best Of Diesel Park West,Diesel Park West,266.4ø
A House Divided (2005 Digital Remaster),Shakespeare Alabama,Diesel Park West,275.1ø
Blame It On The Boogie,Smash Hits Party,Big Fun,216.7ø
Wait For You,THE DISREGARD OF TIMEKEEPING,Bonham,302.1ø
Attitudes,Live at the Kremlin_ Vol. 2,Marie et Les Garcons,205.8ø
Diamonds Are A Girl's Best Friend,Broadway: The Great Original Cast Recordings,Carol Channing,177.6ø
I Can Do This (Uptown Mix),Down To Earth,Monie Love,202.8ø
Lucky Country,The Best Years Of Our Lives,Richard Clapton,259.3ø
Best Years Of Our Lives,The Best Years Of Our Lives,Richard Clapton,270.9ø
September girls,Black list,Alex Chilton,173.1ø
Jailbait,Black list,Alex Chilton,212.5ø
Return To The Planet Of Bass,Maggotron Forever,Maggotron,366.5ø
Vives en un cuento,666,Angeles del Infierno,235.4ø
Estamos todos locos,666,Angeles del Infierno,193.6ø
Dando por detras,666,Angeles del Infierno,195.3ø
You Can Run,Time's Up,Age Of Chance,232.9ø
Time's Up (Timeless Mix),Time's Up,Age Of Chance,474.1ø
Time's Up (Prove It Mix),Time's Up,Age Of Chance,323.2ø
Time's Up (Pop Mix),Time's Up,Age Of Chance,274.1ø
Time's Up,Mecca,Age Of Chance,204.5ø
Superpower,Time's Up,Age Of Chance,437.4ø
Four More Years: Motorcade,Time's Up,Age Of Chance,254.1ø
Dear Lady Twist,His Very Best,Gary U.S. Bonds,141.9ø
