Wild Cat,Dinah (The Very Best Of),Joe Venuti_ Eddie Lang,180.4ø
Up All Day,Make Love To You,The Castaway Stones,171.4ø
Dr. Rock,Anthology 1977-2007,Stephen Pearcy,162.3ø
No Matter How High I Get,See What the Lord Has Done,Luther Barnes_ The Red Budd Gospel Choir,481.1ø
I Can't Make It Without You,So Satisfied,Luther Barnes_ The Red Budd Gospel Choir,425.5ø
He's Alright,An Invitation,Luther Barnes_ The Red Budd Gospel Choir,524.0ø
He'll Come to My Rescue,So Satisfied,Luther Barnes_ The Red Budd Gospel Choir,261.8ø
Polvo De Estrellas,RCA Club,Los Indios Tabajaras,157.4ø
Angelitos Negros,RCA Club,Los Indios Tabajaras,121.7ø
Scribble,Dyadic Shift EP,Yennah,290.4ø
Dyadic Shift,Dyadic Shift EP,Yennah,444.7ø
Twelfth Street Rag,CABU Jazz Masters - Blackstick: Une Anthologie 1923 - 1950,Sidney Bechet,178.4ø
Sweetie Dear,New Orleans Playing Away Jazz,Sidney Bechet & His New Orleans Footwarmers,171.7ø
You and Your Folks_ Me and My Folks / Hit It and Quit It,Thirteen Cosmic Standards By Sun Ra & Funkadelic,Spaceways Inc.,496.8ø
We Travel the Spaeways,Thirteen Cosmic Standards By Sun Ra & Funkadelic,Spaceways Inc.,362.5ø
Red Hot Mama / Super Stupid,Thirteen Cosmic Standards By Sun Ra & Funkadelic,Spaceways Inc.,452.3ø
Alice in My Fantasies / Comic Slop,Thirteen Cosmic Standards By Sun Ra & Funkadelic,Spaceways Inc.,319.3ø
Arcadian Geet,The Arcadian Collection,Laszlo Hortobagyi,328.1ø
Arabesque,The Arcadian Collection,Laszlo Hortobagyi,532.9ø
Naked Eating Cheetos,The Best Of Blue Collar Comedy,Ron White,54.3ø
Suite Compostelana: III_ Cuna,Two Worlds,Lee Ritenour | Dave Grusin,266.1ø
Sonatina: Andante II,Two Worlds,Lee Ritenour | Dave Grusin,272.3ø
Concerto In A Minor For Four Keyboards And Strings_ BWV 1065: Movement 1,Two Worlds,Lee Ritenour | Dave Grusin,274.2ø
1 Ruthland Close,El Rocker's,Rockers All Stars,151.2ø
Unbranded,A Can of Worms,Parallel or 90 Degrees,513.2ø
Roll On Big Mama,Moe Bandy & Joe Stampley - Super Hits,Moe Bandy & Joe Stampley,154.7ø
Do You Ever Fool Around,Moe Bandy & Joe Stampley - Super Hits,Moe Bandy & Joe Stampley,166.8ø
Hot And Bothered,Jazz Piano Greats,Clarence Profit,193.7ø
Thunderland Reel,The Ultimate Seaside Companion,Chris Connelly and the Bells,147.3ø
Chorus Of Eyes,The Ultimate Seaside Companion,Chris Connelly and the Bells,251.1ø
Trivial Pursuit,Back Off Cupids,Back Off Cupids,195.2ø
The Camel Train,Back Off Cupids,Back Off Cupids,137.8ø
Rock And Roll,Back Off Cupids,Back Off Cupids,154.5ø
Plee,Back Off Cupids,Back Off Cupids,442.8ø
Painted Half A Picture,Back Off Cupids,Back Off Cupids,183.4ø
Now We're Asian,Back Off Cupids,Back Off Cupids,329.3ø
Meek Inherits Space,Back Off Cupids,Back Off Cupids,289.0ø
I'm Stolen,Back Off Cupids,Back Off Cupids,312.7ø
Can You Hear My Sleep Dog?,Back Off Cupids,Back Off Cupids,138.7ø
A Strong Maybe,Back Off Cupids,Back Off Cupids,234.5ø
Tumba Tumba,La Charanga Soy Yo,Charanga Forever,367.4ø
Se Que He Fallado,La Charanga Soy Yo,Charanga Forever,355.8ø
Me Criticas,La Charanga Soy Yo,Charanga Forever,373.1ø
La Chica De Los Ojos Verdes,La Charanga Soy Yo,Charanga Forever,304.5ø
La Charanga Soy Yo,La Charanga Soy Yo,Charanga Forever,321.3ø
Hay Algo En Mi,La Charanga Soy Yo,Charanga Forever,326.0ø
El Jony,La Charanga Soy Yo,Charanga Forever,336.6ø
Cuentas Claras,La Charanga Soy Yo,Charanga Forever,314.5ø
Babylon Boops,Babylon Boops,Major Worries,235.6ø
Track 9,C-Schulz & Hajsch,C-Schulz & Hajsch,169.9ø
Track 7,C-Schulz & Hajsch,C-Schulz & Hajsch,159.9ø
Track 6,C-Schulz & Hajsch,C-Schulz & Hajsch,354.0ø
Track 5,C-Schulz & Hajsch,C-Schulz & Hajsch,275.1ø
Track 4,C-Schulz & Hajsch,C-Schulz & Hajsch,138.9ø
Track 2,C-Schulz & Hajsch,C-Schulz & Hajsch,583.2ø
Track 1,C-Schulz & Hajsch,C-Schulz & Hajsch,290.2ø
Lacassine Special,The Cajun Album,Iry LeJeune,164.8ø
Un Tramp Sur La Rue (The Tramp On The Street),Sam's Big Rooster,Savoy-Doucet Cajun Band,293.6ø
She Made Me Lose My Mind,Sam's Big Rooster,Savoy-Doucet Cajun Band,198.1ø
Sam's Big Rooster (Le Gros Guime A Sam),Sam's Big Rooster,Savoy-Doucet Cajun Band,239.4ø
Party Girl's Blues,Sam's Big Rooster,Savoy-Doucet Cajun Band,156.0ø
Mardi Gras Jig,Sam's Big Rooster,Savoy-Doucet Cajun Band,363.3ø
Les Culottes A Lollypop (Lollypop's Underwear),Sam's Big Rooster,Savoy-Doucet Cajun Band,160.3ø
La Valse D'evia,Sam's Big Rooster,Savoy-Doucet Cajun Band,262.3ø
La Bonne Vie (The Good Life),Sam's Big Rooster,Savoy-Doucet Cajun Band,272.9ø
Jolie Bassette,Sam's Big Rooster,Savoy-Doucet Cajun Band,223.2ø
J. B.'S Waltz,Sam's Big Rooster,Savoy-Doucet Cajun Band,176.4ø
Doc Guidry Medley - Tit Maurice/ Doc's Fiddle,Sam's Big Rooster,Savoy-Doucet Cajun Band,213.3ø
Amede Two Step (Two Step Pour Amadee Ardoin),Sam's Big Rooster,Savoy-Doucet Cajun Band,400.2ø
World of Innocence,Force in your head,Aquaplex,471.7ø
Force in your head,Force in your head,Aquaplex,402.3ø
Yesterday,Unvergessliche Melodien,Munich Symphonic Sound Orchestra,161.1ø
To Delite,Tornado Warning,Syncromatic Dubsters,268.3ø
Terremoto,Tornado Warning,Syncromatic Dubsters,249.3ø
Rub-A-Drop,Tornado Warning,Syncromatic Dubsters,320.9ø
Querida Cubana,Tornado Warning,Syncromatic Dubsters,299.0ø
7 Miles High,Tornado Warning,Syncromatic Dubsters,289.7ø
When God Comes And Gathers His Jewels,Columbia Country Classics               Volume 1:  The Golden Age,Molly O'Day & The Cumberland Mountain Folks,166.4ø
South Texas Swing,South Texas Swing,Adolph Hofner,163.4ø
Vou Vivendo,Bach in Brazil,Camerata Brasil,170.2ø
Um a Zero,Bach in Brazil,Camerata Brasil,192.3ø
Remexendo,Bach in Brazil,Camerata Brasil,175.2ø
Chorando Baixinho,Bach in Brazil,Camerata Brasil,257.3ø
