Una Musica,Made In Italy,Fausto Papetti,166.7ø
Paper Roses,Girls Triple Set,Marie Osmond,159.3ø
Las Cuarentas,El Compositor Que Canta,Ismael Miranda,269.7ø
Po prvi put,The Platinum Collection,Lisac Josipa,172.7ø
O jednoj mladosti,The Platinum Collection,Lisac Josipa,242.0ø
Ne prepoznajem ga,The Platinum Collection,Lisac Josipa,270.2ø
White World Of Sports (Album Version),Los Cochinos,Cheech And Chong,177.4ø
Up His Nose (Album Version),Los Cochinos,Cheech And Chong,208.4ø
Les Morpions (Album Version),Los Cochinos,Cheech And Chong,358.3ø
Don't Bug Me (Album Version),Los Cochinos,Cheech And Chong,89.9ø
Basketball Jones,Rhino Hi-Five: Cheech & Chong,Cheech & Chong,245.3ø
Let Me In,Gospel Favorites By The Osmonds,The Osmonds,249.6ø
Goin' Home,Osmondmania!,The Osmonds,148.7ø
HERRA HUU,Suosituimmat Lastenlaulut,M.A. Numminen,162.0ø
Party Doll,The Ealy Hits Of Rock 'n' Roll,Buddy Knox,131.3ø
Ti Ho Conosciuto In Un Clubs,Troia,Squallor,209.9ø
Non Mi Mordere Il Dito,Troia,Squallor,173.6ø
Marcia - k2,Troia,Squallor,232.2ø
Indiani a Worlock,Troia,Squallor,177.8ø
Blue moon,Troia,Squallor,44.0ø
The Man Of My Dreams,Reaching Out,Freda Payne,254.2ø
Right Back Where I Started From,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,229.1ø
Rainy Days And Mondays,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,283.1ø
Mood For Love,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,187.4ø
Wandering Song (2004 Digital Remaster),Magician's Hat,Bo Hansson,195.6ø
Waltz At Dawn (2004 Digital Remaster),Magician's Hat,Bo Hansson,350.8ø
The Sun (Parallel Or 90 Degrees) (2004 Digital Remaster),Magician's Hat,Bo Hansson,434.2ø
Playing Downhill Into The Downs (2004 Digital Remaster),Magician's Hat,Bo Hansson,104.9ø
Fylke (2004 Digital Remaster),Magician's Hat,Bo Hansson,111.9ø
Findhorn's Song (2004 Digital Remaster),Magician's Hat,Bo Hansson,96.8ø
Excursion With Complications (2004 Digital Remaster),Magician's Hat,Bo Hansson,208.2ø
Elidor (2004 Digital Remaster),Magician's Hat,Bo Hansson,95.3ø
Divided Reality (2004 Digital Remaster),Magician's Hat,Bo Hansson,379.4ø
Big City (Original Version) (2004 Digital Remaster),Magician's Hat,Bo Hansson,443.1ø
Before The Rain (2004 Digital Remaster),Magician's Hat,Bo Hansson,90.7ø
Awakening (2004 Digital Remaster),Magician's Hat,Bo Hansson,166.9ø
Whisky You're the Devil,Irish Drinking Songs,The Clancy Brothers and Tommy Makem,139.5ø
Jealous Mind,The Alvin Stardust Story,Alvin Stardust,158.9ø
The River,Halcyon Days,Strawbs,143.2ø
Thank You,Bursting At The Seam,Strawbs,135.2ø
Part Of The Union,True 70s,Strawbs,176.7ø
Flying,Bursting At The Seam,Strawbs,293.6ø
Down By The Sea,Live At Nearfest 2004,Strawbs,518.7ø
Work To Do,The Masters Series: Rare Groove,The Main Ingredient,195.5ø
Where Were You When I Needed You,A Quiet Storm,The Main Ingredient,252.8ø
I Am Yours,Everybody Plays The Fool: The Best Of The Main Ingredient,The Main Ingredient,252.4ø
Girl Blue,A Quiet Storm,The Main Ingredient,264.0ø
Woman Drum,Guru Guru,Guru Guru,237.1ø
Samantha's Rabbit,Guru Guru,Guru Guru,176.7ø
Der Elektrolurch,Guru Guru,Guru Guru,584.6ø
