Money Ain't A Thang,Def Jam 25: Volume 1 - DJ Bring That Back (2008-1997),Jay-Z | JD,253.4ø
Friend Or Foe '98,In My Lifetime (Vol. 1),Jay-Z,129.3ø
Worry Rock (Album Version),Nimrod,Green Day,147.0ø
Walking Alone (Album Version),Nimrod,Green Day,165.0ø
The Grouch (Album Version),Nimrod,Green Day,132.1ø
Reject (Album Version),Nimrod,Green Day,125.5ø
Jinx (Album Version),Nimrod,Green Day,132.4ø
Haushinka (Album Version),Nimrod,Green Day,205.4ø
All The Time (Album Version),Nimrod,Green Day,130.4ø
Last Ride In (Album Version),Nimrod,Green Day,227.8ø
King For A Day (Album Version),Nimrod,Green Day,193.4ø
Whenever You Call,BUTTERFLY,Mariah Carey,260.9ø
Outside,BUTTERFLY,Mariah Carey,286.3ø
My All,My All / Breakdown,Mariah Carey,554.6ø
Honey,The Remixes,Mariah Carey Featuring Da Brat & JD,314.1ø
Fly Away (Butterfly Reprise),BUTTERFLY,Mariah Carey,229.2ø
Babydoll,BUTTERFLY,Mariah Carey,306.5ø
Who You Wit II,In My Lifetime_ Vol. 1,Jay-Z,247.4ø
Interlude,The Black Album,Jay-Z,173.8ø
Tuesday's Gone,Garage Inc.,Metallica,543.8ø
The Unforgiven II,Reload,Metallica,396.4ø
The Memory Remains,Reload,Metallica | Marianne Faithfull,279.1ø
Slither,Reload,Metallica,313.2ø
Better Than You,Reload,Metallica,321.6ø
Bad Seed,Reload,Metallica,245.3ø
On The Line,King Of Pop,Michael Jackson,292.8ø
Morphine,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,Michael Jackson,389.1ø
What Would I Say To You Now,Static Prevails,Jimmy Eat World,154.0ø
Crush,Clarity,Jimmy Eat World,191.6ø
