Streets Of Philadelphia,The Essential Bruce Springsteen,Bruce Springsteen,195.8ø
When I Come Around (Album Version),Dookie,Green Day,179.6ø
Sassafras Roots (Album Version),Dookie,Green Day,157.6ø
Longview (Album Version),Dookie,Green Day,233.2ø
Having A Blast (Album Version),Dookie,Green Day,164.7ø
F.O.D. (Album Version),Dookie,Green Day,170.8ø
Emenius Sleepus (Album Version),Dookie,Green Day,104.0ø
Coming Clean (Album Version),Dookie,Green Day,94.9ø
Chump (Album Version),Dookie,Green Day,174.0ø
Burnout (Album Version),Dookie,Green Day,127.5ø
Welcome To Paradise (Album Version),Dookie,Green Day,224.1ø
She (Album Version),Dookie,Green Day,134.3ø
In The End (Album Version),Dookie,Green Day,106.4ø
Jamie,Weezer,Weezer,259.6ø
Silent Night,Merry Christmas,Mariah Carey,222.0ø
Miss You Most (At Christmas Time),Merry Christmas,Mariah Carey,274.4ø
Joy To The World,Merry Christmas,Mariah Carey,259.2ø
Jesus Oh What A Wonderful Child,Merry Christmas,Mariah Carey,267.9ø
God Rest Ye Merry Gentlemen,Merry Christmas,Mariah Carey,81.0ø
All I Want For Christmas Is You,Merry Christmas,Mariah Carey,243.0ø
If You Don't_ Don't,Jimmy Eat World,Jimmy Eat World,273.2ø
