Lizard Point,Shutter Island [Music From The Motion Picture],Brian Eno,273.6ø
Scream,Live at The On Broadway 1982,Black Flag,271.0ø
My Rules,Everything Went Black,Black Flag,64.7ø
I've Heard It Before,Six Pack,Black Flag,99.9ø
Clocked In,Everything Went Black,Black Flag,97.7ø
American Waste,Six Pack,Black Flag,93.0ø
Who,Silk Electric,Diana Ross,218.7ø
Still In Love,Silk Electric,Diana Ross,248.6ø
In Your Arms,Silk Electric,Diana Ross,247.1ø
Fool For Your Love,Silk Electric,Diana Ross,227.8ø
Somewhere Down The Road,The Complete Collection...And Then Some,Barry Manilow,246.3ø
Memory,Greatest Hits Vol. 3,Barry Manilow,296.6ø
William's Tale,Battle Hymns,Manowar,114.5ø
Metal Daze,Battle Hymns,Manowar,260.5ø
Manowar,Battle Hymns,Manowar,218.3ø
Fast Taker,Battle Hymns,Manowar,236.3ø
Death Tone,Battle Hymns,Manowar,291.4ø
Dark Avenger,Battle Hymns,Manowar,383.6ø
Unknown Delight (2004 Digital Remaster),Gone Troppo,George Harrison,257.8ø
That's The Way It Goes (2004 Digital Remaster),Gone Troppo,George Harrison,217.7ø
I Really Love You (2004 Digital Remaster),Gone Troppo,George Harrison,175.9ø
Circles (2004 Digital Remaster),Gone Troppo,George Harrison,226.0ø
Baby Don't Run Away (2004 Digital Remaster),Gone Troppo,George Harrison,244.2ø
Beautiful Delilah,The Definitive Collection,Chuck Berry,128.4ø
Fa-Fa-Fa-Fa-Fa,Sittin' On the Dock of the Bay,Otis Redding,158.3ø
Winnebago Warrior,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,128.7ø
Well Paid Scientist,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,142.1ø
Trust Your Mechanic,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,175.7ø
Terminal Preppie,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,90.4ø
Saturday Night Holocaust,Give Me Convenience or Give Me Death,Dead Kennedys,260.3ø
Riot,Mutiny on the Bay,Dead Kennedys,450.6ø
Moon Over Marin,Milking The Sacred Cow,Dead Kennedys,223.9ø
Life Sentence,Give Me Convenience or Give Me Death,Dead Kennedys,160.3ø
I am the Owl,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,292.0ø
Halloween,Milking The Sacred Cow,Dead Kennedys,216.8ø
Government Flu,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,124.1ø
Forest Fire,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,143.1ø
Dead End,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,236.4ø
Buzzbomb,Plastic Surgery Disasters/In God We Trust_ Inc.,Dead Kennedys,141.9ø
A Child And His Lawn Mower,Not So Quiet On The Western Front,Dead Kennedys,55.4ø
Tearin' Out My Heart,Finyl Vinyl,Rainbow,488.4ø
Throw That Beat In The Garbage Can,The B52's,The B-52's,273.0ø
Nip It In The Bud,The B52's,The B-52's,213.4ø
Mesopotamia,The B52's,The B-52's,229.7ø
Loveland,The B52's,The B-52's,302.2ø
Deep Sleep,The B52's,The B-52's,210.1ø
Cake,The B52's,The B-52's,351.0ø
The Power Of Gold,Dan Fogelberg Live: Greetings From The West,Dan Fogelberg,537.3ø
Missing You,Dan Fogelberg Live: Greetings From The West,Dan Fogelberg,321.0ø
Leader Of The Band,Love Songs,Dan Fogelberg,258.4ø
Hearts And Crafts,Portrait: The Music Of Dan Fogelberg From 1972-1997,Dan Fogelberg,183.0ø
Some Kind Of Friend,Ultimate Manilow,Barry Manilow,242.5ø
Of All The Things We've Made,Dazzle Ships,Orchestral Manoeuvres In The Dark,207.5ø
Time Out For Fun,Oh No It's Devo / Freedom Of Choice,Devo,167.2ø
That's Good,Hot Potatoes: The Best Of Devo,Devo,204.2ø
Speed Racer,Oh No It's Devo / Freedom Of Choice,Devo,159.0ø
Patterns,Oh No It's Devo / Freedom Of Choice,Devo,178.3ø
Out Of Sync,Oh No It's Devo / Freedom Of Choice,Devo,213.4ø
Explosions,Oh No It's Devo / Freedom Of Choice,Devo,183.1ø
Big Mess,Hot Potatoes: The Best Of Devo,Devo,163.5ø
