Sugar Coated Love,Harpbeat of the Swamp,Lazy Lester,198.8ø
Stemvork,Geen Spatader Veranderd,Herman Finkers,95.3ø
Ober Met Dame,Geen Spatader Veranderd,Herman Finkers,153.4ø
Litanie Van De Lekkende Onderwaterscene,Geen Spatader Veranderd,Herman Finkers,140.3ø
Kutje Believe In A Love At First Sight (Twents),Geen Spatader Veranderd,Herman Finkers,254.1ø
Het Spreukjesbos,Geen Spatader Veranderd,Herman Finkers,484.3ø
De Papegaai,Geen Spatader Veranderd,Herman Finkers,384.2ø
Bent U Gerard Cox?,Geen Spatader Veranderd,Herman Finkers,448.4ø
Australisch Bier,Geen Spatader Veranderd,Herman Finkers,82.9ø
Lots About Nothin',Larry & Lee,Larry Carlton | Lee Ritenour,376.0ø
Texas And Pacific,Disc C:  1944-1946,Louis Jordan and his Tympany Five,185.2ø
Stone Cold Dead In The Market,Disc C:  1944-1946,Louis Jordan and his Tympany Five,162.8ø
Uncle Joe's Lament,Time To Leave,Cordrazine,341.5ø
Time To Leave,Time To Leave,Cordrazine,210.9ø
Song To The Siren,Clearlight,Cordrazine,186.9ø
Clearlight,Clearlight,Cordrazine,260.3ø
Candle,Clearlight,Cordrazine,270.7ø
14,Time To Leave,Cordrazine,288.8ø
Zeroes And Ones,PLP3,Peace_ Love & Pitbulls,225.6ø
Youth,PLP3,Peace_ Love & Pitbulls,367.7ø
Celebration,PLP3,Peace_ Love & Pitbulls,182.9ø
Ko Ko,Swingin',Duke Ellington_ His Famous Orchestra,157.9ø
Co Ni Mire Rium (Who Will Flirt With Me?),Beautiful Wasteland,Capercaillie,265.2ø
What You Need,International Blunt Funk,Kollision,267.5ø
Ti Amo Goodbye,Ti amo - Ich liebe Dich,Frans Bauer,215.8ø
Die Nacht der tausend Rosen,Ich will mit Dir tanzen,Frans Bauer,243.3ø
Where It's At,Balance Of The Force,Boymerang,476.5ø
The River (VIP),Balance Of The Force,Boymerang,523.5ø
Soul Beat Runna,Balance Of The Force,Boymerang,479.2ø
Mind Control,Balance Of The Force,Boymerang,512.2ø
Lazarus,Balance Of The Force,Boymerang,548.1ø
A.C.I.D.,Balance Of The Force,Boymerang,484.9ø
Long Ago and Far Away,Taking a Chance On Love,Helen Forrest,208.4ø
It never Entered My Mind,Love Songs Of The War Years,Helen Forrest,181.8ø
I'm Nobody's Baby,Vocalists Of The 40ies,Helen Forrest,163.9ø
How High The Moon,Helen Forrest: The Complete World Transcriptions,Helen Forrest,113.1ø
Sweet Caroline,Tracy - The Very Best Of The Cufflinks,The Cufflinks,167.1ø
Put A Little Love In Your Heart,Tracy - The Very Best Of The Cufflinks,The Cufflinks,150.2ø
Heather,Tracy - The Very Best Of The Cufflinks,The Cufflinks,166.8ø
Early In The Morning,Tracy - The Very Best Of The Cufflinks,The Cufflinks,138.2ø
All The Young Women,Tracy - The Very Best Of The Cufflinks,The Cufflinks,188.5ø
Tengo Ganas,El Decreto,Kinito Mendez,291.6ø
El Suero De Amor,El Decreto,Kinito Mendez,280.7ø
El Decreto,El Decreto,Kinito Mendez,294.5ø
El Chivo Conuquero,El Decreto,Kinito Mendez,283.4ø
El Baile Del Sua Sua,Fiestarengue Live From Puerto Rico,Kinito Mendez,193.7ø
Lise,Dingli Bang,Jan Eggum,230.5ø
Fangenskap,Dingli Bang,Jan Eggum,302.2ø
Den Rette,Dingli Bang,Jan Eggum,225.7ø
Last Christmas,Christmas Moods,State Of The Heart,227.7ø
Slotconference,Het Geheim Van De Lachende Piccolo,Harrie Jekkers,49.8ø
Rik 3,Het Geheim Van De Lachende Piccolo,Harrie Jekkers,475.0ø
Mijn Moeder (lied),Het Geheim Van De Lachende Piccolo,Harrie Jekkers,276.2ø
Met Een Goudvis Naar Zee (edit),Mijn Ikken,Harrie Jekkers,213.6ø
Ik Hou Van Mij (lied),Het Geheim Van De Lachende Piccolo,Harrie Jekkers,252.6ø
De Lachende Piccolo 3,Het Geheim Van De Lachende Piccolo,Harrie Jekkers,246.6ø
De Engelbewaarder,Mijn Ikken,Harrie Jekkers,218.6ø
Moonwalking,The Egg Files,Tassilli Players,285.4ø
Vaiche Boa,All Right Chicago,Heredeiros Da Crus,309.6ø
Paquita,Des Minutos,Heredeiros Da Crus,124.9ø
O Tempo Da Pola,Des Minutos,Heredeiros Da Crus,148.1ø
O Pastor Aleman (Fervelle II),Des Minutos,Heredeiros Da Crus,185.2ø
O Cura Do Pobo,Criatura,Heredeiros Da Crus,106.9ø
Non Quiero Nada De Ti,Criatura,Heredeiros Da Crus,124.7ø
Fransisquino,Des Minutos,Heredeiros Da Crus,136.0ø
Como Che Quero Nena,Des Minutos,Heredeiros Da Crus,132.5ø
Cansado,Des Minutos,Heredeiros Da Crus,190.2ø
Angelito Pastillero,Des Minutos,Heredeiros Da Crus,165.2ø
Soul Skimmer,Blow Up Presents Exclusive Blend Volume 2,Alan Moorhouse,126.7ø
Heavy Bopper,Blow Up Presents Exclusive Blend Volume 2,Alan Moorhouse,150.2ø
Boss Man,Blow Up Presents Exclusive Blend Volume 2,Alan Moorhouse,120.2ø
Lean Baby,All Of Me,Billy May & His Orchestra,195.1ø
Fly With Wings Of Love,Collection,Joe Sample,456.6ø
Jan De Grote Griezel,Eigen Kweek (1967-2000),Jan De Wilde,154.9ø
Pastorale,Pastorale,Eric Tingstad And Nancy Rumbel,265.1ø
Huwelijksherfst,Scherven,Youp van 't Hek,200.2ø
Chiquita (Lied),Scherven,Youp van 't Hek,100.6ø
Broer,Scherven,Youp van 't Hek,390.3ø
Light Blue,Thelonious In Action,Thelonious Monk Quartet,314.8ø
Epistrophy,At The Blackhawk,Thelonious Monk Quartet,59.8ø
Verklighetens afton,Guldkorn,John  Holm,269.0ø
Min skuld till dig,Guldkorn,John  Holm,198.1ø
Amerika,Guldkorn,John  Holm,332.9ø
No Mystery,The New Crystal Silence,Chick Corea | Gary Burton,551.4ø
Four in One,Native Sense: The New Duets,Chick Corea | Gary Burton,313.3ø
Toybox,Butch,The Geraldine Fibbers,191.5ø
I Speak As I Lie,The Righteous Way To Completion,Archon Satani,551.1ø
Another Great Moment In Paradise,The Righteous Way To Completion,Archon Satani,405.2ø
You're Fired,Spaceage Honeymoon,Cultured Pearls,284.4ø
Silverball,Spaceage Honeymoon,Cultured Pearls,266.1ø
Senses,Spaceage Honeymoon,Cultured Pearls,297.7ø
Mr. Lonely,Spaceage Honeymoon,Cultured Pearls,220.1ø
I Lost My Man,Spaceage Honeymoon,Cultured Pearls,308.2ø
Hatecycle,Spaceage Honeymoon,Cultured Pearls,227.3ø
Fly,Spaceage Honeymoon,Cultured Pearls,252.0ø
Dancefloor,Spaceage Honeymoon,Cultured Pearls,249.5ø
Bubbles,Spaceage Honeymoon,Cultured Pearls,262.2ø
Yume no Yume,Un,Rie Tomosaka,227.4ø
Watashi ga Tsuiteru Janai?,Un,Rie Tomosaka,231.1ø
Tu Las Embrasse,Un,Rie Tomosaka,58.7ø
Sonnano Ki ni Shinai,Un,Rie Tomosaka,275.0ø
Naichai Sou yo,Un,Rie Tomosaka,278.6ø
Kushami (Album Version),Un,Rie Tomosaka,276.2ø
Koi wo Shitara Umi e Ikou (Remix version),Un,Rie Tomosaka,281.2ø
Jealousy,Un,Rie Tomosaka,193.3ø
Je Lai Embrasse,Un,Rie Tomosaka,192.3ø
Futari,Un,Rie Tomosaka,293.7ø
Trouble Deh a Bush,Beverley's Records - The Collection,The Pioneers,138.7ø
Lover Come Back To Me,Chester & Lester,Chet Atkins & Les Paul,161.1ø
Deed I Do,Chester & Lester,Chet Atkins & Les Paul,150.0ø
John Jones,Tighten Up Volume 2,Rudy Mills,189.4ø
I'm not here,Dip,Soul Quality Quartet,333.7ø
Where Mainz Is Your Unna,Every Screaming Ear,Doctor Nerve,63.4ø
When It Blows Its Stacks,Every Screaming Ear,Doctor Nerve | Meridian Arts Ensemble,334.9ø
Verily Steaming Aria,Every Screaming Ear,Doctor Nerve,43.7ø
Unnas Rumpus,Every Screaming Ear,Doctor Nerve,57.5ø
Spy Boy,Armed Observation Out To Bomb Fresh Kings,Doctor Nerve,202.5ø
Splinter,Beta 14 Ok,Doctor Nerve,151.8ø
Sister Cancer Brother Dollar,Armed Observation Out To Bomb Fresh Kings,Doctor Nerve,155.5ø
Pain Waits Until 5PM,Beta 14 Ok,Doctor Nerve,282.7ø
Nerveware No. 3,Every Screaming Ear,Doctor Nerve,251.2ø
Armed Observation,Beta 14 Ok,Doctor Nerve,150.9ø
Recordando Esencias,Habichuela En Rama,Pepe Habichuela,295.2ø
Machuka,Habichuela En Rama,Pepe Habichuela,321.6ø
Hondo,Habichuela En Rama,Pepe Habichuela,418.3ø
Habichuela En Rama,Habichuela En Rama,Pepe Habichuela,279.5ø
Canta La Guitarra,Habichuela En Rama,Pepe Habichuela,226.1ø
Amanecer,Habichuela En Rama,Pepe Habichuela,268.3ø
A Mi Manuel,Habichuela En Rama,Pepe Habichuela,236.1ø
Yellow Balloon,Where The Action Is! Los Angeles Nuggets 1965-1968,The Yellow Balloon,133.1ø
Breathing Through My Eyes,Chin Chin,Skunkhour,252.3ø
God's Gonna Cut 'Em Down,The Golden Gate Quartet,The Golden Gate Quartet,154.0ø
Angry Pimp,Presents Harmonie Park,Rick Wade,297.8ø
Kelvin,Onko,Mika Vainio,528.6ø
Jos (if),Onko,Mika Vainio,358.1ø
