Hold On,A Decade Of Chicago's Finest,The Radiants,178.3ø
Gouden Bergen,Hier Komt De Storm,Frank Boeijen Groep,235.8ø
Sparkle Plenty (original),Storytime,T Lavitz,259.4ø
I'm Callin' You (original),Storytime,T Lavitz,274.3ø
Glendale World (original),Storytime,T Lavitz,156.8ø
Dumb Life (original),Storytime,T Lavitz,231.3ø
Crystal (original),Storytime,T Lavitz,202.1ø
Between Coming And Going (original),Storytime,T Lavitz,209.4ø
Baby Talk (original),Storytime,T Lavitz,248.9ø
A Voice From Without (original),Storytime,T Lavitz,231.6ø
The Gunner,Hand of Fate,True West,218.2ø
Lost at Daybreak,Hand of Fate,True West,290.8ø
Leathers Worn (Bar Version),Hand of Fate,True West,77.5ø
Just One Chance,Hand of Fate,True West,215.0ø
Falling Away,Hand of Fate,True West,246.6ø
Bitter Dream,Hand of Fate,True West,212.3ø
La ballade de Lenore,Les morts vont vite,Shub-Niggurath,537.8ø
Cabine 67,Les morts vont vite,Shub-Niggurath,355.6ø
When The World Is A Home,Wa Wa Nee,Wa Wa Nee,238.8ø
Teacher,Wa Wa Nee,Wa Wa Nee,115.0ø
Sugar Free,Ultamixes,Wa Wa Nee,431.2ø
Stimulation,Wa Wa Nee,Wa Wa Nee,235.8ø
One And One (Ain't Good Enough),Wa Wa Nee,Wa Wa Nee,197.2ø
Manchild,Wa Wa Nee,Wa Wa Nee,249.2ø
Jelly Baby,Wa Wa Nee,Wa Wa Nee,267.7ø
I Could Make You Love Me,Wa Wa Nee,Wa Wa Nee,236.8ø
Gone,Ultamixes,Wa Wa Nee,315.7ø
I Find The Way,I Find The Way,Roger Meno,236.4ø
Vacaciones,Aerolineas Federales,Aerolineas Federales,112.0ø
Soy Una Punk,Aerolineas Federales,Aerolineas Federales,142.5ø
Rollo porno,Aerolineas Federales,Aerolineas Federales,166.9ø
No me gusta tu comida,Aerolineas Federales,Aerolineas Federales,124.5ø
No me gusta bailar,Aerolineas Federales,Aerolineas Federales,138.1ø
No Me Beses En Los Labios,Aerolineas Federales,Aerolineas Federales,147.2ø
Me duele la cabeza,Aerolineas Federales,Aerolineas Federales,139.3ø
Ahora soy feliz,Aerolineas Federales,Aerolineas Federales,190.4ø
Pink Shoe Laces,Rock 'n' Roll And Pop Hits_ The 50s_ Vol. 43,Dodie Stevens,143.0ø
Yours For The Asking,I'm No Angel,The Gregg Allman Band,197.4ø
Things That Might Have Been,I'm No Angel,The Gregg Allman Band,268.9ø
It's Not My Cross To Bear,I'm No Angel,The Gregg Allman Band,337.5ø
I'm No Angel,No Stranger To The Dark: The Best Of Gregg Allman,The Gregg Allman Band,224.3ø
Don't Want You No More,I'm No Angel,The Gregg Allman Band,152.6ø
Can't Keep Running,I'm No Angel,The Gregg Allman Band,245.6ø
Anything Goes,I'm No Angel,The Gregg Allman Band,253.5ø
Hearts Of Stone,66 US Number One Hits,Fontane Sisters,136.1ø
Short Shorts,At The Hop,The Royal Teens,158.8ø
Stell dir vor es geht das Licht aus,Stephan Remmler,Stephan Remmler,179.1ø
So richtig froh werd ich doch ohne dich nie wieder sein,Stephan Remmler,Stephan Remmler,209.1ø
Lass mich einmal noch wieder bei dir sein,Stephan Remmler,Stephan Remmler,216.3ø
Ja hast denn du mein Brief net kriegt,Stephan Remmler,Stephan Remmler,219.8ø
Die Zeit mit dir,Stephan Remmler,Stephan Remmler,156.8ø
Bubela,Stephan Remmler,Stephan Remmler,187.5ø
Alles hat ein Ende_ nur die Wurst hat zwei (Krause und Ruth),Stephan Remmler,Stephan Remmler,242.3ø
Susie Darlin',Teen Idols,Robin Luke,156.4ø
Dare To Dream,Disco Diva Vol. 2,Viola Wills,333.9ø
Unchained Melody,True 50's love,Al Hibbler,173.8ø
You Will Go Free - Album Version,Romeo Unchained,Tonio K.,397.0ø
You Don't Belong Here - Album Version,Romeo Unchained,Tonio K.,350.8ø
You Belong With Me - Album Version,Romeo Unchained,Tonio K.,290.1ø
True Confessions - Album Version,Romeo Unchained,Tonio K.,219.9ø
Perfect World - Album Version,Romeo Unchained,Tonio K.,252.1ø
Living Doll - Album Version,Romeo Unchained,Tonio K.,223.7ø
Emotional War Games - Album Version,Romeo Unchained,Tonio K.,233.5ø
Jingle Bell Rock,Greatest Children's Christmas Hits,Sweethearts of the Rodeo;David Allan Coe,131.9ø
Born Too Late,Doo Wop Classics Vol. 6,The Poni Tails,137.3ø
Ice In The Sunshine,The Sunny Side Of Life,Beagle Music Ltd.,193.0ø
YEARS LATER,Urban Beaches,Cactus World News,248.8ø
THE PROMISE,Urban Beaches,Cactus World News,298.7ø
THE OTHER EXTREME,Urban Beaches,Cactus World News,252.6ø
THE BRIDGE ORIGINAL VERSION,Urban Beaches,Cactus World News,228.5ø
THE BRIDGE,Urban Beaches,Cactus World News,255.5ø
TABLES OVERTURN,Urban Beaches,Cactus World News,255.5ø
STATE OF EMERGENCY  BONUS,Urban Beaches,Cactus World News,376.6ø
STATE OF EMERGENCY,Urban Beaches,Cactus World News,433.7ø
PILOTS OF BEKA,Urban Beaches,Cactus World News,314.0ø
JIGSAW STREET,Urban Beaches,Cactus World News,193.0ø
IN A WHIRLPOOL,Urban Beaches,Cactus World News,221.3ø
GO DTI NA TRA,Urban Beaches,Cactus World News,176.3ø
FRONTIERS,Urban Beaches,Cactus World News,291.0ø
CHURCH OF THE COLD,Urban Beaches,Cactus World News,230.0ø
CASHEN BAY STRAND,Urban Beaches,Cactus World News,312.2ø
I Wanna Ramble,The Earls Of Duke,Little Junior Parker,168.5ø
Rockin' Pneumonia & the Boogie Woogie Flu,Crusin' The 66,"Huey ""Piano"" Smith",201.0ø
The Hunter Gets Captured By the Game,Anna Domino,Anna Domino,210.3ø
Take That,Anna Domino,Anna Domino,255.1ø
Summer (Arthur Baker Remix),Twice As Nice : Be Music / Dojo / Kamins / Baker Productions,Anna Domino,448.5ø
"Summer (Arthur Baker 12"" Remix)",Anna Domino,Anna Domino,366.1ø
Summer,Anna Domino,Anna Domino,265.1ø
Rythm,L'amour fou,Anna Domino,257.9ø
Not Right Now,Anna Domino,Anna Domino,277.8ø
My Man,Anna Domino,Anna Domino,280.9ø
Koo Koo,L'amour fou,Anna Domino,254.6ø
Drunk,Anna Domino,Anna Domino,234.2ø
Chosen Ones,Anna Domino,Anna Domino,252.2ø
Knowledge Me,Dj Revolution Present Class Of 86,Original Concept,68.1ø
Shit for brains,New rose story vol.2,Nervous Eaters,213.2ø
I Had A Talk With My Man,Mississippi Delta Blues - 20 Big Tracks,Mitty Collier,224.3ø
Rinky Dink,Greatest Instrumentals of the Rock Era - 50 Hit Songs,"Dave ""Baby"" Cortez",174.5ø
What's The Pair On That,Anytime Day Or Night,Vicious Rumours,265.3ø
What's A Nice Girl Like You,Anytime Day Or Night,Vicious Rumours,238.8ø
Tea Leaf,Anytime Day Or Night,Vicious Rumours,175.0ø
Soul Patrol,Anytime Day Or Night,Vicious Rumours,181.9ø
Runaway,Anytime Day Or Night,Vicious Rumours,212.8ø
Nobodys Fool,Anytime Day Or Night,Vicious Rumours,184.8ø
Long Time No See,Anytime Day Or Night,Vicious Rumours,167.5ø
Hangover,Anytime Day Or Night,Vicious Rumours,238.8ø
Chopper R.I.P.,Anytime Day Or Night,Vicious Rumours,133.3ø
Anytime Day Or Night,Anytime Day Or Night,Vicious Rumours,198.8ø
3 Stripes On Your Arms,Anytime Day Or Night,Vicious Rumours,183.1ø
The Best Of Times,Broadway First Take: Vol. 2,Jerry Herman,252.1ø
I Am What I Am,Broadway First Take: Vol. 2,Jerry Herman,165.0ø
Transfusion,True Rock N Roll 3CD Set,Nervous Norvus,144.6ø
The Fool,True Rock N Roll 3CD Set,Sanford Clark,163.2ø
Let's Get Brutal (Brutal House),Let's Get Brutal,Nitro Deluxe,431.8ø
Let's Get Brutal,Dave Pearce Best of the Dance Years 1988 - 1992,Nitro Deluxe,364.6ø
Last Night Changed It All,Soul Freedom,Esther Williams,213.3ø
Tall Pretty Woman,New York Blues & R&B 1947 - 1951,Stick McGhee,189.7ø
Amityville (The House On The Hill),Halloween Hits,Lovebug Starski,331.8ø
Thul'ulalele,The Indestructible Beat of Soweto - Volume One,Amaswazi Emvelo,220.8ø
Indoda Yejazi Elimnyama,The Indestructible Beat of Soweto - Volume One,Amaswazi Emvelo,235.1ø
Okie Dokie Stomp,Teasin',Cornell Dupree,167.3ø
Some Mate,Skins N Punks (Volume 1),Last Rough Cause,184.6ø
Pretty Boy,Skins N Punks (Volume 1),Last Rough Cause,134.3ø
Get Them Back,Skins N Punks (Volume 1),Last Rough Cause,171.7ø
When,Rock'n Roll Radio,Kalin Twins,149.6ø
No Hope,The Age That Didn't Care,Barbed Wire,122.2ø
Nazi Briton (Fuck Off),The Age That Didn't Care,Barbed Wire,98.0ø
Star Wars,The X-Files - Babylon 5 - Star Wars,Neil Norman And His Cosmic Orchestra,142.3ø
The Jungle,Chicago Trax,Jungle Wonz,360.6ø
Little GTO,Surfs Up,Ronnie And The Daytones,149.2ø
Sportin' Crowd,Deciphering The Message,Jazz Messengers,389.2ø
Prince Albert,Jazz Progressions,The Jazz Messengers,521.8ø
Lady Bird,Deciphering The Message,Jazz Messengers,457.7ø
Just One Of Those Things,Jazz Progressions,The Jazz Messengers,572.1ø
I Waited For You,Latin+Jazz=  Vol 2,Art Blakey & The Jazz Messengers,563.9ø
Hank's Symphony,Jazz Progressions,The Jazz Messengers,284.6ø
Gone With The Wind,Jazz Progressions,The Jazz Messengers,449.6ø
My Heart Is An Open Book,Rock 'n' Roll And Pop Hits_ The 50s_ Vol. 42,Carl Dobkins Jr,127.3ø
What Price Glory?,Speed Of Light,Sound Barrier,222.1ø
Speed Of Light,Speed Of Light,Sound Barrier,231.4ø
On To The Next Adventure,Speed Of Light,Sound Barrier,367.3ø
On The Level (Head Banger),Speed Of Light,Sound Barrier,322.2ø
Hollywood (Down On Your Luck),Speed Of Light,Sound Barrier,217.5ø
Hard As A Rock,Speed Of Light,Sound Barrier,198.2ø
Gladiator,Speed Of Light,Sound Barrier,226.4ø
Fight For Life!,Speed Of Light,Sound Barrier,299.4ø
Aim For The Top,Speed Of Light,Sound Barrier,280.6ø
Calling On The Dream Team,The History Of Hip Hop,L.a. Dream Team,281.2ø
