I Want Candy,Do You Love Me,Brian Poole & The Tremeloes,144.8ø
Yakety Yak,The Very Best Of Sandy Nelson,Sandy Nelson,116.9ø
Rock Around The Clock,The Very Best Of Sandy Nelson,Sandy Nelson,160.0ø
Let There Be Drums,The Very Best Of Sandy Nelson,Sandy Nelson,136.3ø
In The Mood,The Very Best Of Sandy Nelson,Sandy Nelson,169.1ø
Drumming Up A Storm,The Very Best Of Sandy Nelson,Sandy Nelson,139.4ø
This Could Be The Start Of Something Big,More Of The Great,Lorez Alexandria,136.5ø
The Wildest Gal In Town,More Of The Great,Lorez Alexandria,170.5ø
That Far Away Look,More Of The Great,Lorez Alexandria,147.4ø
Once,More Of The Great,Lorez Alexandria,137.1ø
No More,More Of The Great,Lorez Alexandria,185.8ø
Little Boat,More Of The Great,Lorez Alexandria,133.3ø
It Might As Well Be Spring,More Of The Great,Lorez Alexandria,415.1ø
Dancing On The Ceiling,More Of The Great,Lorez Alexandria,89.0ø
But Beautiful,More Of The Great,Lorez Alexandria,255.5ø
Angel Eyes,More Of The Great,Lorez Alexandria,290.7ø
