Little Rock,At Her Very Best,Reba McEntire,186.2ø
Basin Street Blues,Two Men With The Blues,Willie Nelson & Wynton Marsalis,296.3ø
I Believe,Life's Rich Pageant: The I.R.S. Years Vintage 1986,R.E.M.,230.5ø
Hyena,Reckoning - Deluxe Edition,R.E.M.,206.3ø
Fall On Me,The Best Of R.E.M.,R.E.M.,171.5ø
Rubina,Time Machine,Joe Satriani,401.7ø
New Day,Not Of This Earth,Joe Satriani,226.0ø
Driving At Night,Not Of This Earth,Joe Satriani,211.8ø
Brother John,Not Of This Earth,Joe Satriani,127.5ø
Underneath The Bunker,Life's Rich Pageant: The I.R.S. Years Vintage 1986,R.E.M.,87.7ø
Just A Touch,Murmur - Deluxe Edition,R.E.M.,147.0ø
You Be Illin',Raising Hell,RUN-DMC,205.9ø
Walk This Way,Sex And The City - Original Motion Picture Soundtrack,Run D.M.C. | Aerosmith,311.4ø
Raising Hell,Ultimate Run Dmc,RUN-DMC,332.9ø
Proud To Be Black,Raising Hell,RUN-DMC,195.2ø
Peter Piper,Raising Hell,RUN-DMC,203.3ø
My Adidas,Raising Hell,RUN-DMC,151.2ø
Lord Of Lyrics,Raising Hell,RUN-DMC,270.0ø
Live At The Apollo Raw Vocal Commercial,Raising Hell,RUN-DMC,208.5ø
It's Tricky,The Best Year Of My Life: 1987,RUN-DMC,182.8ø
Is It Live,Raising Hell,RUN-DMC,187.1ø
Dumb Girl,Original Album Classics,RUN-DMC,212.9ø
Something So Strong,Recurring Dream - The Very Best Of Crowded House (International Only),Crowded House,172.4ø
Love You 'Til The Day I Die,Crowded House/Temple of Low/Woodface,Crowded House,212.9ø
Don't Dream It's Over,Recurring Dream_ Best Of Crowded House (Domestic Only),Crowded House,235.5ø
Calling On You,The Best of Stryper,Stryper,223.1ø
Summer Nights,5150,Van Halen,305.0ø
Get Up,5150,Van Halen,277.1ø
Inside,5150,Van Halen,302.0ø
Good Enough,5150,Van Halen,243.2ø
Once upon a time in the west,io_ Ennio Morricone,Ennio Morricone,191.5ø
To Hell With The Devil,The Best of Stryper,Stryper,246.6ø
The Way,The Best of Stryper,Stryper,216.6ø
Till The End,Fahrenheit,Toto,329.3ø
Your Wildest Dreams,A Night At Red Rocks With The Colorado Symphony Orchestra,The Moody Blues,287.6ø
I Just Don't Care,The Other Side Of Life,The Moody Blues,206.6ø
Talkin' Talkin',The Other Side Of Life,The Moody Blues,234.8ø
My Love's Leavin',Back In The High Life,Steve Winwood,321.4ø
Freedom Overspill,Back In The High Life,Steve Winwood,337.4ø
What's Going On,True Colors: The Best Of Cyndi Lauper,Cyndi Lauper,231.5ø
True Colors,Magic Ballads,Cyndi Lauper,226.3ø
Iko Iko,Collections,Cyndi Lauper,128.2ø
Calm Inside The Storm,Original Album Classics,Cyndi Lauper,234.2ø
Boy Blue,Original Album Classics,Cyndi Lauper,286.7ø
911,She's So Unusual/True Colors,Cyndi Lauper,195.3ø
True Colors (Morel's Pink Noise Mix),True Colors,Cyndi Lauper,253.6ø
Change Of Heart,Time After Time: The Best Of,Dead Or Alive;Cyndi Lauper,263.5ø
Walking In The Shadow,Russian Roulette,Accept,267.2ø
Man Enough To Cry,Russian Roulette,Accept,192.5ø
The Leader,Into The Light,Chris De Burgh,136.0ø
Last Night,Into The Light,Chris De Burgh,367.7ø
For Rosanna,Into The Light,Chris De Burgh,219.5ø
Special,The Blind Leading The Naked,Violent Femmes,138.4ø
Voices,Pearls Of Passion,Roxette,280.6ø
Surrender,Pearls Of Passion (2009 Version),Roxette,257.9ø
Soul Deep,Pearls Of Passion (2009 Version),Roxette,215.7ø
So Far Away,Pearls Of Passion,Roxette,314.5ø
Secrets That She Keeps (Tits And Ass Demo 1986),Pearls Of Passion,Roxette,172.4ø
Neverending Love (Frank Mono 7' Mix 1987),Pearls Of Passion,Roxette,197.7ø
Like Lovers Do,Pearls Of Passion,Roxette,200.7ø
Joy Of A Toy,Pearls Of Passion,Roxette,181.9ø
I Call Your Name (Frank Mono 7' Mix_ 1987),Pearls Of Passion,Roxette,200.4ø
From One Heart To Another,Pearls Of Passion,Roxette,246.2ø
Call Of The Wild,Pearls Of Passion (2009 Version),Roxette,267.9ø
She's Calling You,I Against I,Bad Brains,222.4ø
Return To Heaven,I Against I,Bad Brains,199.3ø
Re-Ignition,I Against I,Bad Brains,256.4ø
Let Me Help,I Against I,Bad Brains,137.6ø
I Against I,I Against I,Bad Brains,170.8ø
House Of Suffering,I Against I,Bad Brains,149.9ø
Oh Christmas Tree,Christmas with Boney M.,Boney M.,174.4ø
Joy To The World,Christmas with Boney M.,Boney M.,153.2ø
Runnin',All 'N All,Earth_ Wind & Fire,199.5ø
Magic Wind,All 'N All,Earth_ Wind & Fire,218.9ø
