Out Of This World,Treasury Shows Vol. 10,Duke Ellington And His Orchestra,177.5ø
Solo Una Excusa,R de Rumba,R De Rumba,260.4ø
Sabado Noche,R de Rumba,R De Rumba,323.4ø
No Vayas,R de Rumba,R De Rumba,286.5ø
Let's Go,R de Rumba,R De Rumba,234.1ø
La Puta Ley,R de Rumba,R De Rumba,251.8ø
Javat y Kamel,R de Rumba,R De Rumba,511.9ø
Jamas Me Rilo,R de Rumba,R De Rumba,425.8ø
Heroina Madness,R de Rumba,R De Rumba,315.4ø
Fabricante,R de Rumba,R De Rumba,272.7ø
Es Mi Etica,R de Rumba,R De Rumba,272.3ø
Dias De Furia,R de Rumba,R De Rumba,262.3ø
Amberes,R de Rumba,R De Rumba,326.5ø
2 Contacto,R de Rumba,R De Rumba,278.3ø
Closed Session,Neighborhood Watch,Dilated Peoples Featuring Defari_ Phil Da Agony_ Planet Asia,374.6ø
