Jerusalem,C'est la vie - so ist das Leben,Daliah Lavi,182.1ø
What's The Answer,Blue Note Trip 8: Swing Low/Fly High,Gene Harris And The Three Sounds,169.6ø
Mouldy Old Dough,Jackie - The Annual 2010,Lieutenant Pigeon,162.8ø
She May Be Yours (But She Comes to See Me Sometime),The Sun Singles Era 1952-54 1,Joe Hill Louis,180.5ø
Big Legged Woman,Boogie In The Park,Joe Hill Louis,157.0ø
K-Jee,The Golden Age of Northern Soul Vol. 2,The Nite-Liters,248.5ø
Street Of Dreams,The Essential Frank Sinatra & Tommy Dorsey And His Orchestra,Tommy Dorsey & His Orchestra;Frank Sinatra,160.1ø
Song Of India,Carnegie Hall V-Disc Session April 1944,Tommy Dorsey and His Orchestra,188.1ø
I'll Never Smile Again,All Time Hit Parade Rehearsals,Tommy Dorsey and His Orchestra,151.0ø
I'll Be Seeing You,The Essential Frank Sinatra & Tommy Dorsey And His Orchestra,Tommy Dorsey & His Orchestra;Frank Sinatra,182.9ø
Boogie Woogie,The Very Best Of,Tommy Dorsey,190.5ø
Way Back Home,Little Junior Parker,Little Junior Parker,240.8ø
Man or Mouse,Little Junior Parker,Little Junior Parker,176.2ø
I Need Your Love So Bad,Little Junior Parker,Little Junior Parker,199.1ø
I Like Your Style,Little Junior Parker,Little Junior Parker,196.4ø
Let The Good Times Roll,Vanguard Blues Sampler,Pee Wee Crayton,169.6ø
Blues After Hours,The Modern Legacy,Pee Wee Crayton,181.2ø
Stump Blues,Testament,Alexis Korner,294.7ø
Three Drunken Maidens,Summer Solstice,Maddy Prior & Tim Hart,132.3ø
The Ploughboy and the Cockney,Summer Solstice,Maddy Prior & Tim Hart,214.0ø
Sorry the Day I Was Married,Summer Solstice,Maddy Prior & Tim Hart,86.1ø
Serving Girls Holiday,Summer Solstice,Maddy Prior & Tim Hart,217.2ø
Off All the Birds,Summer Solstice,Maddy Prior & Tim Hart,51.2ø
I Live Not Where I love,Summer Solstice,Maddy Prior & Tim Hart,260.7ø
Fly Up My Cock,Summer Solstice,Maddy Prior & Tim Hart,101.9ø
Dancing at Whitsun,Summer Solstice,Maddy Prior & Tim Hart,217.1ø
Cannily Cannily,Summer Solstice,Maddy Prior & Tim Hart,141.4ø
Bring Us In Good Ale,Summer Solstice,Maddy Prior & Tim Hart,227.6ø
Love Song,The Best Year Of My Life: 1971,Lesley Duncan,219.1ø
Tu Yo y La Estrella de Cine [Tu y Yo] (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,167.5ø
Te Juro (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,238.1ø
Solo Tu (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,202.4ø
Quiero Pedirte (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,196.1ø
Que Te Vaya Bonito (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,225.8ø
Puro y Sincero (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,150.1ø
Nunca Me Veras Llorar (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,219.9ø
Llegaste A Mi Vida (Album Version),La Revolucion de Emiliano Zapata,La Revolucion de Emiliano Zapata,233.3ø
Chick-A-Boom (Don't Ya Jes' Love It),100 Funny Favorites,Daddy Dewdrop,173.2ø
