Let It Flow,Horse Meat Disco,Tamiko Jones,413.2ø
Tudo eu,Autorretrato,Kleiton & Kledir,153.1ø
Polca loca,Autorretrato,Keiton & Kledir,204.5ø
Pelotas,Autorretrato,Kleiton & Kledir,207.8ø
O tempo voa,Autorretrato,Kleiton & Kledir,250.5ø
Na correnteza do rio,Autorretrato,Kleiton & Kledir,189.8ø
Estrella cadente,Autorretrato,Kleiton & Kledir,208.2ø
Autorretrato,Autorretrato,Kleiton & Kledir,319.8ø
Ao sabor do vento,Autorretrato,Kleiton & Kledir,229.1ø
No Way Turning Back,Let It Burn,Marc Reece,271.3ø
Long Way,Let It Burn,Marc Reece,254.6ø
Little Guy,Let It Burn,Marc Reece,269.2ø
Fighting For The Innocence,Let It Burn,Marc Reece,439.1ø
Dream Or Reality,Let It Burn,Marc Reece,404.4ø
Crossing The Zeppelin,Let It Burn,Marc Reece,498.3ø
Circling,Let It Burn,Marc Reece,328.7ø
Can't Handle It,Let It Burn,Marc Reece,194.8ø
Blue Colours,Let It Burn,Marc Reece,266.9ø
Tear-Stained Letter,Rockin' Cajun,Jo-El Sonnier,243.4ø
Womens' Secrets,Emotional Ninja,Whitney Cummings,180.0ø
Women Fighting,Emotional Ninja,Whitney Cummings,139.2ø
White Knight,Emotional Ninja,Whitney Cummings,34.3ø
Weddings,Emotional Ninja,Whitney Cummings,106.1ø
Sports,Emotional Ninja,Whitney Cummings,100.1ø
Snooping,Emotional Ninja,Whitney Cummings,119.5ø
Sex Tapes,Emotional Ninja,Whitney Cummings,42.8ø
Running Into An Ex,Emotional Ninja,Whitney Cummings,64.1ø
Romance,Emotional Ninja,Whitney Cummings,48.6ø
Pump Fake,Emotional Ninja,Whitney Cummings,41.7ø
Prostitutes,Emotional Ninja,Whitney Cummings,120.2ø
No Boobs,Emotional Ninja,Whitney Cummings,43.2ø
MySpace,Emotional Ninja,Whitney Cummings,37.9ø
Metrosexual,Emotional Ninja,Whitney Cummings,102.9ø
Married Guys,Emotional Ninja,Whitney Cummings,49.7ø
Friends Getting Married,Emotional Ninja,Whitney Cummings,196.0ø
Facebook,Emotional Ninja,Whitney Cummings,107.3ø
Drinking,Emotional Ninja,Whitney Cummings,103.8ø
Dating,Emotional Ninja,Whitney Cummings,92.6ø
Cosmo,Emotional Ninja,Whitney Cummings,136.8ø
Coin Jar,Emotional Ninja,Whitney Cummings,63.0ø
Cell Phone Game,Emotional Ninja,Whitney Cummings,36.9ø
Babies,Emotional Ninja,Whitney Cummings,109.9ø
Allergy,Emotional Ninja,Whitney Cummings,40.1ø
Last Funeral,Broken Heart Syndrome,Two Minute Silence,206.3ø
Wild Wild Jackie Hall,Tamango,Meindert Talma,207.6ø
Here I am,A Way Out,Soul Stalker,165.3ø
Yeah Jay_ Yeah,An American Storyteller,Big Jay Oakerson,164.5ø
Women... Stand Up!,An American Storyteller,Big Jay Oakerson,56.0ø
Traditional American Family,An American Storyteller,Big Jay Oakerson,89.7ø
The Ugly Truth,An American Storyteller,Big Jay Oakerson,154.7ø
The Story Of Young Love,An American Storyteller,Big Jay Oakerson,205.2ø
The Bucket List,An American Storyteller,Big Jay Oakerson,84.0ø
The American Dream,An American Storyteller,Big Jay Oakerson,310.0ø
O' Alaska,An American Storyteller,Big Jay Oakerson,222.1ø
Negro Spiritual,An American Storyteller,Big Jay Oakerson,114.6ø
Mother Knows Best,An American Storyteller,Big Jay Oakerson,197.6ø
It's All In How You Look At It,An American Storyteller,Big Jay Oakerson,172.5ø
Intro / Could It Be Me,An American Storyteller,Big Jay Oakerson,143.4ø
I Met A Girl,An American Storyteller,Big Jay Oakerson,63.4ø
Evolution Of The Art,An American Storyteller,Big Jay Oakerson,131.1ø
Everyone Is Special,An American Storyteller,Big Jay Oakerson,89.8ø
Diagnosis: Sad,An American Storyteller,Big Jay Oakerson,160.3ø
Cinematic Love,An American Storyteller,Big Jay Oakerson,94.0ø
Becoming A Man,An American Storyteller,Big Jay Oakerson,291.4ø
Apologies / 1999_ The Year Of Our Lord,An American Storyteller,Big Jay Oakerson,208.8ø
A Question Of The Heart,An American Storyteller,Big Jay Oakerson,159.1ø
