Let's Be Buddies,While The Music Plays On,Doris Day,185.1ø
Opsporing Verzocht,De zon gaat zinloos onder,Herman Finkers,199.5ø
Aaltje,De zon gaat zinloos onder,Herman Finkers,351.1ø
You Cut Me To The Bone,Robben Ford & The Blue Line,Robben Ford & The Blue Line,288.4ø
The Brother (For Jimmie And Stevie),Robben Ford & The Blue Line,Robben Ford & The Blue Line,282.0ø
Step On It,Robben Ford & The Blue Line,Robben Ford & The Blue Line,358.0ø
Start It Up,The Firm,Robben Ford & The Blue Line,228.0ø
Prison Of Love,Robben Ford & The Blue Line,Robben Ford & The Blue Line,266.1ø
My Love Will Never Die,Robben Ford & The Blue Line,Robben Ford & The Blue Line,326.9ø
What You Said,I Won't Try (The Collection),Midway Still,163.0ø
Sweat,I Won't Try (The Collection),Midway Still,174.3ø
Me In You,Dial Square,Midway Still,202.0ø
Making Time,I Won't Try (The Collection),Midway Still,135.4ø
Make A Start,Dial Square,Midway Still,232.6ø
Killing Time,Dial Square,Midway Still,241.5ø
Heaven,I Won't Try (The Collection),Midway Still,485.3ø
Gun,I Won't Try (The Collection),Midway Still,250.8ø
Found,Dial Square,Midway Still,200.6ø
Come Down,Dial Square,Midway Still,139.9ø
Brand New,Dial Square,Midway Still,268.6ø
My Old Flame,Jubilee Stomp,Duke Ellington & His Famous Orchestra,201.1ø
Mighty High,In The House Of The Lord - Live In Houston,The Mighty Clouds Of Joy,290.0ø
Looking For A Fox (LP Version),Snatching It Back: The Best Of Clarence Carter,Clarence Carter,136.9ø
Tell Me I'm Your Man,Robben Ford & The Blue Line,Robben Ford & The Blue Line,373.6ø
Life Song (One For Annie),Robben Ford & The Blue Line,Robben Ford & The Blue Line,453.4ø
I'm A Real Man,Robben Ford & The Blue Line,Robben Ford & The Blue Line,329.9ø
Tocsin,Marathonerre,Art Zoyd,252.7ø
Prophase,Marathonerre,Art Zoyd,255.7ø
Danse de mort,Marathonerre,Art Zoyd,206.1ø
Tigger & Ber,Tigger & Ber,Coca Carola,175.1ø
Ren & naken,Tigger & Ber,Coca Carola,147.1ø
Jag vill va fri,Tigger & Ber,Coca Carola,164.0ø
Bli polis,Tigger & Ber,Coca Carola,300.6ø
Suite Memories,Sedona Suite,Tom Barabas,266.6ø
Sonata In G Minor,Tom Barabas Live,Tom Barabas,336.2ø
More Than Words,Tom Barabas Live,Tom Barabas,276.8ø
Moon Dust,Sedona Suite,Tom Barabas,328.5ø
Inner Peace,Sedona Suite,Tom Barabas,440.7ø
Free Spirit,Sedona Suite,Tom Barabas,335.7ø
Earthscapes,Sedona Suite,Tom Barabas,474.3ø
Tournoi,Marathonerre,Art Zoyd,184.0ø
Ritournelle,Marathonerre,Art Zoyd,232.3ø
Barbares,Marathonerre,Art Zoyd,57.4ø
Sindae (Kenlou Dub),Sindae,Hardrive feat. L.G.,331.4ø
You Can Relax Now,Anthony Robbins' Sacred Blessings,Shaina Noll,317.5ø
Zij (edit),Later is te laat,Benny Neyman,234.6ø
Omdat Je Voortleeft In Mijn Hart,Later is te laat,Benny Neyman,231.7ø
Je Mag Overal Van Houden,Later is te laat,Benny Neyman,228.7ø
Blijf Gewoon Jezelf,Later is te laat,Benny Neyman,257.6ø
Zoon Van God,Alles Of Nooit,Youp van 't Hek,279.6ø
Niemand Weet Hoe Laat Het Is (Lied),Alles Of Nooit,Youp van 't Hek,313.5ø
Epiloog II,Alles Of Nooit,Youp van 't Hek,378.0ø
What Goes On,Mai Tai,Mai Tai,229.4ø
Woke Up This Morning,Sweet Home Chicago (Paris 1975) (Blues Reference),Lonnie Brooks,246.0ø
Sweet Home Chicago,Sweet Home Chicago (Paris 1975) (Blues Reference),Lonnie Brooks,293.5ø
Reconsider Baby,Let's Talk It Over,Lonnie Brooks,272.5ø
Crosscut Saw,Sweet Home Chicago (Paris 1975) (Blues Reference),Lonnie Brooks,333.1ø
Big Leg Woman,Sweet Home Chicago (Paris 1975) (Blues Reference),Lonnie Brooks,201.6ø
Bamboo Road,IN BERLIN,Willy DeVille,345.9ø
When Winter Comes,Irish Coffee,Irish Coffee,293.4ø
The Show (Part I),Irish Coffee,Irish Coffee,172.3ø
The Beginning of the End,Irish Coffee,Irish Coffee,378.0ø
I'm Lost,Irish Coffee,Irish Coffee,268.6ø
Can't Take It,Irish Coffee,Irish Coffee,247.6ø
A Day Like Today,Irish Coffee,Irish Coffee,413.4ø
He Don't Love Me,The Best Of Shelley Fabares [Digital Version],Shelley Fabares,117.1ø
Afrikaan Beat,Bert Kaempfert in London (live),Bert Kaempfert And His Orchestra,166.5ø
Tyronglaea II,Pyroclastics,Birdsongs of the Mesozoic,325.5ø
The Simpsons,Pyroclastics,Birdsongs of the Mesozoic,120.1ø
Sombre Reptiles,Pyroclastics,Birdsongs of the Mesozoic,245.6ø
Sled,Pyroclastics,Birdsongs of the Mesozoic,295.2ø
Shortwave Longride,Pyroclastics,Birdsongs of the Mesozoic,184.5ø
Pleasure Island,Pyroclastics,Birdsongs of the Mesozoic,371.1ø
Nukkenainen,20 Suosikkia / Kuka on se oikea,Ressu Redford,228.5ø
Laulussa on helppo rakastaa,20 Suosikkia / Kuka on se oikea,Ressu Redford,221.5ø
Laskeutumisvalo,20 Suosikkia / Kuka on se oikea,Ressu Redford,202.5ø
Koditon poika,20 Suosikkia / Kuka on se oikea,Ressu Redford,229.4ø
Viimeinen Laulu,Polku,Neon 2,180.5ø
Takaisin Punkkaan,Polku,Neon 2,256.2ø
Sorry -Sorry Seems To Be The Hardest Word-,Polku,Neon 2,220.0ø
Sikin Sokin Sinussa,Polku,Neon 2,255.3ø
Polku,Polku,Neon 2,203.5ø
Liian Kauan,Polku,Neon 2,232.9ø
Kemiaa,Polku,Neon 2,264.5ø
Pure mua,20 Suosikkia / Pure mua,Meiju Suvas,278.7ø
Ilman rakkautesi tulta,20 Suosikkia / Pure mua,Meiju Suvas,168.2ø
Dawn Procession,In Beauty I Walk: The Best of Coyote Oldman,Coyote Oldman,269.9ø
Vil Du Ikke Engang Kysse Mig Farvel?,DK,Love Shop,159.4ø
Stalingrad,DK,Love Shop,265.6ø
Pia Larsen,DK,Love Shop,301.2ø
Manchester,DK,Love Shop,262.6ø
Livet Er En Fest,DK,Love Shop,205.8ø
Himlen Vil Briste,DK,Love Shop,293.3ø
Casanegra,DK,Love Shop,260.4ø
Volgarity,Gondwanaland,Steroid Maximus,156.3ø
The Trojan Hearse,Gondwanaland,Steroid Maximus,158.6ø
The Auctioneer Of Souls,Gondwanaland,Steroid Maximus,276.9ø
Radio Raheem,Gondwanaland,Steroid Maximus,205.4ø
Powerhouse,Gondwanaland,Steroid Maximus,246.9ø
Ol,Gondwanaland,Steroid Maximus,116.3ø
I Will Love You Always (Wild irish Rose),Gondwanaland,Steroid Maximus,374.4ø
Homeo,Gondwanaland,Steroid Maximus,154.6ø
Destino Matar,Gondwanaland,Steroid Maximus,248.5ø
Cross Double Cross,Gondwanaland,Steroid Maximus,212.6ø
Crawling Goliath,Gondwanaland,Steroid Maximus,222.7ø
Paris Boulevard,El Huevo De Colon,Orquesta mondragon,220.8ø
Money Money,El Huevo De Colon,Orquesta mondragon,243.9ø
Johnny,El Huevo De Colon,Orquesta mondragon,263.3ø
Dos Amigos Y Una Mujer,El Huevo De Colon,Orquesta mondragon,279.5ø
A Mil Por Hora,El Huevo De Colon,Orquesta mondragon,257.9ø
A La Hora Del Rock And Roll,El Huevo De Colon,Orquesta mondragon,275.2ø
Mary Lee,Doo Wop Excellence vol 8,The Rainbows,150.4ø
The Parting Song (Journey's End),Two For The Early Dew,Tommy Makem & Liam Clancy,159.0ø
The Newry Highwayman,Two For The Early Dew,Tommy Makem & Liam Clancy,136.4ø
The Day Of The Clipper,Two For The Early Dew,Tommy Makem & Liam Clancy,221.5ø
The Dawning Of The Day,Two For The Early Dew,Tommy Makem & Liam Clancy,245.1ø
The Cocky Farmer,Two For The Early Dew,Tommy Makem & Liam Clancy,214.7ø
Poem: White Swans and Black/Grey October Clouds,Two For The Early Dew,Tommy Makem & Liam Clancy,255.3ø
Clear Away In The Morning,Two For The Early Dew,Tommy Makem & Liam Clancy,195.8ø
Bower Madden (Tune: Off To California),Two For The Early Dew,Tommy Makem & Liam Clancy,215.4ø
No Te Demores,Coleccion Suprema,Lalo Rodriguez,167.9ø
Con Que Cara,Coleccion Suprema,Lalo Rodriguez,248.5ø
Atado A Tus Brazos,Coleccion Suprema,Lalo Rodriguez,243.1ø
Three Part Thing,Light Flight - The Anthology,Pentangle,146.1ø
Totem Pole,Beat Hotel,The Bongos,192.9ø
Tiger Nights,Numbers With Wings,The Bongos,245.1ø
Sweet Blue Cage,Numbers With Wings,The Bongos,253.8ø
Splinters,Beat Hotel,The Bongos,224.4ø
Space Jungle,Beat Hotel,The Bongos,231.2ø
Skydiving,Numbers With Wings,The Bongos,239.9ø
She Starts Shaking,Beat Hotel,The Bongos,206.1ø
Numbers With Wings,Numbers With Wings,The Bongos,266.6ø
Come Back To Me,Beat Hotel,The Bongos,212.2ø
Brave New World,Beat Hotel,The Bongos,276.5ø
Blow Up,Beat Hotel,The Bongos,247.1ø
Apache Dancing,Beat Hotel,The Bongos,189.1ø
Country Bumpkin,All-Time Country Hits - 40 Classic Hits From The 50's_ 60's And 70's,Cal Smith,203.3ø
Cut 'N' Move Theme (Bass Race Mix),Get Serious,Cut 'N' Move,312.0ø
Mall Monarchy,Comforter,Compulsion,166.3ø
Galvanised,Mall Monarchy,Compulsion,200.2ø
F.Byron Farnsworth,Mall Monarchy,Compulsion,180.9ø
A Little Mistake,Mall Monarchy,Compulsion,199.9ø
