On Your Mind,A State of Trance Radio Show_ The Full Versions April 2006,Beam,421.4ø
Need A Boss,Def Jam 25: Volume 4 - It Takes Two Pt. 2,Shareefa | Ludacris,231.2ø
Sister Self Doubt,Music From the Motion Picture 21,Get Shakes,262.1ø
To Cast The Mourning Shadow,A Consequence Of Design,Epicurean,300.9ø
The Burden Of Eternity,A Consequence Of Design,Epicurean,375.8ø
The Author And The Architect,A Consequence Of Design,Epicurean,344.9ø
Of Malice And Majesty,A Consequence Of Design,Epicurean,389.9ø
Dividing The Distance,A Consequence Of Design,Epicurean,304.8ø
Darkest Of Days,A Consequence Of Design,Epicurean,248.9ø
Behind The Chapel Walls,A Consequence Of Design,Epicurean,344.7ø
Anathema: The Gate Keeper,A Consequence Of Design,Epicurean,444.0ø
