Wham Bam Thank You Mam,Singles Collection,Small Faces,203.3ø
Que Je T'Aime,Live Au Parc Des Princes 2003,Johnny Hallyday,252.3ø
Sittin' And Thinkin',Feel Like Going Home: The Essential Charlie Rich,Charlie Rich,189.4ø
Love Waits For Me,The Fabulous Charlie Rich,Charlie Rich,152.6ø
Life Has Its Little Ups And Downs,Charlie Rich Greatest Hits,Charlie Rich,220.5ø
July 12_ 1939,The Fabulous Charlie Rich,Charlie Rich,272.8ø
A Picture Of You,The Fabulous Charlie Rich,Charlie Rich,169.4ø
When It All Gets Old,New Improved,Blue Cheer,178.4ø
West Coast Child of Sunshine,New Improved,Blue Cheer,158.9ø
Peace of Mind,New Improved,Blue Cheer,438.6ø
Honey Butter Lover,New Improved,Blue Cheer,72.8ø
As Long As I Live,New Improved,Blue Cheer,138.3ø
Woke Up This Morning,Scandal in a Brixton Market,Laurel Aitken,212.0ø
Stop the War in Vietnam,Scandal in a Brixton Market,Laurel Aitken,166.3ø
Stand By Me,Fire,Laurel Aitken,189.2ø
Scandal in a Brixton Market,Scandal in a Brixton Market,Laurel Aitken,211.4ø
Run Powell Run,Scandal in a Brixton Market,Laurel Aitken,229.4ø
Rice & Peas,Fire,Laurel Aitken,142.1ø
La La La,Fire,Laurel Aitken,166.1ø
Halfway to Paradise,Fire,Laurel Aitken,134.4ø
Big Fight in Hell Stadium,Scandal in a Brixton Market,Laurel Aitken,227.7ø
Poppies,The Best Of_ Vol. Ii,Buffy Sainte-Marie,169.8ø
Unity,Anthology: Israelites 1963 - 1999,Desmond Dekker,134.4ø
Beautiful And Dangerous,Jonny Greenwood Is The Controller,Desmond Dekker,165.0ø
Watch What Happens,Samba_ Jazz & Bossa,Elis Regina,172.0ø
Wise Man,Rudy Got Soul: The Early Beverley's Sessions 1963-1968,Desmond Dekker,136.4ø
Sabotage,Rudy Got Soul: The Early Beverley's Sessions 1963-1968,Desmond Dekker,167.3ø
Rudy Got Soul,The Very Best of Desmond Dekker,Desmond Dekker,142.0ø
7,Black And Dekker,Desmond Dekker,173.3ø
Spirit In The Sky,Top Of The Pops - Seventies,Norman Greenbaum,240.1ø
A Woman Like You,The Black Swan,Bert Jansch,253.2ø
Collage,The Best Of Joe Walsh & The James Gang (1969-1974),The James Gang,239.1ø
Somebody Loves You,Love Songs,The Delfonics,202.0ø
Hot Dog (I Love You So),Love Songs,The Delfonics,138.4ø
Viva Sao Pedro,Jorge Ben,Jorge Ben,241.4ø
Pais Tropical_ Taj Mahal_ Filho Maravilha,Jorge Ben,Jorge Ben,473.7ø
Oe oe,Jorge Ben,Jorge Ben,192.0ø
O dia em que o sol,Jorge Ben,Jorge Ben,227.3ø
No reino encantado do amor,Jorge Ben,Jorge Ben,265.3ø
Minha estrela e do oriente,Jorge Ben,Jorge Ben,191.6ø
Katarina Katarina,Jorge Ben,Jorge Ben,242.9ø
Era uma vez 13 pontos,Jorge Ben,Jorge Ben,147.3ø
Cade o penalty,Jorge Ben,Jorge Ben,201.2ø
Berenice,Jorge Ben,Jorge Ben,158.9ø
Alo alo como vai,Jorge Ben,Jorge Ben,186.5ø
Warm Wrap-Up (True Grit ),True Grit,Elmer Bernstein,117.3ø
The Dying Moon (True Grit ),True Grit,Elmer Bernstein,192.3ø
Sad Departure / The Pace That Kills (True Grit ),True Grit,Elmer Bernstein,183.7ø
Rooster And Runaway (True Grit ),True Grit,Elmer Bernstein,177.6ø
Riders ( Big Jake ),True Grit,Elmer Bernstein,160.8ø
Ride ( The Shootist ),True Grit,Elmer Bernstein,159.3ø
Pursuit  ( The Comancheros ),True Grit,Elmer Bernstein,127.5ø
Pony Mine And Papas Things (True Grit ),True Grit,Elmer Bernstein,132.2ø
Nocturne ( Cahill United States Marshal ),True Grit,Elmer Bernstein,264.6ø
Necktie Party ( Cahill United States Marshal ),True Grit,Elmer Bernstein,265.6ø
Mexican Dance  ( The Comancheros ),True Grit,Elmer Bernstein,137.8ø
McBaine And The Prairie  ( The Comancheros ),True Grit,Elmer Bernstein,158.1ø
Main Title ( The Shootist ),True Grit,Elmer Bernstein,200.7ø
Main Title  ( The Comancheros ),True Grit,Elmer Bernstein,102.5ø
Jake Surveys The Camp  ( The Comancheros ),True Grit,Elmer Bernstein,229.0ø
Indian Attack    ( The Comancheros ),True Grit,Elmer Bernstein,192.1ø
Going Home  Finale ( Big Jake ),True Grit,Elmer Bernstein,137.4ø
Epilogue ( The Shootist ),True Grit,Elmer Bernstein,218.1ø
Buzzards ( Big Jake ),True Grit,Elmer Bernstein,217.8ø
Big Trail (True Grit ),True Grit,Elmer Bernstein,116.4ø
Curragh Of Kildare,The Time Has Come,Christy Moore,196.2ø
Hurt So Bad,Carryin' On,Grant Green,411.8ø
Ease Back,Carryin' On,Grant Green,349.2ø
Special Streamline,Southern Blues - Volume 1,Bukka White,173.7ø
West Indian Daddy (1995 Digital Remaster),Everything I Play Is Funky,Lou Donaldson,389.1ø
Turtle Walk,Blue Break Beats,Lou Donaldson,475.4ø
Hamp's Hump (Digitally Remastered),Everything I Play Is Funky,Lou Donaldson,400.0ø
Everything I Do Gonna Be Funky (From Now On),Everything I Play Is Funky,Lou Donaldson,330.3ø
Whatever I Am_ You Made Me,Koko Taylor,Koko Taylor,152.1ø
What Kind Of Man Is This,American Folk Blues Festival '67,Koko Taylor_ Little Walter_ Hound Dog Taylor_ Dillard Crume_ Odie Payne,253.2ø
Wang Dang Doodle,American Folk Blues Festival '67,Koko Taylor_ Little Walter_ Hound Dog Taylor_ Dillard Crume_ Odie Payne,241.1ø
Twenty-Nine Ways (To My Baby's Door),Koko Taylor,Koko Taylor,197.7ø
Twenty-Nine Ways,South Side Lady (Live in Netherlands 1973) (Blues Reference),Koko Taylor,233.8ø
Nitty Gritty,Koko Taylor,Koko Taylor,169.2ø
Love You Like A Woman,Koko Taylor,Koko Taylor,133.5ø
I'm A Little Mixed Up,South Side Lady (Live in Netherlands 1973) (Blues Reference),Koko Taylor,222.0ø
I Love A Lover Like You,South Side Lady (Live in Netherlands 1973) (Blues Reference),Koko Taylor,168.5ø
I Got What It Takes,South Side Lady (Live in Netherlands 1973) (Blues Reference),Koko Taylor,268.6ø
I Don't Care Who Knows,Koko Taylor,Koko Taylor,137.0ø
He Always Knocks Me Out,Koko Taylor,Koko Taylor,187.3ø
Don't Mess With The Messer,Chess Soul Sisters,Koko Taylor,162.6ø
Vals i Valparaiso,Cornelis Sjunger Taube,Cornelis Vreeswijk,195.6ø
Sjuttonde balladen,Cornelis Sjunger Taube,Cornelis Vreeswijk,188.9ø
Byssan lull,Cornelis Sjunger Taube,Cornelis Vreeswijk,165.2ø
Poco antes de que den las diez (Version 2),La Paloma,Joan Manuel Serrat,271.0ø
Llanto y Coplas,Dedicado A Antonio Machado_ Poeta,Joan Manuel Serrat,162.0ø
La Saeta,Serrat En Directo,Joan Manuel Serrat,157.6ø
En Cualquier Lugar,La Paloma,Joan Manuel Serrat,154.6ø
De Mica En Mica,Com Ho Fa El Vent,Joan Manuel Serrat,275.9ø
Still Trying,Hidden Treasures 2,Alton Ellis,221.1ø
Knock On Wood,The Mighty Two 'In Memoriam',Alton Ellis,154.9ø
Can I Change My Mind,Rewind And Come Again - Up Tempo Collection Vol. 2,Alton Ellis,207.9ø
Sentinela,Milton Nascimento,Milton Nascimento,265.8ø
The Nest (Album Version),The Association,The Association,209.5ø
I'm Up For Europe (Album Version),The Association,The Association,154.0ø
Dubuque Blues (Album Version),The Association,The Association,198.5ø
Broccoli (Album Version),The Association,The Association,137.7ø
Are Your Ready For That? (Album Version),The Association,The Association,167.1ø
Tennessee Woman,The Blues Never Die,Charles Musselwhite,225.9ø
Little By Little -1,Tennessee Woman,Charles Musselwhite,315.2ø
I'm A Stranger (Live),Tennessee Woman,Charles Musselwhite,167.6ø
I'm A Stranger,The Blues Never Die,Charles Musselwhite,295.4ø
