Miksi naiset aina rakastuvat renttuihin,Suomirokkia,Juliet Jonesin Sydan,265.1ø
All Of You,Johnny's Best,Johnny Desmond,139.5ø
Water In Your Eyes,M. Walking On The Water,M. Walking On The Water,322.2ø
The Loser,The Waltz,M. Walking On The Water,252.6ø
The Dead President's Waltz,The Waltz,M. Walking On The Water,283.5ø
Tears Behind Laughing,M. Walking On The Water,M. Walking On The Water,281.6ø
Stones On The Beach,M. Walking On The Water,M. Walking On The Water,232.8ø
Skin On The Cacao,M. Walking On The Water,M. Walking On The Water,253.1ø
Religion Guitar,The Waltz,M. Walking On The Water,223.0ø
Porkfield Swing,The Waltz,M. Walking On The Water,257.6ø
Pink Pinks,M. Walking On The Water,M. Walking On The Water,238.3ø
Party In The Cemetery,M. Walking On The Water,M. Walking On The Water,232.9ø
Melitaah,M. Walking On The Water,M. Walking On The Water,186.6ø
Lovesong For You,M. Walking On The Water,M. Walking On The Water,240.6ø
Hands In The Big Machine,M. Walking On The Water,M. Walking On The Water,254.7ø
Flowers Of The Gone,M. Walking On The Water,M. Walking On The Water,340.7ø
Adventure By Boat,The Waltz,M. Walking On The Water,261.0ø
Buffalo Skinners,Relax Your Mind,Jim Kweskin,327.1ø
Under The Guns Of Love,Pattern Disruptive,The Dickey Betts Band,354.9ø
Time To Roll,Pattern Disruptive,The Dickey Betts Band,298.3ø
The Blues Ain't Nothin',Pattern Disruptive,The Dickey Betts Band,210.2ø
Rock Bottom,Pattern Disruptive,The Dickey Betts Band,343.9ø
Loverman,Pattern Disruptive,The Dickey Betts Band,289.1ø
Heartbreak Line,Pattern Disruptive,The Dickey Betts Band,291.6ø
Far Cry,Pattern Disruptive,The Dickey Betts Band,239.2ø
Duane's Tune,Pattern Disruptive,The Dickey Betts Band,357.8ø
C'est La Vie,Pattern Disruptive,The Dickey Betts Band,287.2ø
Heaven Help Me,Total 80s Pop,Deon Estus,278.6ø
