Fly To Your Heart,Tinker Bell And The Lost Treasure,Selena Gomez,192.5ø
Samtidigt 2,4,Dungen,278.9ø
Samtidigt 1,4,Dungen,195.1ø
Mina dameroch fasaner,4,Dungen,223.0ø
Fredag,4,Dungen,259.9ø
Det tar tid,4,Dungen,256.1ø
Bandhagen,4,Dungen,203.0ø
Lay Back & Chill,Tiffany Evans,Tiffany Evans,211.5ø
Impossible,Tiffany Evans,Tiffany Evans,226.7ø
Girl Gone Wild,Tiffany Evans,Tiffany Evans,255.2ø
Favorite Broken Heart,Tiffany Evans,Tiffany Evans,231.0ø
Can't Walk Away,Tiffany Evans,Tiffany Evans,231.9ø
Angels on Earth,Tiffany Evans,Tiffany Evans,249.1ø
The Slaughter Begins,The American Dream,Walls Of Jericho,217.2ø
The New Ministry,The American Dream,Walls Of Jericho,161.9ø
The American Dream,The American Dream,Walls Of Jericho,196.5ø
Standing On Paper Stilts,The American Dream,Walls Of Jericho,152.5ø
Night Of A Thousand Torches,The American Dream,Walls Of Jericho,179.6ø
My last Stand (feat. Corey Taylor),Redemption,Walls Of Jericho,285.7ø
III. Shock Of The Century,The American Dream,Walls Of Jericho,163.9ø
I. The Hunter,The American Dream,Walls Of Jericho,138.6ø
House Of The Rising Sun,Redemption,Walls Of Jericho,250.3ø
Feeding Frenzy,The American Dream,Walls Of Jericho,233.7ø
Famous Last Words,The American Dream,Walls Of Jericho,105.5ø
Ember Drive,Redemption,Walls Of Jericho,261.5ø
Discovery Of Jones,The American Dream,Walls Of Jericho,254.1ø
Addicted (feat. Corey Taylor),Redemption,Walls Of Jericho,299.3ø
A Long Walk Home,The American Dream,Walls Of Jericho,196.2ø
What's A Clock Without The Batteries?,Relativity,Emarosa,218.8ø
The Past Should Stay Dead,Relativity,Emarosa,273.7ø
Set If Off Like Napalm,Relativity,Emarosa,187.0ø
Sailing In The Dark Isn't Smart Kid!,Relativity,Emarosa,196.6ø
Pretend. Release. The Close,Relativity,Emarosa,179.7ø
Just Another Marionette,Relativity,Emarosa,244.0ø
It's Cold In The Shade_ Let's Move To The Sun...,Relativity,Emarosa,60.7ø
Her Advice Cost Us A Life,Relativity,Emarosa,274.2ø
Heads Or Tails? Real Or Not,Relativity,Emarosa,301.1ø
Even Bad Men Love Their Mothers,Relativity,Emarosa,120.2ø
A City Called Coma - Part II,Relativity,Emarosa,262.9ø
We Rock,N,Norther,236.9ø
To Hell,N,Norther,247.0ø
Tell Me Why,N,Norther,210.6ø
Self-righteous Fuck,N,Norther,286.9ø
My Antichrist,N,Norther,204.7ø
If You Go,N,Norther,235.7ø
Forever And Ever,N,Norther,266.7ø
Always & Never,N,Norther,274.0ø
Territory,Does You Inspire You,Chairlift,365.8ø
Somewhere Around Here,Does You Inspire You,Chairlift,271.3ø
Planet Health,Does You Inspire You,Chairlift,258.9ø
Make Your Mind Up,Does You Inspire You,Chairlift,264.7ø
Garbage,Does You Inspire You,Chairlift,284.9ø
Evident Utensil,Does You Inspire You,Chairlift,172.5ø
Earwig Town,Does You Inspire You,Chairlift,182.0ø
Don't Give A Damn,Does You Inspire You,Chairlift,262.6ø
Chameleon Closet,Does You Inspire You,Chairlift,119.7ø
Ceiling Wax,Does You Inspire You,Chairlift,219.0ø
Bruises,Bruises,Chairlift,234.0ø
Rescue,Head Off,The Hellacopters,231.3ø
Midnight Angels,Head Off,The Hellacopters,170.9ø
Making Up For Lost time,Head Off,The Hellacopters,155.7ø
Im Watching You,Head Off,The Hellacopters,135.2ø
Electrocute,Head Off,The Hellacopters,165.6ø
Comme des enfants,Le Pop 5,Coeur De Pirate,166.9ø
The Sun Ain't Shining No More,Nightlife - The Club Anthems Mix,The Asteroids Galaxy Tour,396.6ø
Push The Envelope,Fruit,The Asteroids Galaxy Tour,242.1ø
Around The Bend,NightLife - The Club Anthems Mix Vol. 2,The Asteroids Galaxy Tour,479.9ø
To Be Young,Pedal To The Metal,Blessed By a Broken Heart,237.7ø
Show Me What You Got,Pedal To The Metal,Blessed By a Broken Heart,247.4ø
She's Dangerous,Pedal To The Metal,Blessed By a Broken Heart,230.8ø
She Wolf,Pedal To The Metal,Blessed By a Broken Heart,288.9ø
Ride Into The Night,Pedal To The Metal,Blessed By a Broken Heart,230.0ø
Move Your Body,Pedal To The Metal,Blessed By a Broken Heart,208.8ø
Doing It,Pedal To The Metal,Blessed By a Broken Heart,213.6ø
Blood On Your Hands,Pedal To The Metal,Blessed By a Broken Heart,281.2ø
Wasted Week-End,Pump Up The Volume,Art Brut,198.0ø
Our Parents Record Collection,Pump Up The Volume,Art Brut,220.9ø
Starstruck,Santigold,Santigold,234.9ø
My Superman,Santigold,Santigold,181.2ø
Vernal Equinox,IMMORTALIZER,Valient Thorr,77.9ø
Track 14,IMMORTALIZER,Valient Thorr,36.4ø
Tomorrow Police,Immortalizer,Valient Thorr,265.9ø
Tackle The Walrus,IMMORTALIZER,Valient Thorr,257.6ø
Steeplechase,IMMORTALIZER,Valient Thorr,194.5ø
Red Flag,Immortalizer,Valient Thorr,178.4ø
Parable Of Daedalus,Immortalizer,Valient Thorr,257.9ø
Nomadic Sacrifice,IMMORTALIZER,Valient Thorr,247.3ø
No Holds Barred,IMMORTALIZER,Valient Thorr,221.3ø
Mask Of Sanity,IMMORTALIZER,Valient Thorr,258.8ø
Infinite Lives,IMMORTALIZER,Valient Thorr,199.7ø
I Hope The Ghosts Of The Dead Haunt Yr Soul Forever,IMMORTALIZER,Valient Thorr,211.1ø
Birdhead Looking @ Goldenhands,IMMORTALIZER,Valient Thorr,195.2ø
1000 Winters In A Row,IMMORTALIZER,Valient Thorr,275.9ø
We Who Finish Last,Misanthropy Pure,Shai Hulud,188.3ø
Venomspreader,Misanthropy Pure,Shai Hulud,105.8ø
To Bear The Brunt Of Many Blades,Misanthropy Pure,Shai Hulud,215.1ø
