A Trick Of The Night [Single Version],True Confessions,Bananarama,259.6ø
Parisian Thoroughfare (1994 Digital Remaster),The Amazing Bud Powell,Bud Powell,204.4ø
Ring Dem Bells,Treasury Shows Vol. 10,Duke Ellington And His Orchestra,209.0ø
Laura,Treasury Shows Vol. 10,Duke Ellington And His Orchestra,188.7ø
Everything But You,Treasury Shows Vol. 9,Duke Ellington And His Orchestra,166.3ø
Letter From America,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,180.5ø
Judgement,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,575.8ø
The Night,The Best Collection,Novecento,248.2ø
Completely & Utterly,The Indie Vigils,The Chesterfields,123.3ø
One More Time,80's Dance Story Original Italo Hits,Max Coveri,305.8ø
Red i mir,So far...The Best of... Bajaga,Bajaga & Instruktori,178.0ø
River Of People,Cheap Pearls And Whisky Dreams: The Best Of,Love & Money,281.1ø
Candybar Express,Cheap Pearls And Whisky Dreams: The Best Of,Love & Money,209.2ø
The Keeper,Depths Of Death,Sentinel Beast,187.8ø
Sentinel Beast,Depths Of Death,Sentinel Beast,299.8ø
Phantom Of The Opera,Depths Of Death,Sentinel Beast,348.6ø
Mourir,Depths Of Death,Sentinel Beast,168.1ø
Evil Is The Night,Depths Of Death,Sentinel Beast,155.8ø
Dogs Of War,Depths Of Death,Sentinel Beast,196.1ø
Depths Of Death,Depths Of Death,Sentinel Beast,170.9ø
Corpse,Depths Of Death,Sentinel Beast,249.3ø
Incendiary Device,The Complete Bootlegs Vol I & II,Johnny Moped,128.5ø
Tonight,Maxi Disco Vol 2,Michael Bedford,318.8ø
Never Enough,Double Vision,Bob James and David Sanborn,388.2ø
Andromeda,Time Machine,Silicon Dream,301.0ø
Sommarnatt (Kom I Min Famn) (2001 Digital Remaster),Taube Sjunger Taube,Sven-Bertil Taube,166.0ø
Nocturne,Taube Sjunger Taube,Sven-Bertil Taube,180.7ø
Fritiof Och Carmencita (Tango I Samborombon),Taube Sjunger Taube,Sven-Bertil Taube,190.6ø
Tarde Lluviosa,Lo mejor de la dama se esconde,La Dama Se Esconde,206.3ø
Somos tres,Heroes de los 80. Armarios y camas,La Dama Se Esconde,209.9ø
Mi cometa,Heroes de los 80. Armarios y camas,La Dama Se Esconde,193.6ø
La noria,Heroes de los 80. Armarios y camas,La Dama Se Esconde,199.0ø
Armarios y camas,Heroes de los 80. Armarios y camas,La Dama Se Esconde,216.3ø
Amenazas,Lo mejor de la dama se esconde,La Dama Se Esconde,215.8ø
Agua,Heroes de los 80. Armarios y camas,La Dama Se Esconde,173.7ø
Vudu bluz,The Ultimate Collection,Elektricni orgazam,181.3ø
Ne postojim,The Ultimate Collection,Elektricni orgazam,141.9ø
Kapetan esid,The Ultimate Collection,Elektricni orgazam,227.4ø
Loud Music In Cars,The Stiff Singles - Volume 1,Billy Bremner,175.6ø
Music,Bambina  c/o  Bye Bye Mi Amor,David Lyme,352.8ø
Bambina,Bambina  c/o  Bye Bye Mi Amor,David Lyme,190.6ø
Tiny Twins,Absolutely Live,Uzeb,265.1ø
Format,Absolutely Live,Uzeb,529.5ø
Stay With Me Tonight,Maxi Disco Vol 6,Patty Ryan,344.2ø
Willie McBride,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,333.7ø
Town Of Ballybay,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,136.8ø
The Garden Song,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,199.2ø
The Dutchman,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,313.3ø
The Cobbler,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,184.3ø
The Band Played Waltzing Matilda,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,381.8ø
Red Is The Rose,Two For The Early Dew,Tommy Makem & Liam Clancy,231.1ø
Rambles Of Spring,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,172.1ø
Gentle Annie,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,219.5ø
Four Green Fields,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,262.0ø
Ballad Of St. Anne's Reel,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,198.7ø
A Place In The Choir,The Makem and Clancy Collection,Tommy Makem & Liam Clancy,146.7ø
Sweet Little Baby Boy,An Austin Rhythm And Blues Christmas,Angela Strehli,234.4ø
Boogie Woogie Santa Claus,An Austin Rhythm And Blues Christmas,Angela Strehli,148.5ø
Mentiroso,En Directo,Obus,238.8ø
Crisis,En Directo,Obus,315.1ø
Complaciente O Cruel,En Directo,Obus,338.7ø
