Trick Bag,The Four Kings Of Blues Guitar,Earl King,236.3ø
Kidney Stew,The Blues... A Real Summit Meeting,Eddie Cleanhead Vinson,261.5ø
Yonder's Wall,Driving Wheel,Little Junior Parker,137.1ø
The Tables Have Turned,Driving Wheel,Little Junior Parker,138.3ø
Sweet Talking Woman,Driving Wheel,Little Junior Parker,126.9ø
Someone Somewhere,Driving Wheel,Little Junior Parker,166.8ø
Someone Broke This Heart Of Mine,Driving Wheel,Little Junior Parker,134.6ø
How Long Can This Go On,Driving Wheel,Little Junior Parker,134.4ø
Foxy Devil,Driving Wheel,Little Junior Parker,141.6ø
Annie Get Your Yo-Yo,Driving Wheel,Little Junior Parker,142.9ø
Winetone,Sides Of Blue,Cannonball Adderley Quintet,416.6ø
Lisa,The Quintet Plus,Cannonball Adderley Quintet,419.0ø
Speak Low,The Incredible Kai Winding Trombones,Kai Winding,245.5ø
Michie (Slow),The Incredible Kai Winding Trombones,Kai Winding,183.3ø
Michie (Fast),The Incredible Kai Winding Trombones,Kai Winding,229.0ø
Mangos,The Incredible Kai Winding Trombones,Kai Winding,223.5ø
Love Walked In,The Incredible Kai Winding Trombones,Kai Winding,173.7ø
Lil Darlin',The Incredible Kai Winding Trombones,Kai Winding,245.0ø
Impulse,The Incredible Kai Winding Trombones,Kai Winding,191.9ø
Doodlin',The Incredible Kai Winding Trombones,Kai Winding,212.9ø
Bye_ Bye_ Blackbird,The Incredible Kai Winding Trombones,Kai Winding,239.9ø
Black Coffee,The Incredible Kai Winding Trombones,Kai Winding,247.5ø
Three Hearts In A Tangle,The Cold Hard Facts of Life,Roy Drusky,167.3ø
Teenage Heart,Shake A Hand,Faye Adams,161.1ø
Sweet Talk,Shake A Hand,Faye Adams,153.7ø
Somebody Somewhere Someday,Shake A Hand,Faye Adams,149.0ø
Shake A Hand,Shake A Hand,Faye Adams,175.6ø
Same Ole Me,Shake A Hand,Faye Adams,181.3ø
My Greatest Desire,Shake A Hand,Faye Adams,144.1ø
It Hurts Me To My Heart,Shake A Hand,Faye Adams,180.2ø
I'll Be True,Golden Decade - Music Of My Life (Vol. 12),Faye Adams,167.4ø
I Owe My Heart To You,Shake A Hand,Faye Adams,167.6ø
Happiness To My Soul,Shake A Hand,Faye Adams,160.6ø
Everyday,Shake A Hand,Faye Adams,168.4ø
Crazy Mixed Up World,Shake A Hand,Faye Adams,156.4ø
Anytime Anyplace Anywhere,Shake A Hand,Faye Adams,161.0ø
Anything For A Friend,Rhythm 'n' Blues - Fine Brown Sugar Vol. 4,Faye Adams,182.1ø
