The Gay Robot Groove (Eddie Baez Mix),The Gay Robot Groove,Adam Sandler,561.0ø
Christmas Time Is Here (Markus Enochson Remix),Merry Mixmas:  Christmas Classics Remix (Digital Version),Vince Guaraldi Trio,224.3ø
Withering Heights,Jacksonville City Nights,Ryan Adams & The Cardinals,170.4ø
Trains,Jacksonville City Nights,Ryan Adams & The Cardinals,246.1ø
The Hardest Part,Jacksonville City Nights,Ryan Adams & The Cardinals,171.0ø
The End,Jacksonville City Nights,Ryan Adams & The Cardinals,222.8ø
Silver Bullets,Jacksonville City Nights,Ryan Adams & The Cardinals,175.8ø
September,Jacksonville City Nights,Ryan Adams & The Cardinals,149.5ø
Peaceful Valley,Jacksonville City Nights,Ryan Adams & The Cardinals,222.3ø
Pa,Jacksonville City Nights,Ryan Adams & The Cardinals,229.4ø
My Heart Is Broken,Jacksonville City Nights,Ryan Adams & The Cardinals,131.7ø
Jeane,Jacksonville City Nights,Ryan Adams & The Cardinals,150.8ø
Hard Way To Fall,Jacksonville City Nights,Ryan Adams & The Cardinals,244.3ø
Games,Jacksonville City Nights,Ryan Adams & The Cardinals,131.4ø
Don't Fail Me Now,Jacksonville City Nights,Ryan Adams & The Cardinals,267.2ø
Dear John,Jacksonville City Nights,Ryan Adams & The Cardinals,275.2ø
Dance All Night,Must Love Dogs-Music from the Motion Picture,Ryan Adams & The Cardinals,193.7ø
Always On My Mind,Jacksonville City Nights,Ryan Adams & The Cardinals,281.1ø
A Kiss Before I Go,Jacksonville City Nights,Ryan Adams & The Cardinals,124.7ø
You'll Always Be My Baby,Real Fine Place,Sara Evans,276.3ø
Roll Me Back In Time,Real Fine Place,Sara Evans,295.0ø
Momma's Night Out,Real Fine Place,Sara Evans,171.5ø
A Real Fine Place To Start,Real Fine Place,Sara Evans,238.7ø
They are night zombies! They are neighbours!! They have come back from the dead!! Ahhhh!,Illinois,Sufjan Stevens,309.8ø
The Predatory Wasp of the Palisades is out to get us,Illinois,Sufjan Stevens,323.0ø
Out of Egypt_ into the great laugh of Mankind_ and I shake the dirt from my sandals as I run,Illinois,Sufjan Stevens,261.5ø
In this temple as in the hearts of man for whom he saved the earth,Illinois,Sufjan Stevens,35.4ø
Turn Your Eyes Upon Jesus,Rock Of Ages...Hymns & Faith,Amy Grant,189.9ø
