The Joker,Box Set,Steve Miller Band,264.0ø
Misty Water,The Village Green Preservation Society,The Kinks,189.7ø
Groovy Movies,The Village Green Preservation Society,The Kinks,152.4ø
You Sure Love To Ball,Let's Get It On,Marvin Gaye,284.1ø
Let's Get It On,Lost And Found: Love Volume 2,Marvin Gaye,290.9ø
Just To Keep You Satisfied,Anthology,Marvin Gaye,268.5ø
Distant Lover,The Concert Anthology - The 1980 European Tour / The 1983 North American Tour,Marvin Gaye,579.3ø
Come Get To This,Let's Get It On,Marvin Gaye,164.2ø
Uptown,Rock & Roll Songs,Roy Orbison,129.6ø
Mean Woman Blues,Pretty Woman,Roy Orbison,148.0ø
Candy Man,Definitive Collection,Roy Orbison,170.0ø
The Fox,Electric Light Orchestra II,Electric Light Orchestra,296.5ø
The Captain And Me (LP Version),The Captain And Me,The Doobie Brothers,288.0ø
Long Train Runnin',Artisti Vari_ Vol. 4 (Backing Tracks),The Doobie Brothers,209.8ø
Evil Woman (LP Version),The Captain And Me,The Doobie Brothers,200.4ø
Dark Eyed Cajun Woman (LP Version),The Captain And Me,The Doobie Brothers,253.5ø
Dark Eyed Cajun Woman,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,358.3ø
Clear As The Driven Snow,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,322.8ø
China Grove,Rockin' Down The Highway: The Wildlife Concert,The Doobie Brothers,242.5ø
Busted Down Around O'Connelly Corners (LP Version),The Captain And Me,The Doobie Brothers,48.7ø
Whiskey Girl,Electric Light Orchestra II,Electric Light Orchestra,227.3ø
Showdown,Electric Light Orchestra II,Electric Light Orchestra,294.9ø
Oh No Not Susan,On The Third Day,Electric Light Orchestra,187.2ø
New World Rising/Ocean Breakup Reprise,On The Third Day,Electric Light Orchestra,245.1ø
Ma-Ma-Ma Belle,Greatest Hits,Electric Light Orchestra,214.9ø
Auntie (Ma-Ma-Ma Belle),On The Third Day,Electric Light Orchestra,79.2ø
All Fall Down,Electric Light Orchestra II,Electric Light Orchestra,202.5ø
Ain't Necessarily So,Electric Light Orchestra II,Electric Light Orchestra,241.7ø
Ridin' The Storm Out,The Hits,REO Speedwagon,352.2ø
River Of Love,Farewell Andromeda,John Denver,216.7ø
I'd Rather Be A Cowboy (Lady's Chains),An Evening With John Denver,John Denver,268.5ø
Farewell Andromeda (Welcome To My Morning),Rocky Mountain Collection,John Denver,242.4ø
Berkeley Woman,Farewell Andromeda,John Denver,213.4ø
Angels From Montgomery,Farewell Andromeda,John Denver,290.4ø
Without You (Album Version),The Captain And Me,The Doobie Brothers,298.7ø
Strange Music,Electric Light Orchestra II,Electric Light Orchestra,133.3ø
1000 Eyes,Electric Light Orchestra II,Electric Light Orchestra,138.6ø
